target,best_gamma,best_rho,best_value
NO@10,1.125,15,0.40479400000000004
NO@30,0.375,15,0.39471895238095234
NO@100,0.375,30,0.42955994285714283
AUC NO@k near-local (k=1..10),1.5,15,0.44298177766439906
AUC NO@k mid-local (k=11..90),0.375,15,0.4015892033335266
