target,best_gamma,best_rho,best_value
NO@10,0.857143,150,0.8756025000000001
NO@30,0.857143,200,0.8911166666666667
NO@100,0.857143,200,0.90039775
AUC NO@k near-local (k=1..10),0.857143,200,0.861309634920635
AUC NO@k mid-local (k=11..90),0.857143,200,0.893601847256169
