k,rho,gamma,seed,no_at_k
30,30,0.0,4,0.38899
100,30,0.0,4,0.465849
30,30,0.061224,2,0.3988
100,30,0.061224,2,0.466818
30,30,0.0,2,0.38985333333333333
100,30,0.0,2,0.468358
30,30,0.0,1,0.38875
100,30,0.0,1,0.467915
30,30,0.061224,0,0.39987
100,30,0.061224,0,0.467514
30,30,0.061224,4,0.3992366666666667
100,30,0.061224,4,0.468311
30,30,0.0,3,0.38849333333333336
100,30,0.0,3,0.467041
30,30,0.0,0,0.39027
100,30,0.0,0,0.46687
30,30,0.061224,3,0.39879333333333333
100,30,0.061224,3,0.467573
30,30,0.061224,1,0.39765333333333336
100,30,0.061224,1,0.465392
30,30,0.122449,2,0.41127
100,30,0.122449,2,0.466589
30,30,0.122449,1,0.40837666666666667
100,30,0.122449,1,0.465884
30,30,0.122449,3,0.41043
100,30,0.122449,3,0.467032
30,30,0.122449,4,0.40845333333333333
100,30,0.122449,4,0.466387
30,30,0.122449,0,0.40753666666666666
100,30,0.122449,0,0.465901
30,30,0.183673,2,0.4186433333333333
100,30,0.183673,2,0.465164
30,30,0.183673,1,0.4204966666666667
100,30,0.183673,1,0.465679
30,30,0.183673,0,0.41835
100,30,0.183673,0,0.465184
30,30,0.183673,4,0.4193866666666667
100,30,0.183673,4,0.466508
30,30,0.183673,3,0.41974
100,30,0.183673,3,0.465916
30,30,0.244898,1,0.4291066666666667
100,30,0.244898,1,0.462673
30,30,0.244898,2,0.4302533333333333
100,30,0.244898,2,0.462315
30,30,0.244898,4,0.43063
100,30,0.244898,4,0.462386
30,30,0.244898,3,0.4304866666666667
100,30,0.244898,3,0.462773
30,30,0.244898,0,0.42989666666666665
100,30,0.244898,0,0.46266
30,30,0.306122,0,0.43986
100,30,0.306122,0,0.45869
30,30,0.306122,1,0.43984
100,30,0.306122,1,0.458912
30,30,0.306122,3,0.4398666666666667
100,30,0.306122,3,0.457456
30,30,0.306122,4,0.44082666666666664
100,30,0.306122,4,0.459267
30,30,0.306122,2,0.4404166666666667
100,30,0.306122,2,0.459475
30,30,0.367347,0,0.44748
100,30,0.367347,0,0.455233
30,30,0.367347,2,0.4475033333333333
100,30,0.367347,2,0.455902
30,30,0.367347,1,0.4480033333333333
100,30,0.367347,1,0.455758
30,30,0.367347,3,0.44726666666666665
100,30,0.367347,3,0.454566
30,30,0.367347,4,0.44706
100,30,0.367347,4,0.455059
30,30,0.428571,1,0.45386
100,30,0.428571,1,0.452415
30,30,0.428571,2,0.454
100,30,0.428571,2,0.451072
30,30,0.428571,4,0.4526
100,30,0.428571,4,0.451326
30,30,0.428571,3,0.4527933333333333
100,30,0.428571,3,0.45015
30,30,0.428571,0,0.45336666666666664
100,30,0.428571,0,0.450826
30,30,0.489796,1,0.45811
100,30,0.489796,1,0.446452
30,30,0.489796,0,0.45778
100,30,0.489796,0,0.444762
30,30,0.489796,2,0.45896
100,30,0.489796,2,0.444587
