dataset,rho,gamma,k_neighbors,eff_perplexity,thr_c0.25_mean,thr_c0.25_std,thr_c0.5_mean,thr_c0.5_std,thr_c1.0_mean,thr_c1.0_std,participation_ratio_mean,participation_ratio_std,two_pow_entropy_mean,two_pow_entropy_std
fashion_mnist,10,0.0,30,10.0,30.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0,30.000000000000007,3.552713678800501e-15
fashion_mnist,10,0.214286,30,10.0,29.999457142857143,0.045666394557012435,29.874842857142855,0.7526761613586224,11.039185714285715,1.584232637974767,26.997682067095496,0.8901338141621414,28.510715793841037,0.5315789172869896
fashion_mnist,10,0.428571,30,10.0,29.69872857142857,1.2427244657425482,23.905571428571427,4.333335612505942,9.534728571428571,1.4936416420607586,19.429975262208096,1.3095792809064337,24.166976150622126,1.356820910044362
fashion_mnist,10,0.5,30,10.0,29.049485714285716,2.2484108085671606,20.944057142857144,4.245513476889336,9.0385,1.4679589450273174,16.739813046745336,1.0510617650318952,22.29221464215821,1.4822860558277071
fashion_mnist,10,0.6,30,10.0,27.127457142857143,3.722113123657867,17.48207142857143,3.539841601869571,8.363142857142858,1.4290601735377826,13.348194643059609,0.5247850704377873,19.52706439594339,1.46369875593514
fashion_mnist,10,0.642857,30,10.0,25.957657142857144,4.19614873727161,16.26112857142857,3.1916539170665934,8.087957142857142,1.4086236842668634,12.080382235035904,0.2938509727327504,18.336156952307995,1.3883881795965558
fashion_mnist,10,0.7,30,10.0,24.19012857142857,4.577645338010826,14.839242857142857,2.756498814157006,7.728814285714286,1.3931622897244254,10.578950545867569,0.09769489493402961,16.777745018689835,1.2344657380155621
fashion_mnist,10,0.8,30,10.0,20.931657142857144,4.576460028967225,12.790028571428572,2.1338959672823026,7.1278,1.3642302968550226,8.449319215750993,0.4466839671059251,14.209286348086577,0.8591730034075811
fashion_mnist,10,0.857143,30,10.0,19.154814285714284,4.266660248929591,11.8241,1.8645686720679242,6.803485714285714,1.3531589996624,7.4846842812564285,0.6192040356977385,12.868073385813583,0.6129681517769279
fashion_mnist,10,0.9,30,10.0,17.916042857142855,3.9592668583092654,11.174042857142856,1.7120607293610846,6.57,1.3453677139407967,6.863647853395734,0.7219723723185391,11.932937004306472,0.42619087170173603
