dataset,gamma,rho,k,measure,eff_size,eff_over_k,no_mean,no_std,n_seeds
fashion_mnist,0.0,10,10,thr_c0.25,30.0,3.0,0.30823999999999996,0.0003260186547811446,5
fashion_mnist,0.0,10,10,thr_c0.5,30.0,3.0,0.30823999999999996,0.0003260186547811446,5
fashion_mnist,0.0,10,10,thr_c1.0,30.0,3.0,0.30823999999999996,0.0003260186547811446,5
fashion_mnist,0.0,10,10,participation_ratio,30.0,3.0,0.30823999999999996,0.0003260186547811446,5
fashion_mnist,0.0,10,10,two_pow_entropy,30.000000000000007,3.000000000000001,0.30823999999999996,0.0003260186547811446,5
fashion_mnist,0.0,10,30,thr_c0.25,30.0,1.0,0.3986098095238095,0.00028223060319300516,5
fashion_mnist,0.0,10,30,thr_c0.5,30.0,1.0,0.3986098095238095,0.00028223060319300516,5
fashion_mnist,0.0,10,30,thr_c1.0,30.0,1.0,0.3986098095238095,0.00028223060319300516,5
fashion_mnist,0.0,10,30,participation_ratio,30.0,1.0,0.3986098095238095,0.00028223060319300516,5
fashion_mnist,0.0,10,30,two_pow_entropy,30.000000000000007,1.0000000000000002,0.3986098095238095,0.00028223060319300516,5
fashion_mnist,0.0,10,100,thr_c0.25,30.0,0.3,0.42321814285714277,0.00024651025561312287,5
fashion_mnist,0.0,10,100,thr_c0.5,30.0,0.3,0.42321814285714277,0.00024651025561312287,5
fashion_mnist,0.0,10,100,thr_c1.0,30.0,0.3,0.42321814285714277,0.00024651025561312287,5
fashion_mnist,0.0,10,100,participation_ratio,30.0,0.3,0.42321814285714277,0.00024651025561312287,5
fashion_mnist,0.0,10,100,two_pow_entropy,30.000000000000007,0.30000000000000004,0.42321814285714277,0.00024651025561312287,5
fashion_mnist,0.214286,10,10,thr_c0.25,29.999457142857143,2.9999457142857144,0.35499228571428565,0.00023832339544477702,5
fashion_mnist,0.214286,10,10,thr_c0.5,29.874842857142852,2.9874842857142854,0.35499228571428565,0.00023832339544477702,5
fashion_mnist,0.214286,10,10,thr_c1.0,11.039185714285717,1.1039185714285717,0.35499228571428565,0.00023832339544477702,5
fashion_mnist,0.214286,10,10,participation_ratio,26.997682067095496,2.6997682067095496,0.35499228571428565,0.00023832339544477702,5
fashion_mnist,0.214286,10,10,two_pow_entropy,28.51071579384104,2.851071579384104,0.35499228571428565,0.00023832339544477702,5
fashion_mnist,0.214286,10,30,thr_c0.25,29.999457142857143,0.9999819047619047,0.4032334285714286,0.0001640447922902577,5
fashion_mnist,0.214286,10,30,thr_c0.5,29.874842857142852,0.995828095238095,0.4032334285714286,0.0001640447922902577,5
fashion_mnist,0.214286,10,30,thr_c1.0,11.039185714285717,0.3679728571428572,0.4032334285714286,0.0001640447922902577,5
fashion_mnist,0.214286,10,30,participation_ratio,26.997682067095496,0.8999227355698499,0.4032334285714286,0.0001640447922902577,5
fashion_mnist,0.214286,10,30,two_pow_entropy,28.51071579384104,0.9503571931280347,0.4032334285714286,0.0001640447922902577,5
fashion_mnist,0.214286,10,100,thr_c0.25,29.999457142857143,0.29999457142857144,0.4165802285714285,0.00022931846851049716,5
fashion_mnist,0.214286,10,100,thr_c0.5,29.874842857142852,0.2987484285714285,0.4165802285714285,0.00022931846851049716,5
fashion_mnist,0.214286,10,100,thr_c1.0,11.039185714285717,0.11039185714285717,0.4165802285714285,0.00022931846851049716,5
fashion_mnist,0.214286,10,100,participation_ratio,26.997682067095496,0.26997682067095496,0.4165802285714285,0.00022931846851049716,5
