k,gamma,peak_rho,peak_no,peak_location,max_std_band
30,0.8,35,0.45619,interior,0.0017244974791386538
30,1.0,70,0.4490046666666666,interior,0.0013999301569880159
30,1.2,125,0.44539533333333337,interior,0.0015880316257696047
100,0.8,95,0.4390092,interior,0.0015678503244889296
100,1.0,200,0.4285336,boundary (high),0.0024391120187478334
100,1.2,200,0.4174836,boundary (high),0.0019708679306336256
