k,gamma,rho,seed,no_at_k
30,0.8,5,0,0.40414
100,0.8,5,0,0.347823
30,0.8,5,2,0.40596333333333334
100,0.8,5,2,0.345154
30,0.8,5,1,0.4065533333333333
100,0.8,5,1,0.348623
30,0.8,5,3,0.40534
100,0.8,5,3,0.346325
30,0.8,5,4,0.40624
100,0.8,5,4,0.347246
30,1.0,5,0,0.38778
100,1.0,5,0,0.328611
30,1.0,5,1,0.3889
100,1.0,5,1,0.331882
30,1.0,5,3,0.3875
100,1.0,5,3,0.330202
30,1.0,5,2,0.38877
100,1.0,5,2,0.331154
30,1.0,5,4,0.3894766666666667
100,1.0,5,4,0.33145
30,1.2,5,0,0.37077666666666664
100,1.2,5,0,0.317813
30,1.2,5,1,0.3708533333333333
100,1.2,5,1,0.317648
30,1.2,5,2,0.36843
100,1.2,5,2,0.313787
30,1.2,5,3,0.3698033333333333
100,1.2,5,3,0.31603
30,1.2,5,4,0.37224
100,1.2,5,4,0.317558
30,0.8,8,0,0.42623333333333335
100,0.8,8,0,0.368505
30,0.8,8,2,0.42538
100,0.8,8,2,0.369807
30,0.8,8,1,0.42383333333333334
100,0.8,8,1,0.369969
30,0.8,8,3,0.4257033333333333
100,0.8,8,3,0.367997
30,0.8,8,4,0.42480666666666667
100,0.8,8,4,0.366342
30,1.0,8,0,0.4084933333333333
100,1.0,8,0,0.350535
30,1.0,8,2,0.40930333333333335
100,1.0,8,2,0.350433
30,1.0,8,1,0.40841333333333335
100,1.0,8,1,0.351061
30,1.0,8,4,0.40768333333333334
100,1.0,8,4,0.34836
30,1.0,8,3,0.4097033333333333
100,1.0,8,3,0.347945
30,1.2,8,0,0.3935666666666667
100,1.2,8,0,0.33366
30,1.2,8,1,0.39289
100,1.2,8,1,0.330867
30,1.2,8,2,0.39251
100,1.2,8,2,0.332028
30,1.2,8,3,0.3919566666666667
100,1.2,8,3,0.331988
30,1.2,8,4,0.39312
100,1.2,8,4,0.332582
30,0.8,12,0,0.4374133333333333
100,0.8,12,0,0.387567
30,0.8,12,2,0.43817666666666666
100,0.8,12,2,0.387929
30,0.8,12,1,0.43685
