target,best_gamma,best_rho,best_value
NO@10,1.125,15,0.3973225714285714
NO@30,0.375,15,0.3636542857142857
NO@100,0.0,15,0.37420991428571426
AUC NO@k near-local (k=1..10),1.5,15,0.45123829682539685
AUC NO@k mid-local (k=11..90),0.375,15,0.36284395947934917
