k,gamma,peak_rho,peak_no,peak_location,max_std_band
30,0.8,35,0.8090972222222221,interior,0.007764061428326401
30,1.0,50,0.8120185185185186,interior,0.00652437197730297
30,1.2,50,0.7998194444444444,interior,0.005515915679989286
100,0.8,200,0.7065208333333334,boundary (high),0.007794299911545032
100,1.0,200,0.7012625,boundary (high),0.00753147382613968
100,1.2,200,0.6768347222222222,boundary (high),0.008822432127365738
