k,gamma,rho,seed,no_at_k
30,0.8,5,0,0.6645833333333333
100,0.8,5,0,0.5510694444444444
30,0.8,5,1,0.6707638888888889
100,0.8,5,1,0.5485138888888889
30,0.8,5,2,0.6671064814814814
100,0.8,5,2,0.5438888888888889
30,0.8,5,3,0.6638888888888889
100,0.8,5,3,0.5359375
30,0.8,5,4,0.6653703703703704
100,0.8,5,4,0.5515069444444445
30,1.0,5,0,0.651087962962963
100,1.0,5,0,0.52675
30,1.0,5,1,0.6428935185185185
100,1.0,5,1,0.5189722222222222
30,1.0,5,3,0.6416666666666667
100,1.0,5,3,0.529375
30,1.0,5,2,0.6391435185185185
100,1.0,5,2,0.5256597222222222
30,1.0,5,4,0.6445601851851852
100,1.0,5,4,0.5171041666666667
30,1.2,5,2,0.6186342592592593
100,1.2,5,2,0.5081944444444444
30,1.2,5,1,0.6209953703703703
100,1.2,5,1,0.510875
30,1.2,5,0,0.6226157407407408
100,1.2,5,0,0.5092847222222222
30,1.2,5,3,0.6223611111111111
100,1.2,5,3,0.5030208333333334
30,1.2,5,4,0.6214351851851851
100,1.2,5,4,0.5070972222222222
30,0.8,8,0,0.727175925925926
100,0.8,8,0,0.5728333333333333
30,0.8,8,1,0.7262962962962963
100,0.8,8,1,0.5758263888888889
30,0.8,8,2,0.7280787037037038
100,0.8,8,2,0.5661458333333333
30,0.8,8,3,0.7249074074074074
100,0.8,8,3,0.5648055555555556
30,0.8,8,4,0.7301620370370371
100,0.8,8,4,0.5741666666666667
30,1.0,8,1,0.6848611111111111
100,1.0,8,1,0.5615069444444445
30,1.0,8,0,0.687962962962963
100,1.0,8,0,0.5572916666666666
30,1.0,8,2,0.6890509259259259
100,1.0,8,2,0.5623541666666667
30,1.0,8,3,0.6882638888888889
100,1.0,8,3,0.5571180555555556
30,1.0,8,4,0.6889814814814815
100,1.0,8,4,0.56375
30,1.2,8,1,0.6585185185185185
100,1.2,8,1,0.5403958333333333
30,1.2,8,0,0.6538194444444444
100,1.2,8,0,0.53875
30,1.2,8,2,0.6589583333333333
100,1.2,8,2,0.5390347222222223
30,1.2,8,3,0.6566898148148148
100,1.2,8,3,0.5350625
30,1.2,8,4,0.6559722222222222
100,1.2,8,4,0.5423888888888889
30,0.8,12,0,0.7629166666666667
100,0.8,12,0,0.5975486111111111
30,0.8,12,1,0.7637962962962963
100,0.8,12,1,0.5959513888888889
30,0.8,12,2,0.7602314814814815
100,0.8,12,2,0.5974097222222222
30,0.8,12,3,0.7672916666666667
100,0.8,12,3,0.6051597222222223
30,0.8,12,4,0.7653472222222222
100,0.8,12,4,0.6006666666666667
30,1.0,12,0,0.7283101851851852
100,1.0,12,0,0.5780486111111112
30,1.0,12,1,0.7275
100,1.0,12,1,0.5727361111111111
30,1.0,12,2,0.7274074074074074
100,1.0,12,2,0.5742777777777778
30,1.0,12,3,0.7297685185185185
100,1.0,12,3,0.5793541666666666
30,1.0,12,4,0.7290740740740741
100,1.0,12,4,0.5792708333333333
30,1.2,12,0,0.7001388888888889
100,1.2,12,0,0.5614861111111111
30,1.2,12,1,0.6995370370370371
100,1.2,12,1,0.5596527777777778
30,1.2,12,2,0.6976388888888889
100,1.2,12,2,0.5573541666666667
30,1.2,12,3,0.69875
100,1.2,12,3,0.5656458333333333
30,1.2,12,4,0.7002314814814815
100,1.2,12,4,0.5620347222222222
30,0.8,18,1,0.7924074074074074
100,0.8,18,1,0.6255694444444444
30,0.8,18,0,0.79375
100,0.8,18,0,0.6252083333333334
30,0.8,18,2,0.7947453703703704
100,0.8,18,2,0.6256944444444444
30,0.8,18,3,0.7953935185185185
100,0.8,18,3,0.6265694444444444
30,0.8,18,4,0.7959027777777777
100,0.8,18,4,0.6282777777777778
30,1.0,18,1,0.7623148148148148
100,1.0,18,1,0.6053333333333333
30,1.0,18,0,0.759537037037037
100,1.0,18,0,0.6068125
30,1.0,18,2,0.7631712962962963
100,1.0,18,2,0.6001388888888889
30,1.0,18,3,0.7600925925925925
100,1.0,18,3,0.6048541666666667
30,1.0,18,4,0.7603472222222222
100,1.0,18,4,0.6039583333333334
30,1.2,18,0,0.7346759259259259
100,1.2,18,0,0.5877847222222222
30,1.2,18,1,0.7360185185185185
100,1.2,18,1,0.5864027777777778
30,1.2,18,2,0.737662037037037
100,1.2,18,2,0.5887430555555555
30,1.2,18,3,0.7338194444444445
100,1.2,18,3,0.5841805555555556
30,1.2,18,4,0.7380092592592593
100,1.2,18,4,0.5905277777777778
30,0.8,25,1,0.8089814814814815
100,0.8,25,1,0.6274236111111111
30,0.8,25,0,0.809675925925926
100,0.8,25,0,0.6244861111111111
30,0.8,25,2,0.8050231481481481
100,0.8,25,2,0.6257986111111111
30,0.8,25,3,0.8090740740740741
100,0.8,25,3,0.6317638888888889
30,0.8,25,4,0.8079861111111111
100,0.8,25,4,0.6311319444444444
30,1.0,25,1,0.7841898148148149
100,1.0,25,1,0.6210486111111111
30,1.0,25,0,0.7900925925925926
100,1.0,25,0,0.6167222222222222
30,1.0,25,2,0.7886111111111112
100,1.0,25,2,0.6166597222222222
30,1.0,25,3,0.7931944444444444
100,1.0,25,3,0.628
30,1.2,25,1,0.760462962962963
100,1.2,25,1,0.6034583333333333
30,1.0,25,4,0.7913888888888889
100,1.0,25,4,0.6192083333333334
30,1.2,25,0,0.7579861111111111
100,1.2,25,0,0.6002152777777777
30,1.2,25,2,0.7585648148148149
100,1.2,25,2,0.6001388888888889
30,1.2,25,3,0.7592129629629629
100,1.2,25,3,0.5973472222222223
30,0.8,35,0,0.8075462962962963
100,0.8,35,0,0.6528680555555556
30,1.2,25,4,0.7588425925925926
100,1.2,25,4,0.6006805555555556
30,0.8,35,1,0.8144675925925926
100,0.8,35,1,0.6582638888888889
30,0.8,35,2,0.8066666666666666
100,0.8,35,2,0.6437430555555556
30,0.8,35,3,0.8081481481481482
100,0.8,35,3,0.6444097222222223
30,1.0,35,0,0.8031944444444444
100,1.0,35,0,0.6211805555555555
30,0.8,35,4,0.8086574074074074
100,0.8,35,4,0.6421180555555556
30,1.0,35,1,0.8047453703703704
100,1.0,35,1,0.6121458333333333
30,1.0,35,4,0.8051157407407408
100,1.0,35,4,0.6217986111111111
30,1.0,35,3,0.8049537037037037
100,1.0,35,3,0.6234513888888888
30,1.0,35,2,0.801712962962963
100,1.0,35,2,0.6131597222222223
30,1.2,35,1,0.7886805555555556
100,1.2,35,1,0.6130208333333333
30,1.2,35,0,0.7812037037037037
100,1.2,35,0,0.6139097222222222
30,1.2,35,2,0.7914351851851852
100,1.2,35,2,0.6142013888888889
30,1.2,35,3,0.7839351851851852
