seed,k,gamma_0.00,gamma_0.30,gamma_0.50,gamma_0.70,gamma_0.90,gamma_1.00,gamma_1.20,gamma_1.50,gamma_2.00
191664964,1,0.718625,0.806,0.806,0.8105,0.811625,0.812375,0.814,0.809625,0.80375
191664964,2,0.7536875,0.8273125,0.829125,0.83525,0.8335625,0.8331875,0.8291875,0.82725,0.8221875
191664964,3,0.7694999999999999,0.8337083333333333,0.8405,0.8427083333333333,0.84,0.8389166666666665,0.8342083333333332,0.83325,0.8258333333333333
191664964,4,0.783875,0.84246875,0.84603125,0.84603125,0.842875,0.8408125,0.83775,0.83159375,0.823875
191664964,5,0.7902250000000002,0.8476000000000001,0.849975,0.8478500000000001,0.844875,0.84345,0.8381500000000001,0.8305750000000001,0.8209250000000001
191664964,6,0.7960833333333334,0.850375,0.8538333333333334,0.8514166666666667,0.8456041666666667,0.8427291666666668,0.8356041666666667,0.8278958333333335,0.8167916666666667
191664964,7,0.8007857142857142,0.852375,0.8550178571428572,0.8510178571428572,0.8434285714285713,0.8404821428571428,0.8338035714285714,0.8246071428571429,0.812375
191664964,8,0.80521875,0.855625,0.857484375,0.8505625,0.841828125,0.837921875,0.8294375,0.819953125,0.806546875
191664964,9,0.8097083333333335,0.8579861111111112,0.8581944444444446,0.8509444444444446,0.8410694444444445,0.8367222222222224,0.8268472222222224,0.816388888888889,0.8015
191664964,10,0.8134750000000001,0.8597375000000002,0.8596000000000001,0.8504250000000002,0.8391375000000001,0.8344750000000002,0.8236000000000001,0.8123875,0.7980000000000002
191664964,11,0.8169545454545454,0.861306818181818,0.860340909090909,0.8486818181818181,0.8365454545454545,0.8319886363636363,0.8210340909090907,0.8096136363636363,0.7935568181818181
191664964,12,0.8194375,0.86175,0.8595520833333332,0.84665625,0.8343854166666667,0.8294895833333332,0.8173020833333332,0.80540625,0.78940625
191664964,13,0.8211153846153848,0.8628750000000003,0.8583846153846155,0.8452884615384617,0.8317307692307694,0.8266923076923078,0.8142019230769231,0.8022115384615386,0.7861826923076923
191664964,14,0.8231785714285715,0.8635892857142857,0.8574375,0.8436160714285714,0.8302589285714287,0.8251160714285716,0.8125357142857144,0.8006339285714287,0.7842946428571429
191664964,15,0.8245750000000001,0.8640333333333334,0.8571583333333336,0.8426083333333335,0.8279083333333335,0.823075,0.8105500000000001,0.7986500000000001,0.7815583333333334
191664964,16,0.8262109375,0.8645703125,0.8570390625,0.841671875,0.825984375,0.8210703125,0.8087109375,0.79615625,0.779734375
191664964,17,0.8273161764705883,0.8646323529411766,0.8558235294117649,0.8400955882352942,0.8238014705882354,0.819110294117647,0.8063529411764706,0.7943235294117648,0.7775073529411765
191664964,18,0.8278888888888889,0.8652152777777778,0.8556736111111112,0.8392916666666668,0.8230625,0.8177152777777779,0.8047083333333335,0.7927847222222223,0.7758333333333334
191664964,19,0.8296447368421052,0.8659407894736841,0.855,0.8383421052631579,0.8221315789473683,0.8165,0.8034868421052631,0.7910263157894736,0.7743684210526317
191664964,20,0.8308562500000001,0.8661749999999999,0.85415,0.83699375,0.8197000000000001,0.8142375,0.80091875,0.788275,0.77220625
191664964,21,0.8325476190476191,0.8661428571428572,0.8542738095238096,0.8363809523809526,0.8181190476190477,0.8124464285714286,0.7991845238095239,0.7866547619047619,0.770922619047619
191664964,22,0.833715909090909,0.8656647727272727,0.8531420454545454,0.8349602272727272,0.8168806818181817,0.8110113636363635,0.7971136363636364,0.7850340909090909,0.7694886363636364
191664964,23,0.8347717391304348,0.8649782608695652,0.8525978260869566,0.8341413043478261,0.815429347826087,0.8099347826086957,0.7963586956521739,0.7837391304347825,0.7678369565217391
191664964,24,0.8361979166666668,0.8651666666666668,0.8524270833333333,0.8333177083333334,0.8146770833333333,0.8088958333333334,0.795203125,0.7825208333333332,0.76684375
191664964,25,0.8369350000000002,0.865655,0.8520200000000001,0.83291,0.8139100000000001,0.8082450000000001,0.79441,0.78122,0.7663300000000001
191664964,26,0.8379951923076924,0.8657548076923078,0.8515961538461541,0.8324278846153847,0.8133846153846155,0.8070240384615386,0.7934038461538462,0.7803365384615385,0.7654230769230769
191664964,27,0.8389675925925926,0.8660092592592593,0.8516342592592594,0.8321435185185184,0.8127314814814814,0.8062222222222222,0.7928148148148149,0.7794305555555555,0.7651203703703703
191664964,28,0.8394732142857143,0.8658258928571428,0.8512321428571429,0.831674107142857,0.8119375,0.8055848214285715,0.7921428571428573,0.7788392857142857,0.7647991071428571
191664964,29,0.8401939655172413,0.8656724137931034,0.8505689655172414,0.8310948275862069,0.8115172413793104,0.8048189655172414,0.7916250000000001,0.7777974137931035,0.7640862068965517
191664964,30,0.8411500000000001,0.8658333333333335,0.8503000000000002,0.8302708333333335,0.8107291666666667,0.8043583333333334,0.7906833333333334,0.7766500000000001,0.7635083333333333
191664964,31,0.8417298387096773,0.8656290322580644,0.8501129032258063,0.8299153225806452,0.809875,0.8036895161290322,0.7901411290322581,0.7760483870967742,0.7632177419354838
191664964,32,0.84248046875,0.86565625,0.8499140625,0.82959765625,0.80930078125,0.80312109375,0.78967578125,0.775609375,0.7629140625
191664964,33,0.8430227272727272,0.8657272727272727,0.8496439393939393,0.8296969696969696,0.8091022727272728,0.8027689393939392,0.7894469696969696,0.774965909090909,0.7627007575757575
191664964,34,0.8439705882352943,0.8656433823529412,0.8492058823529413,0.8291323529411766,0.8086066176470588,0.8025147058823531,0.7889301470588237,0.7743492647058824,0.762014705882353
191664964,35,0.8450500000000001,0.8657392857142857,0.8495035714285715,0.8293785714285715,0.8087464285714286,0.8023357142857143,0.7885821428571429,0.7740107142857143,0.7618357142857144
191664964,36,0.845579861111111,0.8659548611111111,0.84975,0.8293784722222223,0.8085798611111111,0.8021631944444445,0.7885729166666667,0.773701388888889,0.7617152777777778
191664964,37,0.8462567567567569,0.8656317567567567,0.8492635135135136,0.8289932432432432,0.8078344594594595,0.8013412162162162,0.7878716216216217,0.7728479729729729,0.7608716216216217
191664964,38,0.8469638157894736,0.865578947368421,0.849470394736842,0.8289736842105263,0.8074440789473685,0.8009013157894737,0.7876052631578948,0.7726578947368421,0.7605559210526316
191664964,39,0.8482275641025642,0.8657435897435899,0.8498525641025642,0.829073717948718,0.8071346153846155,0.8005000000000001,0.7872179487179487,0.7719326923076923,0.7603429487179487
191664964,40,0.8491593749999999,0.865690625,0.8496125,0.8292999999999999,0.806809375,0.800365625,0.786934375,0.77149375,0.7600875
191664964,41,0.8497560975609757,0.8657164634146343,0.8494969512195123,0.829298780487805,0.8064634146341464,0.7999664634146342,0.7868292682926831,0.7712469512195124,0.7601646341463414
191664964,42,0.8507559523809525,0.8659583333333335,0.8499404761904764,0.8294464285714287,0.8066607142857143,0.8000505952380953,0.7866309523809525,0.7711636904761905,0.7602291666666667
191664964,43,0.8517587209302324,0.8660261627906976,0.8498372093023254,0.8295523255813952,0.8065290697674417,0.8000058139534882,0.7863837209302325,0.7707499999999999,0.7602034883720928
191664964,44,0.8526079545454545,0.866409090909091,0.8499857954545453,0.8297017045454546,0.8064829545454545,0.7997585227272728,0.7862329545454545,0.7707017045454545,0.7602357954545453
191664964,45,0.8531194444444445,0.8663944444444446,0.8502138888888889,0.8298805555555556,0.8067694444444445,0.7997444444444445,0.7861861111111111,0.7709138888888889,0.7604111111111111
191664964,46,0.8537989130434782,0.8665135869565217,0.8501385869565218,0.8299320652173914,0.8067472826086958,0.7997255434782609,0.786008152173913,0.770616847826087,0.7603614130434783
191664964,47,0.8544148936170213,0.8664308510638298,0.8502154255319149,0.8300824468085105,0.8065345744680851,0.7995744680851062,0.7856436170212767,0.770313829787234,0.7604175531914893
191664964,48,0.8547447916666667,0.8665026041666666,0.8499713541666667,0.8303151041666668,0.8067994791666667,0.7994739583333333,0.7857630208333333,0.7706354166666668,0.7603932291666666
191664964,49,0.8551301020408164,0.8665790816326531,0.8499132653061225,0.8302576530612245,0.806890306122449,0.7994464285714286,0.7858010204081632,0.7704719387755102,0.7603367346938775
191664964,50,0.8559125000000001,0.8669049999999999,0.85035,0.83073,0.8069824999999999,0.7996875,0.78608,0.770525,0.7603949999999999
191664964,51,0.8565539215686276,0.867105392156863,0.8503823529411766,0.8307916666666667,0.8069460784313726,0.7994877450980393,0.7858333333333334,0.7703553921568628,0.7605906862745099
191664964,52,0.8571658653846155,0.8672259615384615,0.8501129807692307,0.8308100961538462,0.80709375,0.7993317307692308,0.7857524038461539,0.7702307692307693,0.7607331730769231
191664964,53,0.8578797169811321,0.8672877358490566,0.8500353773584906,0.8310259433962265,0.8071556603773584,0.7993985849056604,0.7858018867924529,0.7702382075471699,0.7606886792452829
191664964,54,0.8584421296296295,0.8677291666666667,0.8504004629629629,0.8315393518518518,0.8075949074074074,0.7996782407407407,0.7859675925925926,0.7705023148148148,0.7608773148148148
