method,seed,k,nh_score
γ=1.0,191664964,128,0.5956419617370498
γ=1.0,191664964,129,0.5962868015299518
γ=1.0,191664964,130,0.5969569176520734
γ=1.0,191664964,131,0.5976776871209563
γ=1.0,191664964,132,0.5983522361555272
γ=1.0,191664964,133,0.5990273728145399
γ=1.0,191664964,134,0.5996786489849468
γ=1.0,191664964,135,0.600293846024683
γ=1.0,191664964,136,0.6008749944440878
γ=1.0,191664964,137,0.6014675755159771
γ=1.0,191664964,138,0.6021044972434445
γ=1.0,191664964,139,0.6027177586282918
γ=1.0,191664964,140,0.6032862779903331
γ=1.0,191664964,141,0.603840778921207
γ=1.0,191664964,142,0.6044188056725882
γ=1.0,191664964,143,0.6049887481337402
γ=1.0,191664964,144,0.6055947933282959
γ=1.0,191664964,145,0.6061849521885015
γ=1.0,191664964,146,0.6066891086057207
γ=1.0,191664964,147,0.6072172467341398
γ=1.0,191664964,148,0.6077816440401446
γ=1.0,191664964,149,0.6083336761067403
γ=1.0,191664964,150,0.6088677133182212
γ=1.0,191664964,151,0.6094096891904139
γ=1.0,191664964,152,0.6099196784043055
γ=1.0,191664964,153,0.6104641559979433
γ=1.0,191664964,154,0.6109751217634687
γ=1.0,191664964,155,0.6115225557291851
γ=1.0,191664964,156,0.6120489786428834
γ=1.0,191664964,157,0.6126248444541176
γ=1.0,191664964,158,0.6131440036813115
γ=1.0,191664964,159,0.6136959704812791
γ=1.0,191664964,160,0.6142628137855763
γ=1.0,191664964,161,0.6148257443534371
γ=1.0,191664964,162,0.6153685098637943
γ=1.0,191664964,163,0.6159360347938416
γ=1.0,191664964,164,0.6164743698692129
γ=1.0,191664964,165,0.6170565532751747
γ=1.0,191664964,166,0.6175942962514149
γ=1.0,191664964,167,0.6181205718861998
γ=1.0,191664964,168,0.6186270894051517
γ=1.0,191664964,169,0.6191154414968213
γ=1.0,191664964,170,0.6196736086761125
γ=1.0,191664964,171,0.6202183739930802
γ=1.0,191664964,172,0.6207599775856986
γ=1.0,191664964,173,0.6212387830164277
γ=1.0,191664964,174,0.6217615417796937
γ=1.0,191664964,175,0.6222293917986974
γ=1.0,191664964,176,0.6227393891055631
γ=1.0,191664964,177,0.6231869415680421
γ=1.0,191664964,178,0.6236386627789061
γ=1.0,191664964,179,0.6240625889687434
γ=1.0,191664964,180,0.6244619819214731
γ=1.0,191664964,181,0.6248789943461891
γ=1.0,191664964,182,0.6253370925942499
γ=1.0,191664964,183,0.6257913312440674
γ=1.0,191664964,184,0.6261847378929962
γ=1.0,191664964,185,0.6266006666560775
γ=1.0,191664964,186,0.6270480074892368
γ=1.0,191664964,187,0.6274533000322804
γ=1.0,191664964,188,0.6278942493707765
γ=1.0,191664964,189,0.6283212041334785
γ=1.0,191664964,190,0.6286566155124188
γ=1.0,191664964,191,0.6290164268059663
γ=1.0,191664964,192,0.6293961026921893
γ=1.0,191664964,193,0.6297244285445204
γ=1.0,191664964,194,0.6301062779186181
γ=1.0,191664964,195,0.630497773013095
γ=1.0,191664964,196,0.630860857482108
γ=1.0,191664964,197,0.6312213212459413
γ=1.0,191664964,198,0.631582808184269
γ=1.0,191664964,199,0.6319174581664936
γ=1.0,191664964,200,0.6322907396524221
γ=0.7,191664964,1,0.22823440517169002
γ=0.7,191664964,2,0.2936361346654353
γ=0.7,191664964,3,0.3315002938460247
γ=0.7,191664964,4,0.35565863487532534
γ=0.7,191664964,5,0.3728654185206952
γ=0.7,191664964,6,0.38741499454285955
γ=0.7,191664964,7,0.39781354570205213
γ=0.7,191664964,8,0.40755394173453113
γ=0.7,191664964,9,0.41615593429043185
γ=0.7,191664964,10,0.42314247334396776
γ=0.7,191664964,11,0.42983949137924454
γ=0.7,191664964,12,0.4362424089776957
γ=0.7,191664964,13,0.4416150552495108
γ=0.7,191664964,14,0.44675090252707583
γ=0.7,191664964,15,0.45164133993787253
γ=0.7,191664964,16,0.45626679120141045
γ=0.7,191664964,17,0.46029127795858504
γ=0.7,191664964,18,0.46404117575723663
γ=0.7,191664964,19,0.46756646885453074
γ=0.7,191664964,20,0.47113592477541766
γ=0.7,191664964,21,0.47475522826039157
γ=0.7,191664964,22,0.47776310667755545
γ=0.7,191664964,23,0.48101134136147444
γ=0.7,191664964,24,0.48404835866006213
γ=0.7,191664964,25,0.4869801024263286
γ=0.7,191664964,26,0.489566851585154
γ=0.7,191664964,27,0.4922667189059599
γ=0.7,191664964,28,0.4948352063518716
γ=0.7,191664964,29,0.4973163028090522
γ=0.7,191664964,30,0.49943189768561275
γ=0.7,191664964,31,0.5017847422144345
γ=0.7,191664964,32,0.5041715641004114
γ=0.7,191664964,33,0.5063539432610039
γ=0.7,191664964,34,0.5083721424091423
γ=0.7,191664964,35,0.5101766674262685
γ=0.7,191664964,36,0.5121841155234657
γ=0.7,191664964,37,0.5142952120116085
γ=0.7,191664964,38,0.5163714213751994
γ=0.7,191664964,39,0.5183271657958922
γ=0.7,191664964,40,0.5203561833599194
γ=0.7,191664964,41,0.5224295639816444
γ=0.7,191664964,42,0.5242992671839956
γ=0.7,191664964,43,0.5260039088354912
γ=0.7,191664964,44,0.5277694033780844
γ=0.7,191664964,45,0.5295319919029096
γ=0.7,191664964,46,0.5312307220581632
γ=0.7,191664964,47,0.5328026837341489
γ=0.7,191664964,48,0.534272416253883
γ=0.7,191664964,49,0.5359091835878
γ=0.7,191664964,50,0.5375190999916044
γ=0.7,191664964,51,0.5390494204566219
γ=0.7,191664964,52,0.5406379364905097
γ=0.7,191664964,53,0.5422219511692854
γ=0.7,191664964,54,0.5437550723420926
γ=0.7,191664964,55,0.5454133306874471
γ=0.7,191664964,56,0.5469726363385586
γ=0.7,191664964,57,0.548377807923385
γ=0.7,191664964,58,0.5498315089789503
γ=0.7,191664964,59,0.5512558537970171
γ=0.7,191664964,60,0.5526096325525425
γ=0.7,191664964,61,0.5539568741389349
γ=0.7,191664964,62,0.5552477920924275
γ=0.7,191664964,63,0.5565323770344339
γ=0.7,191664964,64,0.5578633983292755
γ=0.7,191664964,65,0.5591276325051826
γ=0.7,191664964,66,0.560290589549258
γ=0.7,191664964,67,0.5614927628668845
γ=0.7,191664964,68,0.5626953829134709
γ=0.7,191664964,69,0.5639939454334625
γ=0.7,191664964,70,0.5652949854276359
γ=0.7,191664964,71,0.5665298144335749
γ=0.7,191664964,72,0.567721597216392
γ=0.7,191664964,73,0.5688876289098485
γ=0.7,191664964,74,0.5700822768869113
γ=0.7,191664964,75,0.5712361122771668
γ=0.7,191664964,76,0.5722546385693896
γ=0.7,191664964,77,0.5732657905439369
γ=0.7,191664964,78,0.5743145207295992
γ=0.7,191664964,79,0.5753584868364419
γ=0.7,191664964,80,0.5764015405927294
γ=0.7,191664964,81,0.5774794748292634
γ=0.7,191664964,82,0.5784835087877367
γ=0.7,191664964,83,0.5794679009885567
