target,best_gamma,best_rho,best_value
NO@10,0.75,15,0.8424027777777777
NO@30,0.375,15,0.8217731481481481
NO@100,0.0,30,0.7281069444444445
AUC NO@k near-local (k=1..10),1.125,15,0.8403842978395062
AUC NO@k mid-local (k=11..90),0.375,15,0.781251924205824
