seed,k,gamma_0.00,gamma_0.30,gamma_0.50,gamma_0.70,gamma_0.90,gamma_1.00,gamma_1.20,gamma_1.50,gamma_2.00
191664964,1,0.05092857142857143,0.09278571428571429,0.1536857142857143,0.23855714285714286,0.3234142857142857,0.3571285714285714,0.4136142857142857,0.4646571428571429,0.5142
191664964,2,0.07883571428571429,0.13427142857142857,0.20469285714285715,0.2872642857142857,0.3618071428571429,0.38975,0.4337714285714286,0.4679,0.49570714285714285
191664964,3,0.10134285714285712,0.16233809523809523,0.23476666666666668,0.3135523809523809,0.3776523809523809,0.4009619047619047,0.43399047619047615,0.4601238095238095,0.47575714285714277
191664964,4,0.12037857142857143,0.1846857142857143,0.2548535714285714,0.327775,0.38465,0.40467857142857144,0.4308464285714286,0.44896785714285714,0.45650357142857145
191664964,5,0.1359171428571429,0.20242857142857143,0.2699314285714286,0.33776857142857153,0.3876857142857143,0.40454285714285715,0.42579142857142854,0.43912285714285715,0.4405485714285715
191664964,6,0.15019523809523805,0.21688809523809527,0.28226190476190477,0.3445452380952381,0.3885714285714285,0.4029261904761905,0.42075714285714283,0.42950714285714287,0.42685
191664964,7,0.16319795918367344,0.2299285714285714,0.29268979591836736,0.34994693877551014,0.38934897959183673,0.4009653061224489,0.4154836734693878,0.4213632653061224,0.41508775510204077
191664964,8,0.17485357142857144,0.24105714285714286,0.30120892857142856,0.3541,0.3889910714285714,0.3989,0.41055892857142856,0.41388928571428574,0.40545535714285713
191664964,9,0.1854793650793651,0.25135238095238094,0.3087746031746032,0.3578349206349206,0.3890412698412698,0.3977238095238096,0.4069555555555555,0.40804444444444443,0.3977428571428572
191664964,10,0.19552285714285716,0.26052571428571425,0.3157514285714286,0.36103,0.3890171428571429,0.39626857142857136,0.4032714285714286,0.4027328571428571,0.39081999999999995
191664964,11,0.20466883116883117,0.2685012987012987,0.3217480519480519,0.36387142857142857,0.38884285714285705,0.39492987012987,0.4000051948051947,0.3980727272727272,0.38488181818181805
191664964,12,0.2132821428571429,0.2758797619047619,0.3265702380952381,0.3660023809523809,0.38832380952380957,0.39359999999999995,0.39700357142857146,0.39413690476190477,0.37970119047619044
191664964,13,0.22123736263736266,0.28282197802197806,0.3315076923076923,0.3679714285714286,0.38809230769230774,0.39246373626373626,0.39461428571428575,0.3906384615384616,0.3753549450549451
191664964,14,0.22868877551020406,0.28895612244897956,0.3355826530612245,0.36976428571428566,0.3875591836734695,0.39132653061224487,0.39256938775510203,0.3875581632653061,0.3714673469387755
191664964,15,0.2357114285714286,0.2950571428571429,0.33938285714285715,0.37129809523809526,0.3870571428571429,0.390252380952381,0.3905514285714286,0.38468190476190484,0.3683009523809524
191664964,16,0.24233839285714287,0.30068392857142856,0.34284107142857145,0.37292857142857144,0.38674642857142855,0.3895160714285714,0.3888455357142857,0.38214910714285716,0.3653651785714286
