seed,perplexity,gamma,AUC_1_10,AUC_11_90,global_spearman,median_eff_perp
191664964,30,0.0,0.4029927799823634,0.6919629620775852,0.7194705357379227,90.0
191664964,30,0.5,0.7210641809964727,0.7812716468576659,0.5808849697080563,63.87426099490502
191664964,30,0.7,0.767657848324515,0.7739530309182903,0.5821219845629899,47.72017699376252
191664964,30,1.0,0.80808416005291,0.7604712088367838,0.5417675176807961,30.000000003528395
191664964,30,1.2,0.8235696097883599,0.7474466437708849,0.4731778908289391,22.492209942844475
191664964,30,1.5,0.8344953703703706,0.7146821518017539,0.4565854477459182,15.672377068820971
191664964,30,2.0,0.8398539737654321,0.6777740806729231,0.4119613867738805,10.332995888221806
1662057958,30,0.0,0.4060828924162257,0.6924572949752543,0.7163494879273031,90.0
1662057958,30,0.5,0.7259170249118165,0.7812711440348173,0.589267677408621,63.87426099490502
1662057958,30,0.7,0.7718324790564374,0.7722805696180555,0.5669511878822933,47.72017699376252
1662057958,30,1.0,0.8077872299382716,0.7582101678985131,0.5447791771464469,30.000000003528395
1662057958,30,1.2,0.8208187830687832,0.7472078147177286,0.4726033685270061,22.492209942844475
1662057958,30,1.5,0.8349077105379189,0.7132068655829494,0.4490202733814533,15.672377068820971
1662057958,30,2.0,0.8356677414021165,0.6845326542158248,0.4251249180832154,10.332995888221806
1405681632,30,0.0,0.4153789958112875,0.6891498611320279,0.7097199606474693,90.0
1405681632,30,0.5,0.720303874559083,0.7823170263320334,0.5650958413387438,63.87426099490502
1405681632,30,0.7,0.7631916335978836,0.7760803033156687,0.5490744165504492,47.72017699376252
1405681632,30,1.0,0.806864914021164,0.7579681182756963,0.544747267067413,30.000000003528395
1405681632,30,1.2,0.8211633597883597,0.7490021106169152,0.4756351585297493,22.492209942844475
1405681632,30,1.5,0.8357767305996473,0.7147866174915426,0.4551344095685301,15.672377068820971
1405681632,30,2.0,0.8376800870811287,0.679155476103794,0.4093880822078598,10.332995888221806
942484272,30,0.0,0.4128242669753087,0.6927010757477028,0.7036377006944862,90.0
942484272,30,0.5,0.7241141699735449,0.7805937398199946,0.582386912378805,63.87426099490502
942484272,30,0.7,0.7668470293209877,0.7741025107699462,0.5543834032504693,47.72017699376252
942484272,30,1.0,0.8074687775573193,0.7611953103871063,0.5443678485452917,30.000000003528395
942484272,30,1.2,0.8213904596560846,0.7460400207162976,0.4867838281205134,22.492209942844475
942484272,30,1.5,0.8337375992063493,0.7108171235500744,0.4531034473437146,15.672377068820971
942484272,30,2.0,0.837588486552028,0.6797382497060733,0.3865461764929922,10.332995888221806
929893138,30,0.0,0.4043956128747796,0.6909539134074996,0.717975079778441,90.0
929893138,30,0.5,0.7224092261904762,0.7813283864316546,0.5710336735831987,63.87426099490502
929893138,30,0.7,0.7675354662698413,0.7781200318272271,0.5536304421232702,47.72017699376252
929893138,30,1.0,0.8079028880070547,0.760004430566344,0.5384500784416243,30.000000003528395
929893138,30,1.2,0.8215496582892416,0.748707672899488,0.4744363170508566,22.492209942844475
929893138,30,1.5,0.8304562114197532,0.7155924642505106,0.4594733896932289,15.672377068820971
929893138,30,2.0,0.8386135912698413,0.6762081128744587,0.4003414449093176,10.332995888221806
1843824993,30,0.0,0.4059987323633157,0.6928818048127129,0.7200296991144538,90.0
1843824993,30,0.5,0.7211634424603174,0.7772236083226495,0.5959855719231026,63.87426099490502
1843824993,30,0.7,0.7674591324955908,0.7759299020555817,0.5524342842549509,47.72017699376252
1843824993,30,1.0,0.8074200011022927,0.7659654363701065,0.54409078924269,30.000000003528395
1843824993,30,1.2,0.8216541005291006,0.7469313936574667,0.4858761410729011,22.492209942844475
1843824993,30,1.5,0.8351601631393297,0.715888221675078,0.4541954817971065,15.672377068820971
1843824993,30,2.0,0.8380790619488536,0.6739726164614563,0.4099577989577835,10.332995888221806
184566854,30,0.0,0.4148997740299823,0.6908573200775452,0.716423340963533,90.0
184566854,30,0.5,0.7182806988536156,0.7819435399072399,0.5611064951199087,63.87426099490502
184566854,30,0.7,0.7657131834215167,0.7759623992772254,0.5475475463558004,47.72017699376252
184566854,30,1.0,0.8072254188712522,0.7583042517262284,0.5413345901770009,30.000000003528395
184566854,30,1.2,0.8222668375220458,0.7482579822607274,0.4741029304921379,22.492209942844475
184566854,30,1.5,0.8354881503527338,0.7133914143535901,0.4654000739453127,15.672377068820971
184566854,30,2.0,0.8408020557760141,0.6792328471686371,0.4061228582463992,10.332995888221806
1497586439,30,0.0,0.4080148533950617,0.6881640357038276,0.706023803269158,90.0
1497586439,30,0.5,0.7209715057319224,0.7798409800747823,0.5830899489452818,63.87426099490502
1497586439,30,0.7,0.7686647376543211,0.7720972685570995,0.5685153286619171,47.72017699376252
1497586439,30,1.0,0.8082043650793651,0.7641200677911562,0.5256354897546771,30.000000003528395
1497586439,30,1.2,0.8208530368165785,0.7476060944075452,0.4660974990490971,22.492209942844475
1497586439,30,1.5,0.8365891479276897,0.7133121170874662,0.4483927336516151,15.672377068820971
1497586439,30,2.0,0.8402939539241622,0.674699476388701,0.4074958119935832,10.332995888221806
432652533,30,0.0,0.4141455853174602,0.6919671649501982,0.7180449390840066,90.0
432652533,30,0.5,0.722255180776014,0.7810942472266484,0.5876826476178183,63.87426099490502
432652533,30,0.7,0.7630068893298059,0.7748543640067712,0.5479850057535344,47.72017699376252
432652533,30,1.0,0.8055710703262788,0.7595432695917538,0.5440326495780032,30.000000003528395
432652533,30,1.2,0.8217863481040565,0.749003144801562,0.4579949407118686,22.492209942844475
432652533,30,1.5,0.8322475749559082,0.7147577364438852,0.4549335304990578,15.672377068820971
432652533,30,2.0,0.8362798721340388,0.6817392671353926,0.4101644300042781,10.332995888221806
202244314,30,0.0,0.4137162147266314,0.6895504796861853,0.7173497035083857,90.0
202244314,30,0.5,0.7205631613756613,0.7799738046616783,0.5868928329850375,63.87426099490502
202244314,30,0.7,0.765913139329806,0.7750818461600428,0.5428441808528277,47.72017699376252
202244314,30,1.0,0.8074270282186948,0.7609902160439775,0.5433723334453898,30.000000003528395
