dataset,gamma,rho,k,measure,eff_size,eff_over_k,no_mean,no_std,n_seeds
mouse,0.0,10,10,thr_c0.25,30.0,3.0,0.3700705230459239,0.0003730274139626555,5
mouse,0.0,10,10,thr_c0.5,30.0,3.0,0.3700705230459239,0.0003730274139626555,5
mouse,0.0,10,10,thr_c1.0,30.0,3.0,0.3700705230459239,0.0003730274139626555,5
mouse,0.0,10,10,participation_ratio,30.0,3.0,0.3700705230459239,0.0003730274139626555,5
mouse,0.0,10,10,two_pow_entropy,30.000000000000004,3.0000000000000004,0.3700705230459239,0.0003730274139626555,5
mouse,0.0,10,30,thr_c0.25,30.0,1.0,0.5096068060336384,0.000123343918543911,5
mouse,0.0,10,30,thr_c0.5,30.0,1.0,0.5096068060336384,0.000123343918543911,5
mouse,0.0,10,30,thr_c1.0,30.0,1.0,0.5096068060336384,0.000123343918543911,5
mouse,0.0,10,30,participation_ratio,30.0,1.0,0.5096068060336384,0.000123343918543911,5
mouse,0.0,10,30,two_pow_entropy,30.000000000000004,1.0000000000000002,0.5096068060336384,0.000123343918543911,5
mouse,0.0,10,100,thr_c0.25,30.0,0.3,0.5958193266728233,0.00020491155557826238,5
mouse,0.0,10,100,thr_c0.5,30.0,0.3,0.5958193266728233,0.00020491155557826238,5
mouse,0.0,10,100,thr_c1.0,30.0,0.3,0.5958193266728233,0.00020491155557826238,5
mouse,0.0,10,100,participation_ratio,30.0,0.3,0.5958193266728233,0.00020491155557826238,5
mouse,0.0,10,100,two_pow_entropy,30.000000000000004,0.30000000000000004,0.5958193266728233,0.00020491155557826238,5
mouse,0.214286,10,10,thr_c0.25,29.992318025354717,2.999231802535472,0.4201897405759382,0.0003109728687912212,5
mouse,0.214286,10,10,thr_c0.5,29.752833515238017,2.9752833515238017,0.4201897405759382,0.0003109728687912212,5
mouse,0.214286,10,10,thr_c1.0,11.311896566199312,1.1311896566199313,0.4201897405759382,0.0003109728687912212,5
mouse,0.214286,10,10,participation_ratio,26.81014620589925,2.681014620589925,0.4201897405759382,0.0003109728687912212,5
mouse,0.214286,10,10,two_pow_entropy,28.394518863516613,2.8394518863516613,0.4201897405759382,0.0003109728687912212,5
mouse,0.214286,10,30,thr_c0.25,29.992318025354717,0.9997439341784905,0.5130518008563513,9.059903954974636e-05,5
mouse,0.214286,10,30,thr_c0.5,29.752833515238017,0.9917611171746006,0.5130518008563513,9.059903954974636e-05,5
mouse,0.214286,10,30,thr_c1.0,11.311896566199312,0.3770632188733104,0.5130518008563513,9.059903954974636e-05,5
mouse,0.214286,10,30,participation_ratio,26.81014620589925,0.8936715401966417,0.5130518008563513,9.059903954974636e-05,5
mouse,0.214286,10,30,two_pow_entropy,28.394518863516613,0.9464839621172204,0.5130518008563513,9.059903954974636e-05,5
mouse,0.214286,10,100,thr_c0.25,29.992318025354717,0.29992318025354714,0.5894170094870288,0.00017317244768075534,5
mouse,0.214286,10,100,thr_c0.5,29.752833515238017,0.29752833515238014,0.5894170094870288,0.00017317244768075534,5
mouse,0.214286,10,100,thr_c1.0,11.311896566199312,0.11311896566199313,0.5894170094870288,0.00017317244768075534,5
mouse,0.214286,10,100,participation_ratio,26.81014620589925,0.2681014620589925,0.5894170094870288,0.00017317244768075534,5
mouse,0.214286,10,100,two_pow_entropy,28.394518863516613,0.2839451886351661,0.5894170094870288,0.00017317244768075534,5
mouse,0.428571,10,10,thr_c0.25,29.493535387456973,2.9493535387456973,0.4569658299051297,0.0006948829292352494,5
mouse,0.428571,10,10,thr_c0.5,23.055285030643944,2.3055285030643944,0.4569658299051297,0.0006948829292352494,5
mouse,0.428571,10,10,thr_c1.0,9.757660985643522,0.9757660985643521,0.4569658299051297,0.0006948829292352494,5
mouse,0.428571,10,10,participation_ratio,19.1766825832106,1.91766825832106,0.4569658299051297,0.0006948829292352494,5
mouse,0.428571,10,10,two_pow_entropy,23.891985591631805,2.3891985591631806,0.4569658299051297,0.0006948829292352494,5
mouse,0.428571,10,30,thr_c0.25,29.493535387456973,0.9831178462485658,0.5061041614194163,0.0002584860497096318,5
mouse,0.428571,10,30,thr_c0.5,23.055285030643944,0.7685095010214648,0.5061041614194163,0.0002584860497096318,5
mouse,0.428571,10,30,thr_c1.0,9.757660985643522,0.3252553661881174,0.5061041614194163,0.0002584860497096318,5
