dataset,rho,gamma,k_neighbors,eff_perplexity,thr_c0.25_mean,thr_c0.25_std,thr_c0.5_mean,thr_c0.5_std,thr_c1.0_mean,thr_c1.0_std,participation_ratio_mean,participation_ratio_std,two_pow_entropy_mean,two_pow_entropy_std
mouse,10,0.0,30,10.0,30.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0,30.000000000000004,0.0
mouse,10,0.214286,30,10.0,29.992318025354713,0.18884985641060145,29.752833515238017,1.1125233291529466,11.311896566199312,1.564988875965746,26.81014620589925,0.9649966490338855,28.394518863516613,0.6038854940897326
mouse,10,0.428571,30,10.0,29.493535387456973,1.6498360162248626,23.055285030643944,4.151384510172345,9.757660985643522,1.455925923634305,19.1766825832106,1.307505009057921,23.891985591631805,1.4089554573119287
mouse,10,0.5,30,10.0,28.65053312064478,2.6468433797597304,20.15372344891277,3.7694285265489564,9.262950214087818,1.4227790484683087,16.5403331029447,1.0373011679721083,21.998316879459587,1.5078402783553746
mouse,10,0.6,30,10.0,26.41041894047519,3.950996607530804,16.948031231634623,2.9674136427210684,8.585299303165142,1.3951198242390888,13.249087829935183,0.5154925424765039,19.24527030036645,1.4543837232593535
mouse,10,0.642857,30,10.0,25.13781378557636,4.281586790897421,15.851104021492738,2.674918139398355,8.301402065317774,1.3777976883825989,12.023953330458982,0.28714909197392785,18.072140127349147,1.3681017671996656
mouse,10,0.7,30,10.0,23.31386953236504,4.4615268640866415,14.554613382587524,2.3316856465614224,7.935479808580304,1.3566725875670698,10.573686804706105,0.061263965014122894,16.54680185912092,1.204759227679789
mouse,10,0.8,30,10.0,20.092813365796324,4.104645508822266,12.703047603055998,1.904104315920718,7.323734363193687,1.3298836052274285,8.512008150852557,0.4182485277734449,14.053123254924756,0.8270934740689279
mouse,10,0.857143,30,10.0,18.427000251868023,3.6939898443887773,11.805683821677441,1.7304202944775067,6.9923600033582405,1.315271497361325,7.573720080926987,0.5904437435915464,12.758633792471333,0.5853647272490078
mouse,10,0.9,30,10.0,17.284694819914364,3.345189781508214,11.204264965158258,1.6297343951149217,6.760053731844513,1.306398607085672,6.967276946873056,0.6939649540265223,11.858145651748803,0.40270170733461835
mouse,10,1.0,30,10.0,14.999664175971791,2.6113518813119687,9.963647048946353,1.4579505977956781,6.241163630257745,1.293368887379697,5.820322610082624,0.8635205453489722,10.000193289665011,0.014408136991217835
