k,gamma,peak_rho,peak_no,peak_location,max_std_band
30,0.8,160,0.8906266666666667,interior,0.002280379780748007
30,1.0,200,0.8907849999999999,boundary (high),0.0022524107455494853
30,1.2,200,0.8904766666666667,boundary (high),0.002163234461017423
100,0.8,200,0.90016675,boundary (high),0.005794417863340517
100,1.0,200,0.9000187499999999,boundary (high),0.005996127885977772
100,1.2,200,0.898883,boundary (high),0.007909928112821278
