k,gamma,rho,seed,no_at_k
30,0.8,5,0,0.7329833333333333
100,0.8,5,0,0.73332
30,0.8,5,2,0.7296
100,0.8,5,2,0.72015125
30,0.8,5,1,0.7356916666666666
100,0.8,5,1,0.73459
30,0.8,5,3,0.7298041666666667
100,0.8,5,3,0.72960125
30,0.8,5,4,0.7310041666666667
100,0.8,5,4,0.722345
30,1.0,5,0,0.7184375
100,1.0,5,0,0.689945
30,1.0,5,1,0.7173916666666666
100,1.0,5,1,0.70518
30,1.0,5,4,0.7136416666666666
100,1.0,5,4,0.68782375
30,1.2,5,0,0.6987208333333333
100,1.2,5,0,0.660675
30,1.0,5,2,0.7181041666666667
100,1.0,5,2,0.6940275
30,1.0,5,3,0.72055
100,1.0,5,3,0.69351625
30,1.2,5,2,0.6951208333333333
100,1.2,5,2,0.65053125
30,1.2,5,1,0.7013375
100,1.2,5,1,0.673645
30,1.2,5,3,0.6993333333333334
100,1.2,5,3,0.657235
30,1.2,5,4,0.6966125
100,1.2,5,4,0.6544
30,0.8,8,0,0.7519125
100,0.8,8,0,0.7590775
30,0.8,8,1,0.7516541666666666
100,0.8,8,1,0.75969375
30,0.8,8,2,0.7514333333333333
100,0.8,8,2,0.7629675
30,1.0,8,0,0.7426333333333334
100,1.0,8,0,0.7441825
30,0.8,8,4,0.752425
100,0.8,8,4,0.7605125
30,0.8,8,3,0.7510875
100,0.8,8,3,0.7602875
30,1.0,8,3,0.7404
100,1.0,8,3,0.74358125
30,1.0,8,2,0.7416125
100,1.0,8,2,0.73821125
30,1.0,8,1,0.7412041666666667
100,1.0,8,1,0.742185
30,1.0,8,4,0.7401666666666666
100,1.0,8,4,0.74662625
30,1.2,8,0,0.7375125
100,1.2,8,0,0.7340025
30,1.2,8,2,0.7361708333333333
100,1.2,8,2,0.733275
30,1.2,8,3,0.7325791666666667
100,1.2,8,3,0.72608125
30,1.2,8,1,0.7361375
100,1.2,8,1,0.72532
30,1.2,8,4,0.7348916666666667
100,1.2,8,4,0.7257875
30,0.8,12,0,0.769275
100,0.8,12,0,0.77133375
30,0.8,12,1,0.7665208333333333
100,0.8,12,1,0.7688675
30,0.8,12,2,0.7652166666666667
100,0.8,12,2,0.76847375
30,0.8,12,3,0.7676875
100,0.8,12,3,0.77084625
30,0.8,12,4,0.7658791666666667
100,0.8,12,4,0.7679575
30,1.0,12,0,0.7596958333333333
100,1.0,12,0,0.76832375
30,1.0,12,2,0.7571125
100,1.0,12,2,0.7621925
30,1.0,12,1,0.7550583333333334
100,1.0,12,1,0.75988875
30,1.0,12,3,0.7598916666666666
100,1.0,12,3,0.76659
30,1.2,12,0,0.7488541666666667
100,1.2,12,0,0.7554125
30,1.0,12,4,0.7572666666666666
100,1.0,12,4,0.7599675
30,1.2,12,1,0.7472958333333334
100,1.2,12,1,0.75785875
30,1.2,12,3,0.7498291666666667
100,1.2,12,3,0.75396
30,1.2,12,2,0.7490208333333334
100,1.2,12,2,0.7575725
30,1.2,12,4,0.7507125
100,1.2,12,4,0.7579625
30,0.8,18,0,0.7851625
100,0.8,18,0,0.78347875
30,0.8,18,2,0.78485
100,0.8,18,2,0.7839275
30,0.8,18,1,0.7863041666666667
100,0.8,18,1,0.783845
30,0.8,18,3,0.78665
100,0.8,18,3,0.78533125
30,0.8,18,4,0.7865041666666667
100,0.8,18,4,0.786495
30,1.0,18,0,0.7742458333333333
100,1.0,18,0,0.77165875
30,1.0,18,1,0.7756
100,1.0,18,1,0.77219875
30,1.0,18,2,0.77655
100,1.0,18,2,0.775545
30,1.0,18,3,0.7755458333333334
100,1.0,18,3,0.77807375
30,1.0,18,4,0.7756708333333333
100,1.0,18,4,0.7730475
30,1.2,18,2,0.7652833333333333
100,1.2,18,2,0.76752375
30,1.2,18,1,0.7656625
100,1.2,18,1,0.76622625
30,1.2,18,0,0.7669291666666667
100,1.2,18,0,0.76953
30,1.2,18,3,0.7664708333333333
100,1.2,18,3,0.76840375
30,1.2,18,4,0.7649833333333333
100,1.2,18,4,0.764595
30,0.8,25,1,0.8082875
100,0.8,25,1,0.81318125
30,0.8,25,0,0.8086958333333333
100,0.8,25,0,0.81308375
30,0.8,25,2,0.8063416666666666
100,0.8,25,2,0.80867875
30,0.8,25,3,0.8084541666666667
100,0.8,25,3,0.81152
30,0.8,25,4,0.8080083333333333
100,0.8,25,4,0.81218375
30,1.0,25,0,0.7927041666666667
100,1.0,25,0,0.79114
30,1.0,25,2,0.7912708333333334
100,1.0,25,2,0.79201375
30,1.0,25,1,0.7922416666666666
100,1.0,25,1,0.7929675
30,1.0,25,3,0.7908583333333333
100,1.0,25,3,0.7899075
30,1.0,25,4,0.7921291666666667
100,1.0,25,4,0.79336
30,1.2,25,0,0.7820458333333333
100,1.2,25,0,0.77805
30,1.2,25,2,0.779975
100,1.2,25,2,0.7737875
30,1.2,25,1,0.78185
100,1.2,25,1,0.777165
30,1.2,25,3,0.7820083333333333
100,1.2,25,3,0.7784875
30,1.2,25,4,0.7816125
100,1.2,25,4,0.77718125
30,0.8,35,0,0.832075
100,0.8,35,0,0.83657375
30,0.8,35,1,0.8319333333333333
100,0.8,35,1,0.8368
30,0.8,35,2,0.8311541666666666
100,0.8,35,2,0.83738625
30,0.8,35,3,0.8322166666666667
100,0.8,35,3,0.8367475
30,0.8,35,4,0.8317541666666667
100,0.8,35,4,0.83864875
30,1.0,35,0,0.8141416666666667
100,1.0,35,0,0.82114875
30,1.0,35,2,0.8160791666666667
100,1.0,35,2,0.82446625
30,1.0,35,1,0.8160458333333334
100,1.0,35,1,0.82423125
30,1.0,35,3,0.8159375
100,1.0,35,3,0.824335
30,1.0,35,4,0.816475
100,1.0,35,4,0.8244175
30,1.2,35,0,0.8003291666666666
100,1.2,35,0,0.79912625
30,1.2,35,1,0.799875
100,1.2,35,1,0.8006325
30,1.2,35,2,0.8016208333333333
100,1.2,35,2,0.80084125
30,1.2,35,3,0.8007208333333333
100,1.2,35,3,0.80125
30,1.2,35,4,0.8032833333333333
100,1.2,35,4,0.80337625
30,0.8,50,1,0.8549958333333333
100,0.8,50,1,0.86111
30,0.8,50,0,0.8566625
100,0.8,50,0,0.86401
30,0.8,50,2,0.8545833333333334
100,0.8,50,2,0.86172625
30,0.8,50,3,0.8547125
100,0.8,50,3,0.86083375
30,0.8,50,4,0.8545708333333333
100,0.8,50,4,0.8618725
30,1.0,50,0,0.8413166666666667
100,1.0,50,0,0.84538875
30,1.0,50,1,0.8409375
100,1.0,50,1,0.8447875
30,1.0,50,3,0.8413791666666667
100,1.0,50,3,0.8454625
30,1.0,50,4,0.8403208333333333
100,1.0,50,4,0.84843875
30,1.0,50,2,0.8407666666666667
100,1.0,50,2,0.84554
30,1.2,50,1,0.8274125
100,1.2,50,1,0.83579375
30,1.2,50,0,0.8261833333333334
100,1.2,50,0,0.83166
30,1.2,50,3,0.8271416666666667
100,1.2,50,3,0.8327375
30,1.2,50,2,0.8282291666666667
100,1.2,50,2,0.8321475
30,1.2,50,4,0.8268791666666667
100,1.2,50,4,0.83292
30,0.8,70,0,0.8698625
100,0.8,70,0,0.8770475
30,0.8,70,1,0.87065
100,0.8,70,1,0.877745
30,0.8,70,4,0.87185
100,0.8,70,4,0.880085
30,0.8,70,2,0.8722625
100,0.8,70,2,0.87634125
30,0.8,70,3,0.8698625
100,0.8,70,3,0.87712
30,1.0,70,0,0.86495
100,1.0,70,0,0.8714775
30,1.0,70,2,0.8649
100,1.0,70,2,0.87185125
30,1.0,70,1,0.8649041666666667
100,1.0,70,1,0.87186125
30,1.0,70,3,0.8652916666666667
100,1.0,70,3,0.87198
30,1.0,70,4,0.8653666666666666
100,1.0,70,4,0.87207375
30,1.2,70,0,0.850175
100,1.2,70,0,0.8527875
30,1.2,70,1,0.84975
100,1.2,70,1,0.8553675
30,1.2,70,2,0.8502708333333333
100,1.2,70,2,0.852165
30,1.2,70,3,0.8504625
100,1.2,70,3,0.8522575
30,1.2,70,4,0.8507208333333334
100,1.2,70,4,0.85180375
30,0.8,95,0,0.8801625
100,0.8,95,0,0.8887825
30,0.8,95,1,0.8803625
100,0.8,95,1,0.88859625
30,0.8,95,2,0.8811625
100,0.8,95,2,0.88876125
30,0.8,95,4,0.8802666666666666
100,0.8,95,4,0.88871625
30,0.8,95,3,0.8817291666666667
100,0.8,95,3,0.88859
30,1.0,95,0,0.872575
100,1.0,95,0,0.87909625
30,1.0,95,1,0.8727583333333333
100,1.0,95,1,0.87921375
30,1.0,95,2,0.8733333333333333
100,1.0,95,2,0.88045875
30,1.0,95,3,0.8725791666666667
