delta_rho,top5_mass,sigma_i
17.85354167241958,0.41477200353449284,0.5069436140593477
20.98360238822769,0.4591977962667776,0.47561300914819304
24.668824027678603,0.4851978644975261,0.6272343584870694
28.829152420070756,0.522132199595978,0.5706911733505213
18.280341237266327,0.44941525451422626,0.32510144881017566
26.062966380875057,0.5181418183532616,0.628596202835761
24.215455036219602,0.4194783953893412,0.5859427725938529
19.33432332723008,0.4345645367694652,0.6196894388207373
21.72328584810483,0.4647982549891792,0.5162633534138215
18.577145159118423,0.3943108031494522,0.6432038989329514
20.297028630712052,0.44503021859223474,0.3856681514144894
24.326015500865832,0.5041442168259684,0.5745270592072349
13.003762657941927,0.32604805682898386,0.3794562737157591
16.155642922392932,0.40333198633397105,0.39191958359592094
24.715029905188263,0.48666459892241215,0.3341501278275406
15.196850106690963,0.3728532784877274,0.4162893305671204
21.167982829708023,0.481402147895502,0.5707890444211904
16.713834714152057,0.46134218204225086,0.36426014760667236
21.514088750391565,0.45717778108630597,0.5699735744543472
22.84731605254026,0.4235726272135937,0.5374262674202877
12.361954866332002,0.3907096759379043,0.39886035775962353
27.904911924137533,0.5495487382014937,0.5780386523350767
24.18329481305322,0.48210019201512394,0.8588742451055612
11.12251162218639,0.355550707789591,0.2600852528502244
13.721134206621432,0.3770002730484655,0.2777520360744932
16.567261032244335,0.38608336600668214,0.6418560428656351
25.97348629390784,0.5465021973542957,0.5729148530107984
22.034275035692936,0.48612249889883197,0.549181751724291
13.371890373563183,0.36253746922273183,0.16605070444850023
23.298129520149168,0.4854262113857547,0.5557763010952274
22.50687032822571,0.4637790757573636,0.5558260784810607
20.196596242668953,0.4411201880651014,0.5837086481895402
25.66003776680408,0.5478162627487148,0.6208199924717259
18.707384337772858,0.4046385965252097,0.5850454372790155
26.03372110270424,0.5336406731277028,0.5498387807452657
8.385603037092594,0.2759109944076508,0.28580828707700023
24.526902597325712,0.5170179559932162,0.5669881148819128
27.736812908656464,0.46056877380778755,0.7392347698876877
24.360515395983178,0.47688156338608084,0.607365369027304
10.43051634774093,0.31593493691222657,0.3193261345608867
18.01533642146747,0.441259583306633,0.4741814112334315
28.633091794694522,0.47479647309530093,0.5143269355882023
31.905603945594187,0.46485731333274083,0.47880168981875526
29.414857416932193,0.5299154514410895,0.5612766571338843
17.151526620027592,0.4036799824139686,0.4649077359368425
23.46833924281736,0.5242238907073107,0.5905990649022561
24.37834251792418,0.5302261769270519,0.6445357667527815
14.466637524850956,0.3631404379025259,0.4357271653261171
25.45676792310347,0.5350196145392268,0.7100790686337216
23.834044215813257,0.4894024241112485,0.5118853505207871
11.343080325408515,0.3004971781494905,0.44216338656497306
24.52611422534003,0.4998900066365938,0.48523678229362666
17.032222104903337,0.3843106974557988,0.7049586907343114
25.054398440874063,0.5227180450674892,0.5420056416319069
27.717574786496108,0.531934035496516,0.669359398184465
8.801797834157806,0.29560990407520776,0.35890546513175353
11.095208174354006,0.3326855746724997,0.20352050766218746
29.230944467046065,0.4648897329689101,0.5434497046230465
15.979592959811804,0.40361478702951836,0.4460607289423665
14.402027001180752,0.37746002196874173,0.3069729730663663
14.119753098628433,0.4300932285293139,0.38198745295340647
23.714765172823288,0.5038280671087287,0.5234593745222591
21.682328751067704,0.469655817878917,0.5997553377187658
26.440740272980523,0.5344808595667807,0.5361541670113736
27.42153183054593,0.5908299089148765,0.5449547541111214
28.665938299264873,0.5466760198373115,0.5042380023399377
23.893138003880644,0.4889685887113286,0.6681613885410324
7.966045208230337,0.32817384119821813,0.31359741283201614
24.77539550208087,0.5332920862781408,0.48621074526581115
17.950506952477955,0.4412896831346949,0.2789525168020377
26.392157022493308,0.5164935399566164,0.7179661774862962
18.774714280894298,0.3981107309846022,0.5084010572469151
26.049895340457866,0.515956421751692,0.5264103175377055
26.99922262822743,0.5076036940526923,0.5907940516324409
29.199355625224957,0.45899285576641674,0.3408380389554737
19.785054644186108,0.41063036544820375,0.6163184046849861
24.62259096951029,0.4932409924857901,0.3268263837513457
26.558909502554712,0.5251764998540556,0.5772328428111277
15.715475887596632,0.4436951158422771,0.37469210439159495
12.360148712060727,0.3208759606064671,0.42782813284322785
13.962664786416244,0.3858842085601264,0.3583087432179114
11.05363103998199,0.33016632578323524,0.3934607975373532
