target,best_gamma,best_rho,best_value
NO@10,1.125,200,0.87554
NO@30,1.125,200,0.8910666666666666
NO@100,0.75,150,0.8997415
AUC NO@k near-local (k=1..10),1.125,200,0.859520619047619
AUC NO@k mid-local (k=11..90),1.125,200,0.8928918266742366
