rho,gamma,seed,no_at_10,no_at_30,no_at_100,auc_near,auc_mid
15,0.0,0,0.7888375,0.8266083333333333,0.84333125,0.755267802579365,0.8303696327713579
15,0.0,1,0.7906,0.8283541666666666,0.84540375,0.7571707490079366,0.8324655973823021
15,0.0,2,0.7869875,0.8254791666666667,0.842155,0.7539612301587301,0.8294347546022598
15,0.0,4,0.789025,0.8264416666666666,0.84227125,0.7557762599206349,0.8300288800915514
15,0.0,3,0.7891125,0.8266291666666666,0.84322625,0.7555863591269841,0.8302030817261918
15,0.375,0,0.83895,0.8172125,0.823875,0.8341650396825397,0.8190236989087877
15,0.375,2,0.8386875,0.817175,0.82407875,0.8344313343253968,0.8189005961593747
15,0.375,4,0.8385375,0.8173083333333333,0.82386875,0.8341422619047618,0.8190126254437573
15,0.375,1,0.8387875,0.8173416666666666,0.8238725,0.8342875694444445,0.8190508510123369
15,0.375,3,0.8385,0.8174583333333333,0.82410375,0.8339963640873016,0.8191700566997664
15,0.75,0,0.8118125,0.7806625,0.77721875,0.823853318452381,0.7802864511350062
15,0.75,1,0.8119375,0.7803041666666667,0.7715075,0.8240818998015872,0.778368809202685
15,0.75,2,0.81225,0.7819625,0.7778075,0.8247804910714285,0.7813730864886359
15,0.75,4,0.8119875,0.7811458333333333,0.77512375,0.8241910962301588,0.7798376616960846
15,0.75,3,0.8122875,0.779575,0.77734125,0.8239607093253968,0.7799019160084526
15,1.125,1,0.7898375,0.7608,0.7624775,0.8087776289682541,0.7631179342957572
15,1.125,0,0.7906,0.7604833333333333,0.76568875,0.8090254166666668,0.7638203652114622
15,1.125,2,0.7901875,0.7603125,0.76274,0.8087305357142857,0.7627806697633412
15,1.125,3,0.790175,0.7617875,0.767775,0.8088829265873014,0.7655178147628365
15,1.125,4,0.78895,0.7619708333333334,0.77010125,0.8082063740079366,0.7664873639677253
15,1.5,0,0.77225,0.7481208333333333,0.753985,0.7960280753968254,0.753582522170262
15,1.5,1,0.7721,0.7481583333333334,0.7538425,0.7954578521825397,0.7540656340680048
15,1.5,2,0.7723375,0.7492916666666667,0.753385,0.7957806944444444,0.754314823619646
