rank,p_standard,p_smooth_gamma0.5
1,0.1453768264542991,0.05408341625122156
2,0.10183648114874422,0.04526559326241428
3,0.10044231561142931,0.04495467712200163
4,0.06663717102015379,0.0366163288901095
5,0.04563423273879559,0.03030134464421993
6,0.040796220337584344,0.028650122874948687
7,0.03443464413745628,0.026321723586482264
8,0.032574952214204846,0.025601087750707775
9,0.032358440824088314,0.025515866318190198
10,0.03109811522745421,0.0250140238021233
11,0.025307894214799655,0.022565477598167242
12,0.022197661820584483,0.021133437309703972
13,0.021120043338577556,0.020614078572982412
14,0.02103597513723007,0.020573010558618675
15,0.02068300231057466,0.020399678115604135
16,0.018297964199695167,0.019187478727528306
17,0.01768038012425097,0.018860896139431167
18,0.0166557218301239,0.018306202159341506
19,0.014474369642015136,0.017065395361149323
20,0.013855628334712157,0.01669666129255889
21,0.012896437785627584,0.016108363015855918
22,0.008446606772318205,0.013036399552940583
23,0.008380502733963385,0.012985287232750735
24,0.007065370483745702,0.011922957459129569
25,0.006702038765563401,0.01161234666273198
26,0.006544237631426367,0.011474824578686812
27,0.006452368972368739,0.011393997547009432
28,0.0060526848942865155,0.011035462949968065
29,0.005719020762760895,0.010726977289950156
30,0.004357914021066074,0.009363880299387256
31,0.004134086971636971,0.009120241302999465
32,0.003994986183314963,0.008965492784766138
33,0.003835168373786207,0.008784332017122528
34,0.00347866652597605,0.008366097538713896
35,0.0034367310165372747,0.00831551776632482
36,0.0033641150734104843,0.008227197936163487
37,0.003269510501563771,0.008110691688268577
38,0.0031674063582455294,0.007983042045673868
39,0.0031060143126652186,0.007905298091667358
40,0.003095790062059389,0.007892276198481634
41,0.0029917808124681014,0.007758565141057532
42,0.0025253981174989757,0.00712822583959192
43,0.00245507605599167,0.007028279107736562
44,0.0023446970413588445,0.006868468206344082
45,0.0022986826133952593,0.006800737783287848
46,0.0021451683280107794,0.006569725328928831
47,0.00211925618730139,0.0065299259212383085
48,0.0021077330088916293,0.006512148914082261
49,0.0020842719948408923,0.006475804379603151
50,0.0020721916947234542,0.006457010444898009
51,0.0020673046050417765,0.006449391792456647
52,0.0019595800386143503,0.006279109084865256
53,0.001921054369886722,0.006217078525391526
54,0.0019133768246471098,0.0062046427275352836
55,0.001901067235259014,0.006184651934020217
56,0.0017413331434255948,0.0059191242661423326
57,0.0016952561979186598,0.005840287073924527
58,0.0016464957910353611,0.00575568260592344
59,0.0016134538333988516,0.00569763725655311
60,0.0015693255939897,0.00561918141366975
61,0.0015562757543483808,0.005595769287532622
62,0.0013585702399105445,0.00522826477005979
63,0.001312331118757319,0.005138522211837449
64,0.001297500878321704,0.005109405307735309
65,0.001284062021481224,0.005082876118970943
66,0.0012507952642816195,0.005016601904466579
67,0.0012231966785375549,0.004960947957473246
68,0.001119592757496345,0.004746205789612957
69,0.0011127155573607836,0.004731606335528231
70,0.0011016231323851965,0.004707963075159047
71,0.001067029969826671,0.004633453761138918
72,0.0010620364920775323,0.0046225992483426345
73,0.0010497037796639162,0.0045956813138743405
74,0.0010200353991884348,0.0045302706266992015
75,0.0010142010685442817,0.0045172960770179515
76,0.0009995283400096582,0.0044845005408711515
77,0.0008787755202967453,0.00420489833292293
78,0.0008400694048703495,0.004111252102642087
79,0.0008371595748410813,0.004104125654441913
80,0.0008181967908673251,0.004057377443304344
81,0.0008042163939174783,0.004022564212695425
82,0.0007472837699992529,0.003877566901064981
83,0.0007126745793643186,0.003786710976972221
84,0.0006723561380034753,0.003678037997039667
85,0.000642509937575162,0.0035954764553347784
86,0.0006290541814771938,0.0035576281376678395
87,0.0006218971716823705,0.003537331939029557
88,0.0006208771517778685,0.0035344298276644573
89,0.0005889975170045683,0.003442494511685235
90,0.0005865310593367211,0.003435279137866584
