target,best_gamma,best_rho,best_value
NO@10,1.071429,20,0.8472777777777779
NO@30,0.428571,20,0.8158657407407407
NO@100,0.0,30,0.7281069444444445
AUC NO@k near-local (k=1..10),1.5,20,0.8416941909171076
AUC NO@k mid-local (k=11..90),0.428571,20,0.7846013526340749
