model,group,seed,k,no,trust
baseline_standard,baseline,191664964,1,0.5263,0.99488931965983
baseline_standard,baseline,191664964,2,0.526,0.992655948955336
baseline_standard,baseline,191664964,3,0.5144,0.9904781393408428
baseline_standard,baseline,191664964,4,0.500275,0.9886209465381244
baseline_standard,baseline,191664964,5,0.48572,0.9868118236472946
baseline_standard,baseline,191664964,6,0.4750166666666666,0.9849808399114564
baseline_standard,baseline,191664964,7,0.4662571428571428,0.9832107312967804
baseline_standard,baseline,191664964,8,0.45795,0.981752672413793
baseline_standard,baseline,191664964,9,0.4515,0.9805266976082956
baseline_standard,baseline,191664964,10,0.44673,0.9793541410465554
baseline_standard,baseline,191664964,11,0.4436818181818182,0.9779046230570836
baseline_standard,baseline,191664964,12,0.4396083333333333,0.9767379599397212
baseline_standard,baseline,191664964,13,0.4365230769230769,0.9757129396984924
baseline_standard,baseline,191664964,14,0.4337,0.974734963823408
baseline_standard,baseline,191664964,15,0.4316266666666666,0.9738718757857682
baseline_standard,baseline,191664964,16,0.43033125,0.972818214689976
baseline_standard,baseline,191664964,17,0.4291705882352941,0.9716774068208058
baseline_standard,baseline,191664964,18,0.4279444444444444,0.9707983357807146
baseline_standard,baseline,191664964,19,0.4264526315789473,0.9699990655939774
baseline_standard,baseline,191664964,20,0.42504,0.9692095635470462
baseline_standard,baseline,191664964,21,0.424,0.968281994047619
baseline_standard,baseline,191664964,22,0.4232772727272727,0.9675278697729852
baseline_standard,baseline,191664964,23,0.4228608695652174,0.966732803333516
baseline_standard,baseline,191664964,24,0.4223583333333333,0.9660481424246248
baseline_standard,baseline,191664964,25,0.42188,0.96527578748107
baseline_standard,baseline,191664964,26,0.4211384615384615,0.964553305235353
baseline_standard,baseline,191664964,27,0.4212703703703703,0.9639376034913418
baseline_standard,baseline,191664964,28,0.421025,0.9632879478386428
baseline_standard,baseline,191664964,29,0.420648275862069,0.9626094387399324
baseline_standard,baseline,191664964,30,0.4203966666666666,0.9619161187676488
baseline_standard,baseline,191664964,31,0.4203709677419355,0.9612507711578792
baseline_standard,baseline,191664964,32,0.4203,0.9605983269802608
baseline_standard,baseline,191664964,33,0.4205666666666666,0.9600018948983506
baseline_standard,baseline,191664964,34,0.420485294117647,0.9593311998599616
baseline_standard,baseline,191664964,35,0.4204542857142857,0.9588581852401462
baseline_standard,baseline,191664964,36,0.4206694444444444,0.9583302091693772
baseline_standard,baseline,191664964,37,0.4211297297297297,0.957756840702264
baseline_standard,baseline,191664964,38,0.4213710526315789,0.9571800253646164
baseline_standard,baseline,191664964,39,0.4217666666666667,0.9567839852568982
baseline_standard,baseline,191664964,40,0.4219425,0.9562050164995558
baseline_standard,baseline,191664964,41,0.4225268292682926,0.9557120551474688
baseline_standard,baseline,191664964,42,0.4226690476190476,0.9551603642346052
baseline_standard,baseline,191664964,43,0.4229790697674419,0.9546764678939748
baseline_standard,baseline,191664964,44,0.42345,0.9541557585194772
