target,best_gamma,best_rho,best_value
NO@10,0.642857,10,0.4708042985475611
NO@30,0.214286,10,0.5130518008563513
NO@100,0.0,30,0.6141575014692301
AUC NO@k near-local (k=1..10),1.071429,10,0.4894861975658088
AUC NO@k mid-local (k=11..90),0.214286,10,0.534285444085648
