seed,k,standard  ρ=30,smooth  γ=0.7,sharp  γ=1.5,standard  ρ=53  (matched)
191664964,1,0.5421358666721264,0.4589697391589206,0.5857458744523156,0.5144752467138938
191664964,2,0.5641046640186724,0.49375537447278983,0.6033331968387863,0.539095450636747
191664964,3,0.5720213477471575,0.5111720786754568,0.6000436782550536,0.5497795613065258
191664964,4,0.5729699848491053,0.5205048933295114,0.5944013349166701,0.5526084107939888
191664964,5,0.5731624421604358,0.5256336759346465,0.5880758363703371,0.5543958068875148
191664964,6,0.5707314742776025,0.5281417632365588,0.5802076082060522,0.55410985081146
191664964,7,0.5669827490391759,0.5300268504273254,0.5730928299414438,0.5530690798902583
191664964,8,0.5628506203677163,0.5310260636337578,0.5660369149502478,0.5505302813152615
191664964,9,0.5583718930428729,0.5306225516290625,0.5589474450495703,0.5476638958273617
191664964,10,0.5539863232463864,0.5296568527087343,0.5520453707874371,0.5444207853896237
191664964,11,0.5501114912277435,0.5286787451932204,0.5459254516418433,0.5417710539736664
191664964,12,0.5460106056263053,0.5276401457761762,0.5398308150089404,0.538854878997584
191664964,13,0.5420838937484448,0.5268731514176008,0.5342848053220274,0.5361526807004061
191664964,14,0.5387210655934296,0.5255707909469016,0.5293058667306241,0.533615682053502
191664964,15,0.5351364262997693,0.5242864747553335,0.5244352538116103,0.5311166618893576
191664964,16,0.5321572621923755,0.5228914151754638,0.5200339871422137,0.5288135723352853
191664964,17,0.5289974636101523,0.5216737282522034,0.5159373441854527,0.5264791392172118
191664964,18,0.5261569050316439,0.5202739900540974,0.5119489601390425,0.5241436104627621
191664964,19,0.5230453082873023,0.5186853850978127,0.5077704908846786,0.5216056500121767
191664964,20,0.519963351214119,0.5171307481266123,0.5041777568486139,0.5193542442979403
191664964,21,0.5172109874210525,0.5157378212740402,0.5003665853549151,0.5172295116810084
191664964,22,0.5143784596714452,0.5142835339182745,0.49676414859044554,0.5150689979935301
191664964,23,0.5116925383178769,0.5127794503305245,0.4932924799219488,0.5129628277872038
191664964,24,0.5091238073788952,0.5113657303140741,0.4899104937007766,0.5109536874001883
191664964,25,0.5067523852422097,0.5099152368862865,0.48691208386224977,0.5089701486425617
191664964,26,0.5044153361073226,0.5085211970781768,0.4840025765970649,0.5070620178723861
191664964,27,0.5022059035408202,0.5069460558384026,0.48123654959984347,0.5051276451505763
191664964,28,0.49979306451707256,0.5054490573101604,0.4784355677490684,0.5032261461154627
191664964,29,0.4975056798205049,0.5039734033315024,0.47570914800574404,0.501498851327786
191664964,30,0.49543425740141683,0.5025776995209041,0.47318155139702167,0.49979457570670055
191664964,31,0.49334456991668996,0.5012185440611001,0.47064728796342653,0.49797041414647103
191664964,32,0.49127096044388024,0.49968392981450394,0.46802764526432167,0.4960996683182507
191664964,33,0.4894328403398465,0.4983353869558365,0.4656033741452029,0.4944210956045033
191664964,34,0.48766310094735243,0.49697825160120146,0.46339637775588505,0.4928262079165232
191664964,35,0.4858429805729261,0.4955255137557254,0.4611710062183016,0.4912118960847514
191664964,36,0.48398520854091875,0.4940454253852558,0.4590920155239798,0.48963835769760994
191664964,37,0.4820950511135188,0.4926315078847735,0.4568575782694779,0.48813880831406725
191664964,38,0.48038196203009054,0.49119286895014863,0.45480755346455487,0.48660234181539186
191664964,39,0.47863492853460504,0.4898542553224999,0.45283955905961554,0.4850002992380455
191664964,40,0.4769604029319029,0.48845972728389503,0.4509638221203063,0.4835699807542688
191664964,41,0.47524871137495617,0.4871821632920887,0.44903926149125956,0.48220793579296506
191664964,42,0.4736234037450203,0.4859356993688102,0.44715516115131204,0.48083275323150837
191664964,43,0.4720222682917771,0.4847086428664617,0.4453344100531091,0.47943820749012245
191664964,44,0.47042132144093574,0.4834354560717118,0.44353499782229155,0.47802654943025935
191664964,45,0.4688960776016999,0.4822297749204919,0.44175140703128907,0.4766598874374969
191664964,46,0.4674295821664533,0.48100040414255013,0.4400929883938093,0.4753815764408038
191664964,47,0.46590046759546844,0.4797954672774653,0.4385225655979725,0.4740805567583533
191664964,48,0.46436042067619393,0.47857974011438237,0.43693056181155565,0.47274545131921986
191664964,49,0.46296889010712594,0.4774257518412139,0.43534629362985516,0.4715408869415667
191664964,50,0.4615998525858892,0.47630891445886747,0.43375373653822535,0.47037877236804393
191664964,51,0.460356764629606,0.4751981378932147,0.43224731848433245,0.4691951880051804
191664964,52,0.45901974341125074,0.47409582862164656,0.4307161553895922,0.4680520075722975
191664964,53,0.4576636408658494,0.473026617209284,0.42919216603711774,0.46688165845510315
191664964,54,0.4563721720983913,0.4719200384611301,0.42771135043155023,0.46571522384347414
191664964,55,0.45518350450990386,0.47091698277562904,0.4262951781439968,0.4645807818159482
191664964,56,0.45393491842500894,0.46987297232475567,0.42485353647621776,0.4634111742235898
191664964,57,0.4527983896517018,0.4688390133024712,0.4235188725263057,0.4623131371691174
191664964,58,0.4516569261333872,0.4678297649422698,0.42216916192818793,0.46118200983043134
191664964,59,0.450483711226584,0.46687589661301504,0.4208034346654969,0.4600701396894448
191664964,60,0.4493380014468423,0.46589820236681545,0.41941634931684474,0.45901546483218
191664964,61,0.4482399251920377,0.46489684704309175,0.41802372454236847,0.45795643496829186
191664964,62,0.4471488710800197,0.4638485386057214,0.4167777336005104,0.4568919399089361
191664964,63,0.44598553287796144,0.46294368039996797,0.41552189990009897,0.45587293787613187
191664964,64,0.444892139449654,0.4619113032840588,0.4142138170017608,0.45480164356496455
191664964,65,0.4438213643364947,0.46088643758681835,0.4128914899849751,0.45378063646357336
191664964,66,0.4427634934166198,0.4599264418477392,0.41166848452586136,0.4528160065914457
191664964,67,0.44177050947710167,0.459018021558397,0.4105299635070624,0.4518425847096364
191664964,68,0.4407823425836491,0.45808965042140687,0.4093701298544888,0.45098209833870084
191664964,69,0.4397486363898024,0.4571490205922795,0.40814747820389796,0.45000175069092946
191664964,70,0.43880851959964207,0.4562642222443214,0.4070790946901672,0.44906754725148734
191664964,71,0.4378767177406192,0.45542280339421565,0.4059811141530812,0.4481807103214678
191664964,72,0.4368948741747767,0.45455414056208454,0.4049031116206908,0.44728011865925954
191664964,73,0.4359828420745002,0.45375948052793097,0.4038759589910547,0.4464196264948256
191664964,74,0.4350951828123115,0.4529392625088952,0.40284198247631364,0.44555804319941744
191664964,75,0.4341793265359049,0.4521081582790768,0.40176023367866454,0.4446697514434298
191664964,76,0.4332835307834715,0.4512816837967324,0.4006937514951541,0.4438320448966485
191664964,77,0.43242801995514824,0.45044742735255,0.39960365174320367,0.4430028020380586
191664964,78,0.43157843344158403,0.4497007094566572,0.3985467530572153,0.44220164654422056
191664964,79,0.4306935979046878,0.44894438745653126,0.39753656714831964,0.44138915511084825
191664964,80,0.42982115801973714,0.448093597723271,0.3964937963228369,0.44058673887228206
191664964,81,0.428941444344854,0.4473002136897965,0.3954734869453076,0.4397811335214936
191664964,82,0.42814910397988143,0.4465796131078709,0.39455995989057796,0.4390506071843406
191664964,83,0.4273366345279566,0.4458149538492202,0.39362256363400455,0.43826343414689023
191664964,84,0.42654521576863,0.44508897494545097,0.3926991991669933,0.43753912031214354
191664964,85,0.425728098044836,0.4443535818979326,0.39180045139549613,0.4367745214461035
191664964,86,0.4250075944931116,0.44367243022827285,0.39091712908162335,0.43608769806390413
191664964,87,0.4242732959714811,0.44297799096029566,0.39005505436954346,0.4353357083384519
191664964,88,0.4235352118705585,0.4422821174771341,0.389163248098693,0.4346124423465646
191664964,89,0.42280336181468425,0.44154759051083775,0.38831333688219155,0.433902899006151
191664964,90,0.4220839077478854,0.44086328251186363,0.3874568335994977,0.43320070613179
191664964,91,0.4214011900224586,0.44017893985135287,0.38668350199409535,0.4324678229104747
191664964,92,0.4206723365314599,0.4395426334783143,0.3858907070358192,0.43180539557009917
191664964,93,0.41996598203643687,0.4389118654709744,0.38510131197678005,0.43111274317494236
191664964,94,0.4192626767858497,0.43825030253871144,0.3843239207274521,0.43044223362000095
191664964,95,0.41852654854859594,0.43755266713936886,0.38351418860816505,0.42975976241328107
191664964,96,0.4178330552256937,0.4369326945388532,0.3827550229993312,0.42911177026602787
191664964,97,0.41711438988837135,0.4363031310301215,0.38196211896386284,0.42843682363961727
191664964,98,0.4164177033984635,0.4356607185685789,0.3811960515748824,0.42775475941164726
