model,group,knn_acc_mean,knn_acc_std,spearman_mean,spearman_std,triplet_mean,triplet_std,n
baseline_sharp,baseline,0.9209766666666667,0.0008893443277681229,0.3522660836677478,0.003997011676679625,0.6265999999999999,0.0006296030495478821,3
baseline_smooth,baseline,0.9103333333333333,0.0014260902262245366,0.43090077166780655,0.003101726479301742,0.6527266666666667,0.0006087144924620305,3
baseline_standard,baseline,0.9267666666666666,4.509249752821454e-05,0.3739016515727232,0.001525024200479583,0.6339600000000001,0.001206150902665182,3
curric_glob0.5_sharp2_localheavy,curriculum,0.9187600000000001,0.0007765951326141488,0.4199400395179171,0.0030177726773126692,0.6475133333333333,0.00101633327867064,3
curric_glob0.5_sharp2_no_mid,curriculum,0.91253,0.0008798295289429882,0.4207791225640227,0.0018186923080695423,0.6504,0.0007501999733404953,3
curric_glob0.5_sharp2_split5050,curriculum,0.91897,0.0006150609725872211,0.42273240535632417,0.002989816640301495,0.6482266666666666,0.0010216326802395385,3
curric_glob1_sharp2_localheavy,curriculum,0.9183566666666666,0.0006706216021970826,0.3705320594725581,0.0015203568945126103,0.6326999999999999,0.0014860686390608295,3
curric_glob1_sharp2_split5050,curriculum,0.9186266666666668,0.0011159002344893162,0.37314103671358584,0.0014457595374130301,0.6339133333333332,0.0011602298622830532,3
pacmap,external,0.8975866666666666,0.0019131474938784004,0.33022261510418066,0.014134409107547444,0.62,0.0063387380447530225,3
trimap,external,0.8790399999999999,0.01691080423871081,0.25763011504303424,0.0013144293157622085,0.6112533333333333,0.0001616580753731264,3
umap,external,0.9134700000000001,0.005369106070846518,0.33263642157062606,0.01427346670991402,0.61908,0.00528556524886413,3
vae,external,0.6579166666666666,0.04309424594227557,0.35841515633852433,0.07639434149964268,0.6250733333333334,0.022825777825373934,3
