model,group,k,no_mean,no_std,trust_mean,trust_std
baseline_sharp,baseline,1,0.6617999999999999,0.0032908965343808167,0.9948369184592295,0.00011794993027455295
baseline_sharp,baseline,2,0.5919833333333333,0.0005859465277082459,0.9904685245423078,0.00039481813148246463
baseline_sharp,baseline,3,0.5448,0.0009504384952922242,0.9866117716590183,0.00025892897363337803
baseline_sharp,baseline,4,0.5116666666666667,0.00025535922410075036,0.9834062591294187,0.00023095967153494257
baseline_sharp,baseline,5,0.4872066666666666,0.0005900282479113336,0.980556124749499,0.0003315784564514469
baseline_sharp,baseline,6,0.46854999999999997,0.0003055050463304072,0.9779666952066713,0.0002693204213249086
baseline_sharp,baseline,7,0.4534666666666667,0.0005222270468248252,0.9754827770416264,0.0001561059112327789
baseline_sharp,baseline,8,0.4415166666666667,0.0003657896708948138,0.9728772805642633,0.00018210666616777873
baseline_sharp,baseline,9,0.43247777777777774,0.0005982484722653684,0.9707093902733641,0.00021951331001288235
baseline_sharp,baseline,10,0.42329333333333335,0.0005441813423238198,0.9685924645501318,0.00032800532190222496
baseline_sharp,baseline,11,0.4166393939393939,0.0003488272362808534,0.966895860437161,0.000464704102622934
baseline_sharp,baseline,12,0.4099305555555555,0.0005627520011646551,0.9651286087041454,0.0006209933482735567
baseline_sharp,baseline,13,0.4054102564102564,0.0005505421391163201,0.9633781374822831,0.0006653240429101983
baseline_sharp,baseline,14,0.40085,0.000630395081820666,0.961729076524414,0.0006577242016987775
baseline_sharp,baseline,15,0.3968688888888889,0.0009288064822563475,0.9601666652697456,0.00057901094660799
baseline_sharp,baseline,16,0.3941354166666667,0.0006351160491070452,0.9586299482769464,0.0006317880176990682
baseline_sharp,baseline,17,0.3921235294117647,0.0005407927028028852,0.9571737050633037,0.0006552222942132956
baseline_sharp,baseline,18,0.3901074074074074,0.00056199966316643,0.9557882537351702,0.0006749300994339166
baseline_sharp,baseline,19,0.38798421052631576,0.00047946761796377083,0.9543191493591697,0.0006643801312568191
baseline_sharp,baseline,20,0.38577666666666666,0.00032528192899902486,0.9529659203510098,0.0007052031081284624
baseline_sharp,baseline,21,0.3846253968253968,0.0002787375708600058,0.9517163758480542,0.0006937403728930397
