k,rho,gamma,seed,no_at_k
30,30,0.0,1,0.42660845716844376
100,30,0.0,1,0.6146990177147175
30,30,0.061224,1,0.4380726499314359
100,30,0.061224,1,0.6147548484594073
30,30,0.0,4,0.4262026698010243
100,30,0.0,4,0.6141067080849635
30,30,0.0,0,0.4269218929281057
100,30,0.0,0,0.614017714717488
30,30,0.061224,2,0.4375968992248062
100,30,0.061224,2,0.6147166484761984
30,30,0.061224,0,0.4375059468838329
100,30,0.061224,0,0.6147183275963395
30,30,0.0,3,0.42742143117006687
100,30,0.0,3,0.6141881454118042
30,30,0.0,2,0.42744381943861415
100,30,0.0,2,0.6137759214171774
30,30,0.061224,3,0.4385274116363026
100,30,0.061224,3,0.6154181009151205
30,30,0.061224,4,0.43650407186634205
100,30,0.061224,4,0.6141041894047519
30,30,0.122449,1,0.4469929756807433
100,30,0.122449,1,0.6156745865166653
30,30,0.122449,0,0.4460274815996418
100,30,0.122449,0,0.6148589539081522
30,30,0.183673,0,0.4548526572076232
100,30,0.183673,0,0.6141768113508521
30,30,0.122449,2,0.445639884700417
100,30,0.122449,2,0.6144702375955
30,30,0.122449,3,0.44695659474435395
100,30,0.122449,3,0.6140030224162539
30,30,0.183673,2,0.4544944449108667
100,30,0.183673,2,0.6145294265804718
30,30,0.122449,4,0.44648364257129264
100,30,0.122449,4,0.6146251364285115
30,30,0.183673,4,0.4548246718719391
100,30,0.183673,4,0.6145919738057258
30,30,0.183673,1,0.4546245767217978
100,30,0.183673,1,0.6146377298295693
30,30,0.183673,3,0.45394873086502674
100,30,0.183673,3,0.6141810091512048
30,30,0.244898,0,0.4622421850950102
100,30,0.244898,0,0.6141625388296532
30,30,0.306122,1,0.4701984160300003
100,30,0.306122,1,0.6124271681638821
30,30,0.244898,4,0.4626003973917667
100,30,0.244898,4,0.6133053479976492
30,30,0.244898,1,0.46272633140234515
100,30,0.244898,1,0.6141474267483839
30,30,0.306122,2,0.4686564240338063
100,30,0.306122,2,0.6114759466039795
30,30,0.244898,2,0.4622911594324574
100,30,0.244898,2,0.6135698094198639
30,30,0.244898,3,0.4626745585313296
100,30,0.244898,3,0.6138103433800688
30,30,0.306122,4,0.47013684829149527
100,30,0.306122,4,0.6124939131894888
30,30,0.306122,0,0.4691923432121568
100,30,0.306122,0,0.6120275375703131
30,30,0.306122,3,0.469623317381692
100,30,0.306122,3,0.6119931156074218
30,30,0.367347,1,0.47760753365236613
100,30,0.367347,1,0.6104659558391403
30,30,0.367347,2,0.47659026670024907
100,30,0.367347,2,0.6098115187641676
30,30,0.367347,3,0.47661825203593317
100,30,0.367347,3,0.6100289648224331
30,30,0.367347,0,0.4774815996417877
100,30,0.367347,0,0.6106955755184283
30,30,0.428571,1,0.48344667394285396
100,30,0.428571,1,0.6084321215682982
30,30,0.428571,2,0.4841029300646461
100,30,0.428571,2,0.6082507765930653
30,30,0.428571,3,0.4845143144992024
100,30,0.428571,3,0.6077869196541013
30,30,0.367347,4,0.4767385889793748
100,30,0.367347,4,0.6102984636050709
30,30,0.428571,0,0.4837097360982845
100,30,0.428571,0,0.6083158424985308
30,30,0.428571,4,0.48380628550639465
100,30,0.428571,4,0.6087188313323818
30,30,0.489796,3,0.4896860045336244
100,30,0.489796,3,0.6062967005289228
30,30,0.489796,4,0.48944672991352534
100,30,0.489796,4,0.6065187641675762
30,30,0.489796,1,0.4891081073517477
100,30,0.489796,1,0.6057614809839644
30,30,0.55102,1,0.4936809112025299
100,30,0.55102,1,0.6028486273192847
30,30,0.489796,0,0.4897727590742451
100,30,0.489796,0,0.6058202501889011
30,30,0.55102,0,0.4935745669269303
100,30,0.55102,0,0.6026874317857442
30,30,0.489796,2,0.48989729381803937
100,30,0.489796,2,0.6056892788178995
30,30,0.55102,3,0.4940936949038704
100,30,0.55102,3,0.6027919570145244
30,30,0.55102,4,0.49423082304872246
100,30,0.55102,4,0.6032192930904207
30,30,0.55102,2,0.4940643103014021
100,30,0.55102,2,0.6035173369154563
30,30,0.612245,0,0.4972784261047211
100,30,0.612245,0,0.5999324154143229
30,30,0.612245,1,0.496923012341533
100,30,0.612245,1,0.6002556460414743
30,30,0.612245,2,0.49700976688215376
100,30,0.612245,2,0.5992112333137436
30,30,0.612245,3,0.49713989869308484
100,30,0.612245,3,0.600317773486693
30,30,0.673469,1,0.499283575406487
100,30,0.673469,1,0.596022584165897
30,30,0.612245,4,0.49706993535387456
100,30,0.612245,4,0.6004327932163547
30,30,0.673469,0,0.4996152016343436
100,30,0.673469,0,0.5963609268743179
30,30,0.673469,4,0.4991394509277139
100,30,0.673469,4,0.596526320208211
30,30,0.673469,2,0.49919402233229787
100,30,0.673469,2,0.596619511376039
30,30,0.673469,3,0.49903870371925113
100,30,0.673469,3,0.5965981025942406
30,30,0.734694,2,0.4995578316961912
100,30,0.734694,2,0.5917530014272521
30,30,0.734694,0,0.5003162342932304
100,30,0.734694,0,0.5918424145747628
30,30,0.734694,1,0.49999300366607896
100,30,0.734694,1,0.5919893375871044
30,30,0.734694,3,0.5000377802031736
