k,rho,peak_gamma,peak_no,peak_location,max_std_band
30,30,0.734694,0.49997817143816636,interior,0.00098444344338331
30,100,1.408163,0.4975059468838329,interior,0.0006661242409851882
100,30,0.061224,0.6147424229703635,interior,0.001896642601827234
100,100,0.734694,0.6103487532532952,interior,0.0017154501337809406
