delta_rho,top5_mass,sigma_i
22.308688746201618,0.46866197780038404,1.9668463949074666
25.877835098776664,0.5048387045100661,3.2827089418679325
20.67890201570853,0.49405847761058475,2.094152729564272
24.65803103441213,0.49744969704167874,2.5081922195241964
20.93688265080067,0.4794741451349636,3.109920311863599
25.212817231101806,0.5271105206118482,2.513930138763543
20.3335590819648,0.4623406722830769,2.064625231030442
22.53411341482511,0.4968534797115635,2.517886461401157
20.078598327743958,0.4328682970468494,2.0515728478418715
19.0431260808309,0.445482799750861,2.250326630058596
23.240645378684867,0.5011988271076889,2.9314992350024
21.924421584138603,0.4743478550677907,1.8557181407193508
21.768859104597258,0.44436563052818745,1.8791616552729842
21.94082553411735,0.49161535982109916,2.4902387946225764
19.05057962084084,0.44411890742293025,1.8048319480642836
25.830581192905633,0.5328871199413096,1.9149723172957234
26.599028924162194,0.4847185235616946,2.667942538344906
19.43325788848753,0.45498636883196536,2.0374166219566665
20.573291968068506,0.4383591734784068,2.825733578977764
21.610826838206584,0.5119294828263853,2.83242774617602
21.26474769215623,0.49250917639535846,3.067394696607294
18.75875574092287,0.46505343265002447,1.7806999187126373
24.2044288451339,0.4768711368066666,2.4800005373536904
15.154600903267621,0.36687966303481323,2.3097535440728305
20.80761502647123,0.46115666394988547,1.6342238148666497
26.96995311389569,0.5018737263393621,2.1958379136676274
26.504118826021564,0.5111052732546462,2.528741963707352
21.810960541653916,0.4811572630331671,2.132260069728898
27.175916780322236,0.5004127227299603,3.627922485317431
23.322642985669564,0.511725697277572,3.117260776643737
20.02641242563821,0.4401256621045219,1.6028513540101763
23.820964773234778,0.4673564003517952,2.8334902169572342
19.538349138539214,0.4709970386248058,2.3454796697410285
20.605705052538315,0.45375327201089083,2.070720346450956
19.940405750849163,0.4360128034457556,2.201422704554775
26.79360327530376,0.4554827738744301,2.015287338163976
23.975629788265962,0.4867961365850082,2.415537780706061
20.702582951898666,0.46822114366479334,2.679104859381156
23.842585925972227,0.5081865471194803,2.0049084526263368
20.604451787594897,0.4602350014187883,3.5732188901914275
25.487825533916606,0.5115113826175952,2.5341877104840607
23.08809908660624,0.4612207825872246,2.0435499065299854
27.293057980219857,0.517397157614959,1.9290424812660665
21.5378203394081,0.47693713792333536,1.773346952544949
24.770437404698214,0.5225764165576234,2.6021716325303035
22.520588660661556,0.49521205106877325,2.1494966703824727
24.35734410086579,0.4778723136840012,1.9508973820445663
23.285996974135312,0.5075043695314051,2.3281748292746682
21.23236029600395,0.47539644838842043,1.9276611108690347
22.31783019105498,0.4582868618024888,2.802462473161049
23.366904804197905,0.48060599932128883,2.6290830389837017
21.014462593689895,0.442672417598962,2.5405440659779304
23.70804618724775,0.5003405619333273,2.8469718144055776
22.3581951816431,0.498789866202248,1.9304954349585475
24.30970542950269,0.5099800653025014,2.176114419023986
27.742319836232166,0.4876531959764666,3.0688338295765782
20.769210965396173,0.4840172841187831,2.3324832618962987
27.354856906045782,0.5355546420085645,2.695427587265595
24.682451288203964,0.5015056513419085,2.6022388503961857
23.931949639079207,0.5002148776225459,2.6754081017535953
