seed,perplexity,standard_no,smooth_gamma0.7_no,standard_auc,smooth_gamma0.7_auc
191664964,5,0.33937428571428574,0.36255619047619053,0.3840086034925077,0.397806263483989
1662057958,5,0.3396038095238096,0.36269095238095234,0.38424552577989296,0.3980782187347386
1405681632,5,0.3388352380952381,0.3626719047619047,0.3839177035901877,0.3980712147661241
942484272,5,0.33974000000000004,0.3627442857142858,0.3843061629215026,0.3978315805391279
929893138,5,0.33946809523809524,0.3623133333333333,0.38405593745379013,0.39750382762111514
1843824993,5,0.3392242857142857,0.3626890476190476,0.38391772951660086,0.3980753859022974
184566854,5,0.33882571428571434,0.3624142857142857,0.38376148144376726,0.39769379780416136
1497586439,5,0.3393038095238095,0.3626028571428571,0.384115467048639,0.39785633960674
432652533,5,0.33948523809523806,0.36300714285714286,0.38425155246837744,0.3979215849931581
202244314,5,0.3391671428571429,0.3625957142857143,0.38401436870390254,0.3978678356890469
191664964,10,0.3645919047619048,0.38513476190476187,0.39732530740814487,0.39883089968723373
1662057958,10,0.3641933333333333,0.38490047619047624,0.3970481533810997,0.398786837980524
1405681632,10,0.36441,0.3851238095238095,0.3971141761727237,0.39903031296090824
942484272,10,0.36458761904761905,0.3849385714285714,0.3974651852623722,0.3990275993048818
929893138,10,0.3647090476190477,0.38470714285714286,0.39759892984944706,0.3988632435207935
1843824993,10,0.3643604761904761,0.38487571428571427,0.39746478764475274,0.3989658081640474
184566854,10,0.3648395238095238,0.38513,0.39748963702958734,0.3991213508038366
1497586439,10,0.3646733333333333,0.3848338095238096,0.39743079855444235,0.3988045217483543
432652533,10,0.364717619047619,0.38495999999999997,0.39738697710211307,0.3989360070232569
202244314,10,0.3647466666666667,0.3848638095238095,0.3976166286360209,0.39896273671143667
191664964,15,0.37481809523809523,0.3899376190476191,0.3985478733945355,0.38989902314326413
1662057958,15,0.37478095238095244,0.3901957142857143,0.3986398718439828,0.3899931793934819
1405681632,15,0.37413095238095245,0.3907847619047619,0.3984090761404243,0.3903047820129947
942484272,15,0.37462999999999996,0.39023095238095235,0.39856695512503165,0.3898594194247196
929893138,15,0.3747038095238095,0.39052523809523815,0.398446480075936,0.3904650357718145
1843824993,15,0.37463380952380954,0.3901333333333333,0.3985222504698683,0.3900604257695154
184566854,15,0.3746014285714286,0.38994285714285726,0.39857634364365835,0.39007821130592735
1497586439,15,0.37465047619047614,0.39058380952380956,0.39841594842390304,0.3902221357058343
432652533,15,0.3748252380952381,0.3906619047619047,0.39871175889236715,0.3898522317993758
202244314,15,0.37492285714285717,0.3903809523809524,0.39855957875307363,0.390079046645412
191664964,20,0.38025523809523815,0.3912390476190476,0.3970682254254448,0.3804276205882914
1662057958,20,0.3797228571428572,0.3911738095238095,0.3967831375278144,0.38056396592347175
1405681632,20,0.3800209523809524,0.39124761904761907,0.3967309651011025,0.3801984506210261
942484272,20,0.37995095238095244,0.3909023809523809,0.39670659711017925,0.3802166958507146
929893138,20,0.3802647619047619,0.3908576190476191,0.397078054762329,0.38021798325679285
1843824993,20,0.3802942857142857,0.3908714285714286,0.3970010889441647,0.3804751168592825
184566854,20,0.3798985714285715,0.3907428571428571,0.3969349337696508,0.38034115719451705
1497586439,20,0.3801185714285714,0.3911480952380952,0.3970265562739591,0.380417213715817
432652533,20,0.3799976190476191,0.39046619047619047,0.39675845873184884,0.38021828996358487
202244314,20,0.38005809523809525,0.3908385714285714,0.3968032242335919,0.38008991104693324
191664964,25,0.3825666666666667,0.38954523809523806,0.39378780770508676,0.3704355237514458
1662057958,25,0.3828133333333333,0.3895280952380952,0.39404369469446493,0.37053279823211505
1405681632,25,0.3825819047619048,0.3896238095238096,0.39371780332972633,0.37032074271760884
942484272,25,0.3827933333333333,0.3890757142857143,0.39421023834744073,0.37040937975906935
929893138,25,0.38228333333333336,0.3894680952380952,0.3934542285570422,0.370378632280428
