seed,perplexity,gamma,AUC_1_10,AUC_11_90,global_spearman,median_eff_perp
191664964,30,0.0,0.2562084837210754,0.42980947531610825,0.3895392734320749,90.0
191664964,30,0.5,0.4505946124952308,0.4812291275557864,0.36779107289038776,69.83960080601597
191664964,30,0.7,0.5161443995312387,0.4793947993309137,0.35634340430825573,52.676378427751935
191664964,30,1.0,0.5626389343870712,0.46811806094781544,0.30588980069058613,30.000000002240995
191664964,30,1.2,0.5748849407841157,0.45854007714002104,0.2964232394605624,20.294732066420824
191664964,30,1.5,0.5803507373630423,0.44369096173134803,0.2871797671162832,12.199249008731783
191664964,30,2.0,0.5791478734799546,0.4201472942217631,0.20079684296338773,6.832611617121493
1662057958,30,0.0,0.256829896270644,0.43020912221916524,0.3924888246638913,90.0
1662057958,30,0.5,0.451043219698373,0.4806898756072552,0.3700181307888184,69.83960080601597
1662057958,30,0.7,0.5165877167582156,0.4798462922887531,0.35196908836060575,52.676378427751935
1662057958,30,1.0,0.5634988110349991,0.468276912077415,0.30371381323414276,30.000000002240995
1662057958,30,1.2,0.5748856159446429,0.45812587316819753,0.2977708114036569,20.294732066420824
1662057958,30,1.5,0.581001016071908,0.4433740821928039,0.2891568652028382,12.199249008731783
1662057958,30,2.0,0.5791920952757937,0.4197383096959399,0.2031169636268577,6.832611617121493
1405681632,30,0.0,0.25717598713181405,0.42995799085311254,0.39037198958874497,90.0
1405681632,30,0.5,0.45008203403524033,0.48125918124499717,0.36984537562065745,69.83960080601597
1405681632,30,0.7,0.5168035325113762,0.4797259445692966,0.35675018208232345,52.676378427751935
1405681632,30,1.0,0.5632757675705855,0.4688190401048896,0.3087179504527513,30.000000002240995
1405681632,30,1.2,0.5746500076696935,0.45868384664007333,0.29848484170875067,20.294732066420824
1405681632,30,1.5,0.5802715550888742,0.44352500498570147,0.2868729516316366,12.199249008731783
1405681632,30,2.0,0.5788777402092787,0.4201947533711329,0.20077653244556676,6.832611617121493
942484272,30,0.0,0.2569879138953399,0.43019814794431993,0.39025308395263436,90.0
942484272,30,0.5,0.45072809766249844,0.48086582412917955,0.3729836440759535,69.83960080601597
942484272,30,0.7,0.5165330571918652,0.479378787781542,0.35595057792784507,52.676378427751935
942484272,30,1.0,0.5633280100459986,0.46802504562005415,0.30611272278911283,30.000000002240995
942484272,30,1.2,0.5744881259493683,0.4584283199330962,0.30404116849642154,20.294732066420824
942484272,30,1.5,0.5807380747639131,0.442537988833959,0.28788013797096124,12.199249008731783
942484272,30,2.0,0.5788226224112347,0.4194499486278989,0.20360628936610428,6.832611617121493
929893138,30,0.0,0.25739123334522784,0.4306265638950405,0.391318582514755,90.0
929893138,30,0.5,0.4494137721698019,0.48096597504362304,0.36987089057224365,69.83960080601597
929893138,30,0.7,0.5161399585836545,0.479450580999295,0.3572220888616431,52.676378427751935
929893138,30,1.0,0.5635258588919372,0.46802240801390405,0.30696244702657655,30.000000002240995
929893138,30,1.2,0.5747279988664452,0.45806248795645776,0.3003811001616889,20.294732066420824
929893138,30,1.5,0.5803086621064489,0.4430763590814686,0.28835363612432785,12.199249008731783
929893138,30,2.0,0.5790502254434935,0.4205243637084193,0.20239228922505734,6.832611617121493
191664964,50,0.0,0.20965994658513393,0.3818774450344461,0.4393094514632052,149.99999999999974
191664964,50,0.5,0.3932734853492603,0.46658341108868984,0.3918923698762744,118.556344103083
191664964,50,0.7,0.47853986826976264,0.47870990939964314,0.3834015932520622,90.03396508702511
191664964,50,1.0,0.5489030485732094,0.475238447607855,0.34613801846969733,50.0000000001142
191664964,50,1.2,0.5648611192357864,0.4690903928992439,0.2993902784912993,32.34308593841955
191664964,50,1.5,0.576262992168463,0.4549496788846028,0.2882140835102749,17.855395677925138
191664964,50,2.0,0.5789652949614663,0.4336844592389296,0.19825321670565188,8.938584235422564
1662057958,50,0.0,0.20733172497258737,0.3795093647169767,0.4348741786074063,149.99999999999974
1662057958,50,0.5,0.3915895163738209,0.4665987267811659,0.3950872444906661,118.556344103083
1662057958,50,0.7,0.47895409997120614,0.47922920607170355,0.3811871010237798,90.03396508702511
1662057958,50,1.0,0.5474026070783473,0.47538888785710276,0.35177779093505757,50.0000000001142
1662057958,50,1.2,0.5657762030531879,0.4687343528408161,0.30070232970418,32.34308593841955
