k,rho,gamma,seed,no_at_k
30,30,0.061224,0,0.7055324074074074
100,30,0.061224,0,0.7025902777777778
30,30,0.061224,3,0.7046990740740741
100,30,0.061224,3,0.7005972222222222
30,30,0.0,1,0.6283101851851852
100,30,0.0,1,0.7259652777777778
30,30,0.061224,1,0.7069907407407408
100,30,0.061224,1,0.7047777777777777
30,30,0.0,2,0.6250925925925926
100,30,0.0,2,0.7289722222222222
30,30,0.061224,2,0.7063657407407408
100,30,0.061224,2,0.70175
30,30,0.0,0,0.6346296296296297
100,30,0.0,0,0.7292986111111112
30,30,0.0,3,0.6251388888888889
100,30,0.0,3,0.7287777777777777
30,30,0.0,4,0.6258564814814814
100,30,0.0,4,0.7275208333333333
30,30,0.061224,4,0.706875
100,30,0.061224,4,0.7002916666666666
30,30,0.122449,2,0.7467592592592592
100,30,0.122449,2,0.6942708333333333
30,30,0.122449,1,0.7447222222222222
100,30,0.122449,1,0.6919652777777778
30,30,0.183673,1,0.7678935185185185
100,30,0.183673,1,0.6841597222222222
30,30,0.183673,0,0.7714351851851852
100,30,0.183673,0,0.6820416666666667
30,30,0.122449,4,0.7429861111111111
100,30,0.122449,4,0.6902013888888889
30,30,0.122449,0,0.7464583333333333
100,30,0.122449,0,0.6928333333333333
30,30,0.183673,2,0.7708796296296296
100,30,0.183673,2,0.6820416666666667
30,30,0.183673,4,0.7697916666666667
100,30,0.183673,4,0.6841111111111111
30,30,0.122449,3,0.7434953703703704
100,30,0.122449,3,0.6942083333333333
30,30,0.183673,3,0.7705092592592593
100,30,0.183673,3,0.6822638888888889
30,30,0.244898,0,0.7821759259259259
100,30,0.244898,0,0.6752847222222222
30,30,0.244898,1,0.7819444444444444
100,30,0.244898,1,0.6788611111111111
30,30,0.244898,2,0.7829398148148148
100,30,0.244898,2,0.6752569444444444
30,30,0.306122,3,0.7932870370370371
100,30,0.306122,3,0.6729166666666667
30,30,0.244898,4,0.7832638888888889
100,30,0.244898,4,0.6744305555555555
30,30,0.244898,3,0.7849074074074074
100,30,0.244898,3,0.6746111111111112
30,30,0.306122,4,0.7935648148148148
100,30,0.306122,4,0.6785555555555556
30,30,0.306122,2,0.7906712962962963
100,30,0.306122,2,0.6800347222222223
30,30,0.306122,0,0.7944212962962963
100,30,0.306122,0,0.6721388888888888
30,30,0.306122,1,0.7953935185185185
100,30,0.306122,1,0.6713541666666667
30,30,0.367347,0,0.800787037037037
100,30,0.367347,0,0.6665902777777778
30,30,0.367347,1,0.8009259259259259
100,30,0.367347,1,0.6688055555555555
30,30,0.428571,3,0.8032870370370371
100,30,0.428571,3,0.6795347222222222
30,30,0.428571,1,0.8038888888888889
100,30,0.428571,1,0.6647638888888889
30,30,0.428571,2,0.8066435185185186
100,30,0.428571,2,0.6827291666666667
30,30,0.367347,2,0.7966898148148148
100,30,0.367347,2,0.6661041666666667
30,30,0.367347,3,0.804074074074074
100,30,0.367347,3,0.6858402777777778
30,30,0.428571,0,0.8076388888888889
100,30,0.428571,0,0.6801388888888888
30,30,0.367347,4,0.7991435185185185
100,30,0.367347,4,0.6829305555555556
30,30,0.428571,4,0.8045833333333333
100,30,0.428571,4,0.6695972222222222
30,30,0.489796,1,0.809537037037037
100,30,0.489796,1,0.6687916666666667
30,30,0.55102,3,0.8103472222222222
100,30,0.55102,3,0.6617083333333333
30,30,0.489796,0,0.8082175925925926
100,30,0.489796,0,0.6767847222222222
30,30,0.55102,1,0.8105092592592592
100,30,0.55102,1,0.6593888888888889
30,30,0.489796,2,0.8080787037037037
100,30,0.489796,2,0.6621875
30,30,0.55102,2,0.8090972222222222
100,30,0.55102,2,0.664375
30,30,0.55102,0,0.8090740740740741
100,30,0.55102,0,0.6728194444444444
30,30,0.489796,4,0.8081944444444444
100,30,0.489796,4,0.6641458333333333
30,30,0.489796,3,0.8071296296296296
100,30,0.489796,3,0.6774375
30,30,0.55102,4,0.8090277777777778
100,30,0.55102,4,0.6594027777777778
30,30,0.612245,1,0.8097222222222222
100,30,0.612245,1,0.6595347222222222
30,30,0.673469,0,0.8112037037037036
100,30,0.673469,0,0.6662847222222222
30,30,0.673469,2,0.806875
100,30,0.673469,2,0.644125
30,30,0.673469,3,0.8111111111111111
100,30,0.673469,3,0.6622361111111111
30,30,0.612245,0,0.8063425925925926
100,30,0.612245,0,0.6485833333333333
30,30,0.673469,1,0.8131018518518518
100,30,0.673469,1,0.6575416666666667
30,30,0.612245,2,0.8090046296296296
100,30,0.612245,2,0.6607361111111111
30,30,0.612245,3,0.8102314814814815
100,30,0.612245,3,0.6707777777777778
30,30,0.612245,4,0.8121296296296296
100,30,0.612245,4,0.6673194444444445
30,30,0.673469,4,0.8073148148148148
100,30,0.673469,4,0.6610625
30,30,0.734694,0,0.8131944444444444
100,30,0.734694,0,0.6453611111111112
30,30,0.734694,2,0.8161111111111111
100,30,0.734694,2,0.6469097222222222
30,30,0.734694,4,0.8144675925925926
100,30,0.734694,4,0.6461666666666667
30,30,0.795918,1,0.8093287037037037
100,30,0.795918,1,0.6387569444444444
30,30,0.734694,1,0.8105324074074074
100,30,0.734694,1,0.6465486111111111
30,30,0.795918,2,0.8127777777777778
100,30,0.795918,2,0.6390694444444445
30,30,0.795918,0,0.8123611111111111
100,30,0.795918,0,0.6390555555555556
30,30,0.795918,3,0.8166898148148148
100,30,0.795918,3,0.6405486111111112
30,30,0.795918,4,0.8167592592592593
100,30,0.795918,4,0.6390555555555556
30,30,0.734694,3,0.8141435185185185
100,30,0.734694,3,0.6484861111111111
30,30,0.857143,0,0.8118518518518518
100,30,0.857143,0,0.6347916666666666
30,30,0.857143,1,0.8144212962962963
100,30,0.857143,1,0.6361805555555555
30,30,0.857143,3,0.8083333333333333
100,30,0.857143,3,0.6269305555555555
30,30,0.857143,2,0.8053472222222222
100,30,0.857143,2,0.6247916666666666
30,30,0.918367,3,0.8011342592592593
100,30,0.918367,3,0.6279444444444444
30,30,0.918367,2,0.799050925925926
100,30,0.918367,2,0.6150416666666667
30,30,0.857143,4,0.8085648148148148
100,30,0.857143,4,0.6274861111111111
30,30,0.918367,0,0.8029166666666666
100,30,0.918367,0,0.6126805555555556
30,30,0.918367,1,0.8037037037037037
100,30,0.918367,1,0.6230694444444445
30,30,0.918367,4,0.7978935185185185
100,30,0.918367,4,0.6158402777777777
30,30,0.979592,1,0.7968287037037037
100,30,0.979592,1,0.6248611111111111
30,30,0.979592,2,0.8030555555555555
100,30,0.979592,2,0.6241458333333333
30,30,0.979592,4,0.8032175925925926
100,30,0.979592,4,0.6247430555555555
30,30,0.979592,0,0.8018055555555555
100,30,0.979592,0,0.6227986111111111
30,30,1.040816,3,0.7952777777777778
100,30,1.040816,3,0.6204722222222222
30,30,1.040816,1,0.795787037037037
100,30,1.040816,1,0.6175694444444444
30,30,1.040816,0,0.7951157407407408
100,30,1.040816,0,0.6221180555555555
30,30,0.979592,3,0.8012962962962963
100,30,0.979592,3,0.6241458333333333
30,30,1.040816,2,0.7948148148148149
100,30,1.040816,2,0.6158125
30,30,1.040816,4,0.7932638888888889
100,30,1.040816,4,0.6162708333333333
30,30,1.102041,0,0.7895601851851852
100,30,1.102041,0,0.6176875
30,30,1.102041,1,0.7853009259259259
100,30,1.102041,1,0.6145972222222222
30,30,1.102041,4,0.78875
100,30,1.102041,4,0.6143055555555555
30,30,1.102041,2,0.7912731481481482
100,30,1.102041,2,0.6134861111111111
30,30,1.163265,0,0.783425925925926
100,30,1.163265,0,0.6113888888888889
30,30,1.102041,3,0.7909722222222222
100,30,1.102041,3,0.614375
30,30,1.163265,2,0.7749537037037038
