k,rho,peak_gamma,peak_no,peak_location,max_std_band
30,30,0.734694,0.8136898148148148,interior,0.004933404237061329
30,100,1.102041,0.7909259259259259,interior,0.009081303809209927
100,30,0.0,0.7281069444444445,boundary (low),0.010232453929821833
100,100,0.428571,0.7069777777777777,interior,0.010166922431512676
