k,rho,gamma,seed,no_at_k
30,30,0.0,2,0.8357125
100,30,0.0,2,0.8697925
30,30,0.061224,3,0.8506583333333333
100,30,0.061224,3,0.87458875
30,30,0.0,0,0.8359083333333334
100,30,0.0,0,0.86984
30,30,0.0,4,0.8359041666666667
100,30,0.0,4,0.8701475
30,30,0.0,1,0.8361666666666666
100,30,0.0,1,0.870315
30,30,0.061224,4,0.8530583333333334
100,30,0.061224,4,0.87634
30,30,0.061224,1,0.8533291666666667
100,30,0.061224,1,0.87683875
30,30,0.061224,0,0.8505333333333334
100,30,0.061224,0,0.8746425
30,30,0.061224,2,0.8506208333333334
100,30,0.061224,2,0.87439
30,30,0.0,3,0.8357458333333333
100,30,0.0,3,0.8704525
30,30,0.183673,3,0.865625
100,30,0.183673,3,0.87807
30,30,0.122449,2,0.8612458333333334
100,30,0.122449,2,0.87854375
30,30,0.122449,1,0.8614041666666666
100,30,0.122449,1,0.87845375
30,30,0.183673,0,0.8670291666666666
100,30,0.183673,0,0.87880375
30,30,0.183673,1,0.8658541666666667
100,30,0.183673,1,0.87820125
30,30,0.122449,3,0.8613791666666667
100,30,0.122449,3,0.87855875
30,30,0.122449,4,0.8597625
100,30,0.122449,4,0.877155
30,30,0.183673,2,0.8646083333333333
100,30,0.183673,2,0.87713375
30,30,0.122449,0,0.8612708333333333
100,30,0.122449,0,0.87852125
30,30,0.183673,4,0.8647125
100,30,0.183673,4,0.87701375
30,30,0.244898,0,0.865275
100,30,0.244898,0,0.87202625
30,30,0.244898,2,0.8678625
100,30,0.244898,2,0.87323125
30,30,0.306122,0,0.8657125
100,30,0.306122,0,0.871075
30,30,0.244898,1,0.8636333333333334
100,30,0.244898,1,0.86847875
30,30,0.244898,4,0.8661333333333333
100,30,0.244898,4,0.8711625
30,30,0.244898,3,0.8691958333333333
100,30,0.244898,3,0.87596625
30,30,0.306122,2,0.86595
100,30,0.306122,2,0.872365
30,30,0.306122,1,0.8651791666666667
100,30,0.306122,1,0.86982125
30,30,0.306122,3,0.8652833333333333
100,30,0.306122,3,0.869795
30,30,0.306122,4,0.8655666666666667
100,30,0.306122,4,0.87051375
30,30,0.367347,3,0.8631708333333333
100,30,0.367347,3,0.8727925
30,30,0.367347,1,0.8640125
100,30,0.367347,1,0.8728925
30,30,0.367347,2,0.8639375
100,30,0.367347,2,0.87263875
30,30,0.367347,0,0.8639791666666666
100,30,0.367347,0,0.87258
30,30,0.428571,0,0.8565625
100,30,0.428571,0,0.86676625
30,30,0.428571,3,0.8572583333333333
100,30,0.428571,3,0.86626125
30,30,0.428571,4,0.8569625
100,30,0.428571,4,0.86619125
30,30,0.367347,4,0.8637458333333333
100,30,0.367347,4,0.87291375
30,30,0.428571,1,0.8576291666666667
100,30,0.428571,1,0.86706125
30,30,0.428571,2,0.8558166666666667
100,30,0.428571,2,0.86670875
30,30,0.489796,1,0.8499541666666667
100,30,0.489796,1,0.85786875
30,30,0.489796,2,0.8501083333333334
100,30,0.489796,2,0.8577675
30,30,0.489796,3,0.8498708333333334
100,30,0.489796,3,0.85740625
30,30,0.55102,1,0.8445375
100,30,0.55102,1,0.84975875
30,30,0.489796,0,0.8501083333333334
100,30,0.489796,0,0.85726125
30,30,0.55102,2,0.844575
100,30,0.55102,2,0.85097
30,30,0.55102,0,0.8445333333333334
100,30,0.55102,0,0.85057625
30,30,0.55102,4,0.8446875
100,30,0.55102,4,0.85363875
30,30,0.489796,4,0.8497375
100,30,0.489796,4,0.85706125
30,30,0.55102,3,0.8451791666666667
100,30,0.55102,3,0.8547875
30,30,0.612245,0,0.8385583333333333
100,30,0.612245,0,0.8444875
30,30,0.612245,1,0.8384166666666667
100,30,0.612245,1,0.8430275
30,30,0.612245,2,0.8388541666666667
100,30,0.612245,2,0.8427625
30,30,0.612245,4,0.8378041666666667
100,30,0.612245,4,0.84272125
30,30,0.673469,2,0.83295
100,30,0.673469,2,0.83795875
30,30,0.673469,3,0.8329166666666666
100,30,0.673469,3,0.83771875
30,30,0.673469,1,0.83285
100,30,0.673469,1,0.8378375
30,30,0.612245,3,0.8386375
100,30,0.612245,3,0.8427475
30,30,0.673469,0,0.8327708333333333
100,30,0.673469,0,0.83884875
30,30,0.673469,4,0.8318958333333333
100,30,0.673469,4,0.83899125
30,30,0.734694,0,0.826525
100,30,0.734694,0,0.83942625
30,30,0.734694,1,0.8254166666666667
100,30,0.734694,1,0.83725625
30,30,0.734694,4,0.8262666666666667
100,30,0.734694,4,0.834055
30,30,0.734694,3,0.8268
