k,rho,peak_gamma,peak_no,peak_location,max_std_band
30,30,0.244898,0.86642,interior,0.001946523610611114
30,100,0.55102,0.8887008333333334,interior,0.006742720045435022
100,30,0.122449,0.8782465,interior,0.004441156479454414
100,100,0.428571,0.8991977500000001,interior,0.007829676422113538
