seed,k,standard  ρ=30,smooth  γ=0.7,standard  ρ=48  (matched)
191664964,1,0.6708333333333333,0.6034722222222222,0.5972222222222222
191664964,2,0.7815972222222223,0.7315972222222222,0.7274305555555556
191664964,3,0.8032407407407408,0.7495370370370371,0.7592592592592594
191664964,4,0.8234375,0.7817708333333333,0.7864583333333334
191664964,5,0.8266666666666668,0.7955555555555557,0.7972222222222223
191664964,6,0.8320601851851851,0.8049768518518517,0.8098379629629628
191664964,7,0.8344246031746031,0.8084325396825398,0.8159722222222222
191664964,8,0.8375868055555555,0.8115451388888889,0.8211805555555556
191664964,9,0.8375,0.8158950617283951,0.8255401234567902
191664964,10,0.8358333333333334,0.817152777777778,0.8290277777777779
191664964,11,0.8368055555555556,0.821590909090909,0.8311868686868688
191664964,12,0.8360532407407408,0.8257523148148149,0.8354745370370371
191664964,13,0.8354166666666667,0.828311965811966,0.8378205128205128
191664964,14,0.8326388888888889,0.8309027777777778,0.8372519841269843
191664964,15,0.8333333333333334,0.831712962962963,0.8395833333333333
191664964,16,0.830859375,0.8330729166666667,0.8381510416666667
191664964,17,0.830392156862745,0.8328022875816995,0.8386029411764705
191664964,18,0.8269290123456791,0.8318672839506173,0.8373456790123457
191664964,19,0.8230628654970761,0.831030701754386,0.8345029239766082
191664964,20,0.8213888888888888,0.8287152777777778,0.8335416666666668
191664964,21,0.8181878306878306,0.8269179894179893,0.8305886243386245
191664964,22,0.814520202020202,0.8246212121212122,0.8287247474747474
191664964,23,0.8115036231884057,0.8236714975845412,0.8273852657004832
191664964,24,0.8090856481481482,0.8217592592592592,0.8257523148148149
191664964,25,0.806888888888889,0.8184722222222222,0.8234722222222222
191664964,26,0.8039529914529914,0.8159188034188035,0.8208333333333333
191664964,27,0.801003086419753,0.8138374485596708,0.8188528806584363
191664964,28,0.7985367063492064,0.8121031746031745,0.8163194444444445
191664964,29,0.7965996168582375,0.8102969348659004,0.8150862068965516
191664964,30,0.7945138888888889,0.808263888888889,0.8131712962962964
191664964,31,0.7914874551971328,0.8073924731182794,0.810663082437276
191664964,32,0.7886067708333333,0.8048828125,0.8084852430555556
191664964,33,0.7866161616161617,0.8041245791245791,0.8070707070707069
191664964,34,0.783639705882353,0.8023080065359478,0.804983660130719
191664964,35,0.7817063492063492,0.8004960317460318,0.8035119047619048
191664964,36,0.7798996913580247,0.7986882716049384,0.801639660493827
191664964,37,0.7773085585585584,0.7967717717717718,0.8001876876876877
191664964,38,0.7749269005847953,0.7943896198830409,0.7979166666666667
191664964,39,0.7727207977207977,0.792628205128205,0.7959579772079773
191664964,40,0.7707465277777777,0.7907638888888887,0.7938888888888888
191664964,41,0.7681063685636856,0.788550135501355,0.7917852303523035
191664964,42,0.7661541005291006,0.7869378306878306,0.7900958994708994
191664964,43,0.7640180878552971,0.7851744186046511,0.7890342377260982
191664964,44,0.7624684343434344,0.7836963383838383,0.787215909090909
191664964,45,0.7606172839506173,0.7823611111111112,0.7858333333333334
191664964,46,0.7589522946859902,0.7799969806763285,0.7835597826086956
191664964,47,0.7563682033096926,0.7775709219858156,0.7814125295508275
191664964,48,0.7545717592592592,0.7751012731481481,0.7795138888888888
191664964,49,0.7523951247165532,0.7737103174603175,0.7784438775510204
191664964,50,0.7507083333333333,0.7716944444444446,0.7765277777777778
191664964,51,0.7494961873638344,0.7705610021786493,0.7751497821350762
191664964,52,0.7478899572649573,0.7686965811965811,0.7734508547008546
191664964,53,0.7460560796645702,0.7667976939203354,0.7716850104821803
191664964,54,0.7442258230452675,0.7647247942386831,0.769945987654321
191664964,55,0.7424747474747475,0.7634469696969697,0.7683459595959596
191664964,56,0.7406994047619047,0.7622643849206349,0.766344246031746
191664964,57,0.7398026315789473,0.7619761208576998,0.7652655945419102
191664964,58,0.7383261494252873,0.7610392720306515,0.7636853448275862
