k,gamma,peak_rho,peak_no,peak_location,max_std_band
30,0.8,25,0.35744999999999993,interior,0.0007179061643216065
30,1.0,35,0.3529441904761904,interior,0.0004834510670588829
30,1.2,70,0.3505033333333333,interior,0.00033398779289817106
100,0.8,70,0.36388165714285714,interior,0.0005867879497392545
100,1.0,95,0.36052217142857146,interior,0.00043219577574453834
100,1.2,160,0.35746417142857145,interior,0.00043397866401048376
