k,gamma,rho,seed,no_at_k
30,1.0,5,2,0.3085809523809524
100,1.0,5,2,0.290308
30,0.8,5,4,0.3248114285714286
100,0.8,5,4,0.30538042857142855
30,0.8,5,0,0.3240071428571429
100,0.8,5,0,0.3053584285714286
30,1.0,5,4,0.3087480952380952
100,1.0,5,4,0.29001285714285713
30,1.0,5,0,0.30863
100,1.0,5,0,0.2900074285714286
30,0.8,5,2,0.3239157142857143
100,0.8,5,2,0.30453085714285716
30,1.0,5,1,0.3086028571428571
100,1.0,5,1,0.289482
30,0.8,5,3,0.3242561904761905
100,0.8,5,3,0.3051127142857143
30,1.0,5,3,0.3082547619047619
100,1.0,5,3,0.2908037142857143
30,0.8,5,1,0.3244652380952381
100,0.8,5,1,0.30534742857142855
30,1.2,5,0,0.2943547619047619
100,1.2,5,0,0.2765654285714286
30,1.2,5,2,0.29505238095238095
100,1.2,5,2,0.2765951428571429
30,1.2,5,4,0.29502809523809526
100,1.2,5,4,0.2761547142857143
30,1.2,5,1,0.2948328571428571
100,1.2,5,1,0.27618771428571426
30,0.8,8,1,0.34047238095238097
100,0.8,8,1,0.32272085714285714
30,1.2,5,3,0.294682380952381
100,1.2,5,3,0.2767224285714286
30,0.8,8,0,0.3404185714285714
100,0.8,8,0,0.32285
30,0.8,8,4,0.3402695238095238
100,0.8,8,4,0.3222767142857143
30,0.8,8,3,0.3404604761904762
100,0.8,8,3,0.3226152857142857
30,0.8,8,2,0.34042190476190476
100,0.8,8,2,0.322843
30,1.0,8,0,0.3265857142857143
100,1.0,8,0,0.30893642857142856
30,1.0,8,1,0.32670333333333335
100,1.0,8,1,0.30843971428571426
30,1.0,8,3,0.32665714285714287
100,1.0,8,3,0.3084732857142857
30,1.0,8,2,0.3270004761904762
100,1.0,8,2,0.3088155714285714
30,1.0,8,4,0.3266952380952381
100,1.0,8,4,0.3086455714285714
30,1.2,8,2,0.31277238095238097
100,1.2,8,2,0.2944257142857143
30,1.2,8,0,0.31320095238095236
100,1.2,8,0,0.29477242857142855
30,1.2,8,4,0.3133747619047619
100,1.2,8,4,0.29525814285714286
30,1.2,8,1,0.3132338095238095
100,1.2,8,1,0.2946294285714286
30,1.2,8,3,0.3129257142857143
100,1.2,8,3,0.29471614285714287
30,0.8,12,0,0.35011857142857145
100,0.8,12,0,0.33468257142857144
30,0.8,12,3,0.35015714285714283
100,0.8,12,3,0.3352605714285714
30,0.8,12,1,0.35067
100,0.8,12,1,0.33475985714285716
30,0.8,12,2,0.3508757142857143
100,0.8,12,2,0.33534128571428573
30,0.8,12,4,0.3502252380952381
100,0.8,12,4,0.33516742857142856
30,1.0,12,3,0.3377857142857143
100,1.0,12,3,0.32172885714285715
30,1.0,12,4,0.3376619047619048
100,1.0,12,4,0.3216151428571429
30,1.0,12,2,0.3376695238095238
100,1.0,12,2,0.32152914285714285
30,1.0,12,0,0.33760238095238093
100,1.0,12,0,0.3213444285714286
30,1.0,12,1,0.33791238095238096
100,1.0,12,1,0.32179542857142857
30,1.2,12,0,0.32616285714285714
100,1.2,12,0,0.30938314285714286
30,1.2,12,3,0.3262614285714286
100,1.2,12,3,0.308903
30,1.2,12,1,0.32643428571428573
100,1.2,12,1,0.3085907142857143
30,1.2,12,2,0.32682904761904763
100,1.2,12,2,0.309345
30,0.8,18,0,0.35575904761904764
100,0.8,18,0,0.3449995714285714
30,0.8,18,2,0.3560304761904762
100,0.8,18,2,0.3451557142857143
30,0.8,18,3,0.35583
100,0.8,18,3,0.3452255714285714
30,1.2,12,4,0.3263652380952381
100,1.2,12,4,0.3086318571428571
30,0.8,18,4,0.35580666666666666
100,0.8,18,4,0.34543085714285715
30,0.8,18,1,0.35581
100,0.8,18,1,0.345203
30,1.0,18,0,0.3459190476190476
100,1.0,18,0,0.3323377142857143
30,1.0,18,1,0.34584761904761907
100,1.0,18,1,0.3326622857142857
30,1.0,18,2,0.34618
100,1.0,18,2,0.3324037142857143
30,1.0,18,3,0.34602571428571427
100,1.0,18,3,0.33191585714285715
30,1.0,18,4,0.34588238095238094
100,1.0,18,4,0.3320635714285714
30,1.2,18,2,0.33566238095238093
100,1.2,18,2,0.321015
30,1.2,18,4,0.33598
100,1.2,18,4,0.32079142857142856
30,1.2,18,0,0.33574238095238096
100,1.2,18,0,0.32012742857142856
30,1.2,18,1,0.3355619047619048
100,1.2,18,1,0.32013842857142855
30,1.2,18,3,0.33597333333333335
100,1.2,18,3,0.3206992857142857
30,0.8,25,0,0.35718666666666665
100,0.8,25,0,0.3524987142857143
30,0.8,25,1,0.3575652380952381
100,0.8,25,1,0.3529434285714286
30,0.8,25,2,0.35718666666666665
100,0.8,25,2,0.35247557142857144
30,0.8,25,4,0.3578804761904762
100,0.8,25,4,0.35283285714285717
30,0.8,25,3,0.3574309523809524
100,0.8,25,3,0.35268785714285716
30,1.0,25,3,0.3508342857142857
100,1.0,25,3,0.34061485714285716
30,1.0,25,2,0.3508880952380952
100,1.0,25,2,0.3407618571428571
30,1.0,25,0,0.3509352380952381
100,1.0,25,0,0.34072914285714284
30,1.0,25,1,0.35074761904761903
100,1.0,25,1,0.34015142857142855
30,1.2,25,0,0.3419309523809524
