k,gamma,rho,seed,no_at_k
100,1.2,25,0,0.32836371428571426
30,1.2,25,1,0.34218666666666664
100,1.2,25,1,0.3287067142857143
30,1.0,25,4,0.3505333333333333
100,1.0,25,4,0.340414
30,1.2,25,2,0.3418890476190476
100,1.2,25,2,0.32840485714285717
30,1.2,25,3,0.3422561904761905
100,1.2,25,3,0.32853985714285716
30,0.8,35,0,0.35353666666666667
100,0.8,35,0,0.357932
30,0.8,35,1,0.3541961904761905
100,0.8,35,1,0.35832385714285714
30,0.8,35,2,0.3542657142857143
100,0.8,35,2,0.3578722857142857
30,0.8,35,3,0.35374809523809525
100,0.8,35,3,0.35751828571428573
30,1.2,25,4,0.34210761904761905
100,1.2,25,4,0.32845685714285716
30,1.0,35,0,0.3532647619047619
100,1.0,35,0,0.34688785714285714
30,1.0,35,1,0.35257333333333335
100,1.0,35,1,0.34684914285714286
30,0.8,35,4,0.35415
100,0.8,35,4,0.3582195714285714
30,1.0,35,2,0.3529542857142857
100,1.0,35,2,0.34705085714285716
30,1.0,35,3,0.35317809523809524
100,1.0,35,3,0.3472332857142857
30,1.2,35,1,0.3466657142857143
100,1.2,35,1,0.33638671428571426
30,1.0,35,4,0.35275047619047617
100,1.0,35,4,0.3475002857142857
30,1.2,35,0,0.34654619047619045
100,1.2,35,0,0.33539185714285713
30,1.2,35,4,0.34666
100,1.2,35,4,0.33595857142857144
30,1.2,35,3,0.34704380952380953
100,1.2,35,3,0.33554114285714287
30,1.2,35,2,0.34687809523809526
100,1.2,35,2,0.33603628571428573
30,0.8,50,0,0.34662809523809524
100,0.8,50,0,0.36215985714285714
30,0.8,50,1,0.3460957142857143
100,0.8,50,1,0.3626917142857143
30,0.8,50,2,0.34673952380952383
100,0.8,50,2,0.3627404285714286
30,0.8,50,3,0.34630761904761903
100,0.8,50,3,0.3626635714285714
30,1.0,50,0,0.3520052380952381
100,1.0,50,0,0.3526117142857143
30,0.8,50,4,0.3461180952380952
100,0.8,50,4,0.3622531428571429
30,1.0,50,1,0.35256238095238096
100,1.0,50,1,0.3520938571428571
30,1.0,50,2,0.3521347619047619
100,1.0,50,2,0.35253285714285715
30,1.0,50,4,0.3522152380952381
100,1.0,50,4,0.35198614285714286
30,1.0,50,3,0.3522680952380952
100,1.0,50,3,0.352362
30,1.2,50,2,0.35026619047619045
100,1.2,50,2,0.3424404285714286
30,1.2,50,0,0.34997904761904763
100,1.2,50,0,0.3425695714285714
30,1.2,50,1,0.35018
100,1.2,50,1,0.34245642857142855
30,1.2,50,4,0.3502938095238095
100,1.2,50,4,0.3418225714285714
30,1.2,50,3,0.3501747619047619
100,1.2,50,3,0.3426875714285714
30,0.8,70,2,0.33324
100,0.8,70,2,0.3640035714285714
30,0.8,70,3,0.33327
100,0.8,70,3,0.3642517142857143
30,0.8,70,0,0.33348761904761903
100,0.8,70,0,0.3641292857142857
30,0.8,70,1,0.3330242857142857
100,0.8,70,1,0.3633572857142857
30,0.8,70,4,0.3332647619047619
100,0.8,70,4,0.36366642857142856
30,1.0,70,2,0.3479442857142857
100,1.0,70,2,0.35688057142857144
30,1.0,70,1,0.34832619047619046
100,1.0,70,1,0.3575207142857143
30,1.0,70,0,0.3483952380952381
100,1.0,70,0,0.3562414285714286
30,1.0,70,4,0.3484447619047619
100,1.0,70,4,0.357022
30,1.0,70,3,0.34887523809523807
100,1.0,70,3,0.357058
30,1.2,70,0,0.35019761904761904
100,1.2,70,0,0.3466237142857143
30,1.2,70,2,0.3502990476190476
100,1.2,70,2,0.3468347142857143
30,1.2,70,1,0.3506247619047619
100,1.2,70,1,0.3469912857142857
30,1.2,70,3,0.35029
100,1.2,70,3,0.3471287142857143
30,1.2,70,4,0.3511052380952381
100,1.2,70,4,0.347853
30,0.8,95,0,0.31710285714285713
100,0.8,95,0,0.3613847142857143
30,0.8,95,2,0.31713238095238094
100,0.8,95,2,0.36123242857142857
30,0.8,95,1,0.31715238095238096
100,0.8,95,1,0.3610751428571429
30,0.8,95,3,0.31773285714285715
100,0.8,95,3,0.36129185714285716
30,0.8,95,4,0.3173652380952381
100,0.8,95,4,0.36093214285714287
30,1.0,95,1,0.34148809523809526
100,1.0,95,1,0.3602997142857143
30,1.0,95,0,0.34216380952380954
100,1.0,95,0,0.36055185714285715
30,1.0,95,4,0.34066857142857143
100,1.0,95,4,0.3604297142857143
30,1.0,95,2,0.34140809523809523
100,1.0,95,2,0.360743
30,1.0,95,3,0.3411909523809524
100,1.0,95,3,0.3605865714285714
30,1.2,95,0,0.34884
100,1.2,95,0,0.3516035714285714
30,1.2,95,2,0.34850857142857145
100,1.2,95,2,0.3512868571428571
30,1.2,95,1,0.3485642857142857
100,1.2,95,1,0.35175685714285715
30,1.2,95,4,0.3491914285714286
100,1.2,95,4,0.351992
30,1.2,95,3,0.34901952380952384
100,1.2,95,3,0.3515752857142857
30,0.8,125,0,0.29792142857142856
100,0.8,125,0,0.35573685714285713
30,0.8,125,1,0.29706
100,0.8,125,1,0.3550325714285714
30,0.8,125,2,0.2977004761904762
100,0.8,125,2,0.35501771428571427
30,0.8,125,3,0.2986442857142857
100,0.8,125,3,0.35614485714285715
30,0.8,125,4,0.29787714285714284
100,0.8,125,4,0.3554877142857143
30,1.0,125,3,0.3314852380952381
100,1.0,125,3,0.3591068571428571
30,1.0,125,0,0.33154809523809525
100,1.0,125,0,0.359215
30,1.0,125,2,0.3314504761904762
100,1.0,125,2,0.359417
30,1.0,125,1,0.33178761904761905
100,1.0,125,1,0.3594202857142857
30,1.0,125,4,0.3316857142857143
100,1.0,125,4,0.35948342857142856
30,1.2,125,0,0.3455404761904762
100,1.2,125,0,0.35540628571428573
30,1.2,125,1,0.34609666666666666
100,1.2,125,1,0.35514
30,1.2,125,2,0.34567333333333333
100,1.2,125,2,0.3555687142857143
30,1.2,125,4,0.3461147619047619
100,1.2,125,4,0.35538014285714287
30,1.2,125,3,0.3456361904761905
100,1.2,125,3,0.35554457142857143
30,0.8,160,0,0.27760142857142855
100,0.8,160,0,0.3468182857142857
30,0.8,160,1,0.2788890476190476
100,0.8,160,1,0.3478697142857143
30,0.8,160,2,0.27966619047619046
100,0.8,160,2,0.3483202857142857
30,0.8,160,3,0.2784761904761905
100,0.8,160,3,0.3475465714285714
30,1.0,160,0,0.3201457142857143
100,1.0,160,0,0.358057
30,0.8,160,4,0.2779895238095238
100,0.8,160,4,0.34683085714285716
30,1.0,160,2,0.3199385714285714
100,1.0,160,2,0.3577727142857143
30,1.0,160,1,0.3201357142857143
100,1.0,160,1,0.35815785714285714
30,1.0,160,3,0.32061666666666666
100,1.0,160,3,0.3582847142857143
30,1.0,160,4,0.3201652380952381
100,1.0,160,4,0.35793128571428573
30,0.8,200,0,0.2627061904761905
100,0.8,200,0,0.34027985714285713
30,1.2,160,0,0.3408890476190476
100,1.2,160,0,0.357035
30,1.2,160,1,0.34062714285714285
100,1.2,160,1,0.3575784285714286
30,1.2,160,2,0.3410690476190476
100,1.2,160,2,0.3579671428571429
30,1.2,160,3,0.3407428571428571
100,1.2,160,3,0.35785685714285714
30,1.2,160,4,0.3404271428571429
100,1.2,160,4,0.3568834285714286
30,0.8,200,1,0.26285142857142857
100,0.8,200,1,0.3407967142857143
30,0.8,200,2,0.2620647619047619
100,0.8,200,2,0.3399687142857143
30,0.8,200,3,0.26327904761904763
100,0.8,200,3,0.34075014285714283
30,0.8,200,4,0.262822380952381
100,0.8,200,4,0.3400412857142857
30,1.0,200,1,0.30783095238095237
100,1.0,200,1,0.35505842857142855
30,1.0,200,2,0.30766666666666664
100,1.0,200,2,0.3550298571428571
30,1.0,200,0,0.3072628571428571
100,1.0,200,0,0.35513114285714287
30,1.0,200,3,0.3069661904761905
100,1.0,200,3,0.35426185714285713
30,1.0,200,4,0.30752142857142856
100,1.0,200,4,0.355261
30,1.2,200,0,0.3343152380952381
100,1.2,200,0,0.3570094285714286
30,1.2,200,2,0.33348809523809525
100,1.2,200,2,0.35711642857142856
30,1.2,200,1,0.33407190476190474
100,1.2,200,1,0.35682314285714284
30,1.2,200,3,0.334042380952381
100,1.2,200,3,0.35729557142857143
30,1.2,200,4,0.3344204761904762
100,1.2,200,4,0.3572792857142857
