target,best_gamma,best_rho,best_value
NO@10,0.642857,10,0.21143290371493556
NO@30,0.428571,10,0.2152438716199141
NO@100,0.214286,30,0.33076345716451855
AUC NO@k near-local (k=1..10),1.071429,10,0.29004392156154857
AUC NO@k mid-local (k=11..90),0.428571,10,0.24355705001530986
