method,seed,k,nh_score
γ=1.0,191664964,128,0.3470566964285714
γ=1.0,191664964,129,0.347216611295681
γ=1.0,191664964,130,0.3473678021978022
γ=1.0,191664964,131,0.3475310796074155
γ=1.0,191664964,132,0.3476760822510822
γ=1.0,191664964,133,0.3478305048335123
γ=1.0,191664964,134,0.3479924307036248
γ=1.0,191664964,135,0.3481752380952381
γ=1.0,191664964,136,0.3483420168067226
γ=1.0,191664964,137,0.3485021897810219
γ=1.0,191664964,138,0.3486599378881987
γ=1.0,191664964,139,0.3488415210688592
γ=1.0,191664964,140,0.3489848979591837
γ=1.0,191664964,141,0.3491497467071934
γ=1.0,191664964,142,0.3493021126760563
γ=1.0,191664964,143,0.3494717282717282
γ=1.0,191664964,144,0.3496491071428571
γ=1.0,191664964,145,0.3498174384236453
γ=1.0,191664964,146,0.3499668297455969
γ=1.0,191664964,147,0.3501374149659864
γ=1.0,191664964,148,0.3503083976833977
γ=1.0,191664964,149,0.350466347075743
γ=1.0,191664964,150,0.3506233333333333
γ=1.0,191664964,151,0.3508043519394512
γ=1.0,191664964,152,0.3509600563909774
γ=1.0,191664964,153,0.3511492997198879
γ=1.0,191664964,154,0.3513380333951763
γ=1.0,191664964,155,0.3515
γ=1.0,191664964,156,0.3516878205128205
γ=1.0,191664964,157,0.3518716105550501
γ=1.0,191664964,158,0.3520476491862568
γ=1.0,191664964,159,0.3521972147349506
γ=1.0,191664964,160,0.3523902678571428
γ=1.0,191664964,161,0.3525735581188997
γ=1.0,191664964,162,0.3527478835978835
γ=1.0,191664964,163,0.3529017528483785
γ=1.0,191664964,164,0.3530620209059233
γ=1.0,191664964,165,0.3532322077922079
γ=1.0,191664964,166,0.3534060240963855
γ=1.0,191664964,167,0.3535850299401197
γ=1.0,191664964,168,0.3537581632653061
γ=1.0,191664964,169,0.3539333896872358
γ=1.0,191664964,170,0.3541256302521008
γ=1.0,191664964,171,0.3542835421888052
γ=1.0,191664964,172,0.354460049833887
γ=1.0,191664964,173,0.3546359207266721
γ=1.0,191664964,174,0.3548204433497537
γ=1.0,191664964,175,0.3550097142857142
γ=1.0,191664964,176,0.3551909902597402
γ=1.0,191664964,177,0.3553602905569007
γ=1.0,191664964,178,0.3555286516853932
γ=1.0,191664964,179,0.3557050279329609
γ=1.0,191664964,180,0.3558888095238095
γ=1.0,191664964,181,0.3560723756906077
γ=1.0,191664964,182,0.3562268445839874
γ=1.0,191664964,183,0.3564009367681499
γ=1.0,191664964,184,0.3565573757763975
γ=1.0,191664964,185,0.3567363706563707
γ=1.0,191664964,186,0.3569062980030721
γ=1.0,191664964,187,0.3570547746371276
γ=1.0,191664964,188,0.3572158054711246
γ=1.0,191664964,189,0.3573865457294028
γ=1.0,191664964,190,0.3575515037593985
γ=1.0,191664964,191,0.3577364248317128
γ=1.0,191664964,192,0.3579083333333333
γ=1.0,191664964,193,0.3580733530717986
γ=1.0,191664964,194,0.3582527982326952
γ=1.0,191664964,195,0.3584204395604395
γ=1.0,191664964,196,0.3585906705539359
γ=1.0,191664964,197,0.358761421319797
γ=1.0,191664964,198,0.3589378787878787
γ=1.0,191664964,199,0.3590890165111271
γ=1.0,191664964,200,0.3592652857142857
γ=0.7,191664964,1,0.2497857142857142
γ=0.7,191664964,2,0.3008214285714286
γ=0.7,191664964,3,0.3245904761904761
γ=0.7,191664964,4,0.3377214285714285
γ=0.7,191664964,5,0.3453542857142858
γ=0.7,191664964,6,0.3500880952380952
γ=0.7,191664964,7,0.3533224489795918
γ=0.7,191664964,8,0.3552196428571428
γ=0.7,191664964,9,0.356320634920635
γ=0.7,191664964,10,0.3570985714285714
γ=0.7,191664964,11,0.3574233766233766
γ=0.7,191664964,12,0.3575714285714286
γ=0.7,191664964,13,0.357234065934066
γ=0.7,191664964,14,0.3574204081632653
γ=0.7,191664964,15,0.3570285714285714
γ=0.7,191664964,16,0.3568571428571429
γ=0.7,191664964,17,0.3568621848739496
γ=0.7,191664964,18,0.3567476190476191
γ=0.7,191664964,19,0.3565932330827067
γ=0.7,191664964,20,0.356535
γ=0.7,191664964,21,0.3564734693877551
γ=0.7,191664964,22,0.3563811688311688
γ=0.7,191664964,23,0.3562534161490683
γ=0.7,191664964,24,0.3561035714285714
γ=0.7,191664964,25,0.3560017142857143
γ=0.7,191664964,26,0.3558494505494505
γ=0.7,191664964,27,0.3557248677248676
γ=0.7,191664964,28,0.3556168367346939
γ=0.7,191664964,29,0.3555812807881773
γ=0.7,191664964,30,0.3554190476190476
γ=0.7,191664964,31,0.3553926267281105
γ=0.7,191664964,32,0.3553008928571428
γ=0.7,191664964,33,0.3552658008658008
γ=0.7,191664964,34,0.35525
γ=0.7,191664964,35,0.355233469387755
γ=0.7,191664964,36,0.3552440476190476
γ=0.7,191664964,37,0.3551583011583011
γ=0.7,191664964,38,0.3551357142857142
γ=0.7,191664964,39,0.3551776556776557
γ=0.7,191664964,40,0.3551953571428571
γ=0.7,191664964,41,0.3552756097560976
γ=0.7,191664964,42,0.3552193877551021
γ=0.7,191664964,43,0.3552740863787375
γ=0.7,191664964,44,0.3553142857142857
γ=0.7,191664964,45,0.3553803174603175
γ=0.7,191664964,46,0.3554267080745342
γ=0.7,191664964,47,0.3554009118541034
γ=0.7,191664964,48,0.355347619047619
γ=0.7,191664964,49,0.355368221574344
γ=0.7,191664964,50,0.3553497142857143
γ=0.7,191664964,51,0.3554033613445378
γ=0.7,191664964,52,0.3554796703296703
γ=0.7,191664964,53,0.3555692722371967
γ=0.7,191664964,54,0.3556190476190476
γ=0.7,191664964,55,0.3556914285714285
γ=0.7,191664964,56,0.3557469387755102
γ=0.7,191664964,57,0.3558641604010025
γ=0.7,191664964,58,0.3559943349753695
γ=0.7,191664964,59,0.3561348668280871
γ=0.7,191664964,60,0.3562271428571428
γ=0.7,191664964,61,0.3563220140515222
γ=0.7,191664964,62,0.3564202764976958
γ=0.7,191664964,63,0.3565895691609977
γ=0.7,191664964,64,0.3567308035714285
γ=0.7,191664964,65,0.3568208791208792
γ=0.7,191664964,66,0.3569400432900432
γ=0.7,191664964,67,0.3570654584221748
γ=0.7,191664964,68,0.3571680672268907
γ=0.7,191664964,69,0.3573022774327122
γ=0.7,191664964,70,0.3573687755102041
γ=0.7,191664964,71,0.3574975855130785
γ=0.7,191664964,72,0.3576369047619048
γ=0.7,191664964,73,0.3577520547945205
γ=0.7,191664964,74,0.3578617760617761
γ=0.7,191664964,75,0.3580165714285714
γ=0.7,191664964,76,0.3581355263157894
γ=0.7,191664964,77,0.3582640074211503
γ=0.7,191664964,78,0.3583968864468864
γ=0.7,191664964,79,0.3585179023508137
γ=0.7,191664964,80,0.3586617857142857
γ=0.7,191664964,81,0.3588059964726631
