k,rho,gamma,seed,no_at_k
30,30,0.061224,4,0.2745604761904762
100,30,0.061224,4,0.36769542857142856
30,30,0.061224,0,0.2742014285714286
100,30,0.061224,0,0.3672254285714286
30,30,0.061224,1,0.27464666666666665
100,30,0.061224,1,0.36709128571428573
30,30,0.0,0,0.26462619047619046
100,30,0.0,0,0.3634745714285714
30,30,0.0,1,0.26488285714285714
100,30,0.0,1,0.36378957142857143
30,30,0.0,2,0.26511142857142855
100,30,0.0,2,0.363871
30,30,0.0,3,0.26515714285714287
100,30,0.0,3,0.3643414285714286
30,30,0.0,4,0.2654619047619048
100,30,0.0,4,0.3642827142857143
30,30,0.061224,2,0.2745228571428571
100,30,0.061224,2,0.36723628571428574
30,30,0.061224,3,0.2743309523809524
100,30,0.061224,3,0.3676412857142857
30,30,0.122449,2,0.28340666666666664
100,30,0.122449,2,0.3689591428571429
30,30,0.183673,1,0.29464238095238093
100,30,0.183673,1,0.3718905714285714
30,30,0.122449,1,0.28428190476190474
100,30,0.122449,1,0.369331
30,30,0.122449,0,0.2840395238095238
100,30,0.122449,0,0.3689512857142857
30,30,0.183673,2,0.29374333333333336
100,30,0.183673,2,0.370776
30,30,0.122449,3,0.28424285714285713
100,30,0.122449,3,0.3689947142857143
30,30,0.122449,4,0.28388619047619046
100,30,0.122449,4,0.3687887142857143
30,30,0.183673,3,0.2945271428571429
100,30,0.183673,3,0.37188571428571426
30,30,0.183673,0,0.2941747619047619
100,30,0.183673,0,0.3713492857142857
30,30,0.183673,4,0.29395333333333334
100,30,0.183673,4,0.3714204285714286
30,30,0.244898,2,0.30436761904761905
100,30,0.244898,2,0.37260514285714286
30,30,0.244898,0,0.30366571428571426
100,30,0.244898,0,0.37225414285714287
30,30,0.244898,1,0.30425857142857143
100,30,0.244898,1,0.37230514285714283
30,30,0.306122,1,0.3144404761904762
100,30,0.306122,1,0.37302585714285713
30,30,0.306122,0,0.31436333333333333
100,30,0.306122,0,0.37316314285714286
30,30,0.244898,4,0.30476761904761906
100,30,0.244898,4,0.3730407142857143
30,30,0.244898,3,0.30397285714285716
100,30,0.244898,3,0.372322
30,30,0.306122,2,0.3142057142857143
100,30,0.306122,2,0.37347128571428573
30,30,0.306122,3,0.3148985714285714
100,30,0.306122,3,0.3735705714285714
30,30,0.306122,4,0.3147542857142857
100,30,0.306122,4,0.37336542857142857
30,30,0.367347,0,0.3243871428571429
100,30,0.367347,0,0.37333514285714287
30,30,0.367347,1,0.32460666666666665
100,30,0.367347,1,0.373635
30,30,0.367347,3,0.3238338095238095
100,30,0.367347,3,0.3731905714285714
30,30,0.367347,4,0.32435761904761906
100,30,0.367347,4,0.37392842857142855
30,30,0.428571,0,0.3323990476190476
100,30,0.428571,0,0.37289428571428573
30,30,0.428571,1,0.3326509523809524
100,30,0.428571,1,0.37266185714285716
30,30,0.428571,2,0.33266380952380953
100,30,0.428571,2,0.3725052857142857
30,30,0.367347,2,0.3241547619047619
100,30,0.367347,2,0.3734527142857143
30,30,0.489796,0,0.34008333333333335
100,30,0.489796,0,0.3710488571428571
30,30,0.428571,3,0.3325095238095238
100,30,0.428571,3,0.37246157142857145
30,30,0.428571,4,0.33261761904761905
100,30,0.428571,4,0.37248
30,30,0.489796,1,0.3401852380952381
100,30,0.489796,1,0.37091985714285713
30,30,0.489796,3,0.3397961904761905
100,30,0.489796,3,0.37080928571428573
30,30,0.489796,2,0.3398966666666667
100,30,0.489796,2,0.3707661428571429
30,30,0.55102,2,0.34693238095238094
100,30,0.55102,2,0.36906485714285714
30,30,0.489796,4,0.34026285714285714
100,30,0.489796,4,0.370996
30,30,0.55102,0,0.34654285714285715
100,30,0.55102,0,0.3686864285714286
30,30,0.55102,1,0.3463438095238095
100,30,0.55102,1,0.368606
30,30,0.55102,4,0.346642380952381
100,30,0.55102,4,0.368824
30,30,0.612245,0,0.35066619047619046
100,30,0.612245,0,0.36588642857142856
30,30,0.55102,3,0.34659666666666666
100,30,0.55102,3,0.36880085714285715
30,30,0.612245,1,0.3509085714285714
100,30,0.612245,1,0.36611385714285716
30,30,0.612245,2,0.35097761904761904
100,30,0.612245,2,0.36592214285714286
30,30,0.612245,3,0.3509947619047619
100,30,0.612245,3,0.3660072857142857
30,30,0.673469,0,0.3538638095238095
100,30,0.673469,0,0.36302885714285715
30,30,0.673469,1,0.35439809523809523
100,30,0.673469,1,0.3627912857142857
30,30,0.612245,4,0.35134666666666664
100,30,0.612245,4,0.366523
30,30,0.734694,1,0.35651666666666665
100,30,0.734694,1,0.35992585714285713
30,30,0.673469,2,0.3545957142857143
100,30,0.673469,2,0.36293242857142854
30,30,0.673469,4,0.3544285714285714
100,30,0.673469,4,0.36256757142857143
30,30,0.673469,3,0.3544347619047619
100,30,0.673469,3,0.3630824285714286
30,30,0.734694,0,0.35631142857142856
100,30,0.734694,0,0.36006114285714286
30,30,0.734694,2,0.35579238095238097
100,30,0.734694,2,0.35935042857142857
30,30,0.734694,4,0.3561357142857143
100,30,0.734694,4,0.35912414285714284
30,30,0.795918,0,0.3558961904761905
100,30,0.795918,0,0.355703
30,30,0.734694,3,0.3555885714285714
100,30,0.734694,3,0.3599067142857143
30,30,0.795918,1,0.35580285714285714
100,30,0.795918,1,0.3553157142857143
30,30,0.795918,3,0.35594761904761907
100,30,0.795918,3,0.355737
