k,rho,peak_gamma,peak_no,peak_location,max_std_band
30,30,0.857143,0.35610876190476193,interior,0.000380694603261427
30,100,1.285714,0.3493593333333333,interior,0.0009001612150897909
100,30,0.367347,0.37350837142857146,interior,0.0005920642036337585
100,100,0.857143,0.36095714285714287,interior,0.00050782503495048
