dataset,gamma,rho,k,measure,eff_size,eff_over_k,no_mean,no_std,n_seeds
mnist,0.214286,10,30,two_pow_entropy,28.543764272949243,0.9514588090983082,0.37282247619047615,0.00020779926647462483,5
mnist,0.214286,10,100,thr_c0.25,29.999757142857145,0.2999975714285715,0.36378802857142856,0.0001891769800898319,5
mnist,0.214286,10,100,thr_c0.5,29.905914285714285,0.29905914285714286,0.36378802857142856,0.0001891769800898319,5
mnist,0.214286,10,100,thr_c1.0,10.93677142857143,0.10936771428571429,0.36378802857142856,0.0001891769800898319,5
mnist,0.214286,10,100,participation_ratio,27.04992611661483,0.2704992611661483,0.36378802857142856,0.0001891769800898319,5
mnist,0.214286,10,100,two_pow_entropy,28.543764272949243,0.28543764272949246,0.36378802857142856,0.0001891769800898319,5
mnist,0.428571,10,10,thr_c0.25,29.76472857142857,2.976472857142857,0.3877922857142857,0.00012345568485270606,5
mnist,0.428571,10,10,thr_c0.5,24.197542857142857,2.4197542857142857,0.3877922857142857,0.00012345568485270606,5
mnist,0.428571,10,10,thr_c1.0,9.458342857142856,0.9458342857142856,0.3877922857142857,0.00012345568485270606,5
mnist,0.428571,10,10,participation_ratio,19.491793255672118,1.9491793255672119,0.3877922857142857,0.00012345568485270606,5
mnist,0.428571,10,10,two_pow_entropy,24.24047060465786,2.424047060465786,0.3877922857142857,0.00012345568485270606,5
mnist,0.428571,10,30,thr_c0.25,29.76472857142857,0.992157619047619,0.3692527619047619,0.0002625241852588278,5
mnist,0.428571,10,30,thr_c0.5,24.197542857142857,0.8065847619047619,0.3692527619047619,0.0002625241852588278,5
mnist,0.428571,10,30,thr_c1.0,9.458342857142856,0.3152780952380952,0.3692527619047619,0.0002625241852588278,5
mnist,0.428571,10,30,participation_ratio,19.491793255672118,0.6497264418557372,0.3692527619047619,0.0002625241852588278,5
mnist,0.428571,10,30,two_pow_entropy,24.24047060465786,0.8080156868219287,0.3692527619047619,0.0002625241852588278,5
mnist,0.428571,10,100,thr_c0.25,29.76472857142857,0.2976472857142857,0.35402382857142856,0.00020919295652871726,5
mnist,0.428571,10,100,thr_c0.5,24.197542857142857,0.24197542857142856,0.35402382857142856,0.00020919295652871726,5
mnist,0.428571,10,100,thr_c1.0,9.458342857142856,0.09458342857142857,0.35402382857142856,0.00020919295652871726,5
mnist,0.428571,10,100,participation_ratio,19.491793255672118,0.19491793255672119,0.35402382857142856,0.00020919295652871726,5
mnist,0.428571,10,100,two_pow_entropy,24.24047060465786,0.24240470604657863,0.35402382857142856,0.00020919295652871726,5
mnist,0.642857,10,10,thr_c0.25,26.283114285714287,2.6283114285714286,0.40250971428571425,0.00014136766365235908,5
mnist,0.642857,10,10,thr_c0.5,16.2287,1.62287,0.40250971428571425,0.00014136766365235908,5
mnist,0.642857,10,10,thr_c1.0,8.039228571428572,0.8039228571428572,0.40250971428571425,0.00014136766365235908,5
mnist,0.642857,10,10,participation_ratio,12.09426473590541,1.2094264735905411,0.40250971428571425,0.00014136766365235908,5
mnist,0.642857,10,10,two_pow_entropy,18.398485617979286,1.8398485617979286,0.40250971428571425,0.00014136766365235908,5
mnist,0.642857,10,30,thr_c0.25,26.283114285714287,0.8761038095238096,0.357533619047619,0.00012056653868064559,5
mnist,0.642857,10,30,thr_c0.5,16.2287,0.5409566666666666,0.357533619047619,0.00012056653868064559,5
mnist,0.642857,10,30,thr_c1.0,8.039228571428572,0.2679742857142857,0.357533619047619,0.00012056653868064559,5
mnist,0.642857,10,30,participation_ratio,12.09426473590541,0.40314215786351365,0.357533619047619,0.00012056653868064559,5
mnist,0.642857,10,30,two_pow_entropy,18.398485617979286,0.6132828539326429,0.357533619047619,0.00012056653868064559,5
mnist,0.642857,10,100,thr_c0.25,26.283114285714287,0.2628311428571429,0.34086471428571424,0.00031005749302281976,5
mnist,0.642857,10,100,thr_c0.5,16.2287,0.162287,0.34086471428571424,0.00031005749302281976,5
mnist,0.642857,10,100,thr_c1.0,8.039228571428572,0.08039228571428572,0.34086471428571424,0.00031005749302281976,5
mnist,0.642857,10,100,participation_ratio,12.09426473590541,0.1209426473590541,0.34086471428571424,0.00031005749302281976,5
mnist,0.642857,10,100,two_pow_entropy,18.398485617979286,0.18398485617979288,0.34086471428571424,0.00031005749302281976,5
mnist,0.857143,10,10,thr_c0.25,19.269314285714287,1.9269314285714287,0.4017637142857143,0.0001515972106792092,5
mnist,0.857143,10,10,thr_c0.5,11.7458,1.17458,0.4017637142857143,0.0001515972106792092,5
mnist,0.857143,10,10,thr_c1.0,6.762771428571429,0.6762771428571429,0.4017637142857143,0.0001515972106792092,5
mnist,0.857143,10,10,participation_ratio,7.4670149302231295,0.7467014930223129,0.4017637142857143,0.0001515972106792092,5
mnist,0.857143,10,10,two_pow_entropy,12.890620007817128,1.2890620007817128,0.4017637142857143,0.0001515972106792092,5
mnist,0.857143,10,30,thr_c0.25,19.269314285714287,0.6423104761904762,0.3430851428571428,0.00011859471945659362,5
mnist,0.857143,10,30,thr_c0.5,11.7458,0.39152666666666663,0.3430851428571428,0.00011859471945659362,5
mnist,0.857143,10,30,thr_c1.0,6.762771428571429,0.22542571428571428,0.3430851428571428,0.00011859471945659362,5
mnist,0.857143,10,30,participation_ratio,7.4670149302231295,0.24890049767410433,0.3430851428571428,0.00011859471945659362,5
mnist,0.857143,10,30,two_pow_entropy,12.890620007817128,0.42968733359390426,0.3430851428571428,0.00011859471945659362,5
mnist,0.857143,10,100,thr_c0.25,19.269314285714287,0.19269314285714287,0.3258941428571428,0.00034891453839307315,5
mnist,0.857143,10,100,thr_c0.5,11.7458,0.11745799999999999,0.3258941428571428,0.00034891453839307315,5
mnist,0.857143,10,100,thr_c1.0,6.762771428571429,0.06762771428571429,0.3258941428571428,0.00034891453839307315,5
mnist,0.857143,10,100,participation_ratio,7.4670149302231295,0.0746701493022313,0.3258941428571428,0.00034891453839307315,5
mnist,0.857143,10,100,two_pow_entropy,12.890620007817128,0.12890620007817127,0.3258941428571428,0.00034891453839307315,5
mnist,1.071429,10,10,thr_c0.25,13.785214285714286,1.3785214285714287,0.3939354285714286,0.00013398263670629052,5
mnist,1.071429,10,10,thr_c0.5,9.002957142857143,0.9002957142857143,0.3939354285714286,0.00013398263670629052,5
mnist,1.071429,10,10,thr_c1.0,5.690771428571429,0.5690771428571428,0.3939354285714286,0.00013398263670629052,5
mnist,1.071429,10,10,participation_ratio,5.026330198434174,0.5026330198434174,0.3939354285714286,0.00013398263670629052,5
mnist,1.071429,10,10,two_pow_entropy,8.82553749947551,0.8825537499475511,0.3939354285714286,0.00013398263670629052,5
mnist,1.071429,10,30,thr_c0.25,13.785214285714286,0.45950714285714284,0.32931190476190475,0.00016496161856902842,5
mnist,1.071429,10,30,thr_c0.5,9.002957142857143,0.30009857142857144,0.32931190476190475,0.00016496161856902842,5
mnist,1.071429,10,30,thr_c1.0,5.690771428571429,0.18969238095238097,0.32931190476190475,0.00016496161856902842,5
mnist,1.071429,10,30,participation_ratio,5.026330198434174,0.1675443399478058,0.32931190476190475,0.00016496161856902842,5
mnist,1.071429,10,30,two_pow_entropy,8.82553749947551,0.29418458331585035,0.32931190476190475,0.00016496161856902842,5
mnist,1.071429,10,100,thr_c0.25,13.785214285714286,0.13785214285714287,0.3117291428571428,0.00018391366652504673,5
mnist,1.071429,10,100,thr_c0.5,9.002957142857143,0.09002957142857143,0.3117291428571428,0.00018391366652504673,5
mnist,1.071429,10,100,thr_c1.0,5.690771428571429,0.05690771428571429,0.3117291428571428,0.00018391366652504673,5
mnist,1.071429,10,100,participation_ratio,5.026330198434174,0.050263301984341736,0.3117291428571428,0.00018391366652504673,5
mnist,1.071429,10,100,two_pow_entropy,8.82553749947551,0.08825537499475511,0.3117291428571428,0.00018391366652504673,5
mnist,1.285714,10,10,thr_c0.25,10.3733,1.03733,0.3843877142857143,0.00010174237172427249,5
mnist,1.285714,10,10,thr_c0.5,7.1699142857142855,0.7169914285714285,0.3843877142857143,0.00010174237172427249,5
mnist,1.285714,10,10,thr_c1.0,4.8364142857142856,0.48364142857142856,0.3843877142857143,0.00010174237172427249,5
mnist,1.285714,10,10,participation_ratio,3.73521326045942,0.373521326045942,0.3843877142857143,0.00010174237172427249,5
mnist,1.285714,10,10,two_pow_entropy,6.242778077157311,0.6242778077157312,0.3843877142857143,0.00010174237172427249,5
mnist,1.285714,10,30,thr_c0.25,10.3733,0.3457766666666667,0.3156350476190476,5.4423051005289995e-05,5
mnist,1.285714,10,30,thr_c0.5,7.1699142857142855,0.23899714285714285,0.3156350476190476,5.4423051005289995e-05,5
mnist,1.285714,10,30,thr_c1.0,4.8364142857142856,0.1612138095238095,0.3156350476190476,5.4423051005289995e-05,5
mnist,1.285714,10,30,participation_ratio,3.73521326045942,0.12450710868198067,0.3156350476190476,5.4423051005289995e-05,5
mnist,1.285714,10,30,two_pow_entropy,6.242778077157311,0.20809260257191037,0.3156350476190476,5.4423051005289995e-05,5
mnist,1.285714,10,100,thr_c0.25,10.3733,0.103733,0.29744905714285713,0.00026578648174342456,5
mnist,1.285714,10,100,thr_c0.5,7.1699142857142855,0.07169914285714285,0.29744905714285713,0.00026578648174342456,5
mnist,1.285714,10,100,thr_c1.0,4.8364142857142856,0.048364142857142856,0.29744905714285713,0.00026578648174342456,5
mnist,1.285714,10,100,participation_ratio,3.73521326045942,0.037352132604594204,0.29744905714285713,0.00026578648174342456,5
mnist,1.285714,10,100,two_pow_entropy,6.242778077157311,0.06242778077157311,0.29744905714285713,0.00026578648174342456,5
mnist,1.5,10,10,thr_c0.25,8.1783,0.8178300000000001,0.3749402857142857,7.54599501830804e-05,5
mnist,1.5,10,10,thr_c0.5,5.892271428571428,0.5892271428571428,0.3749402857142857,7.54599501830804e-05,5
mnist,1.5,10,10,thr_c1.0,4.1714142857142855,0.41714142857142855,0.3749402857142857,7.54599501830804e-05,5
mnist,1.5,10,10,participation_ratio,3.0041692217191565,0.3004169221719156,0.3749402857142857,7.54599501830804e-05,5
mnist,1.5,10,10,two_pow_entropy,4.690779207190039,0.46907792071900395,0.3749402857142857,7.54599501830804e-05,5
mnist,1.5,10,30,thr_c0.25,8.1783,0.27261,0.30353104761904764,0.00023542876406220238,5
mnist,1.5,10,30,thr_c0.5,5.892271428571428,0.1964090476190476,0.30353104761904764,0.00023542876406220238,5
mnist,1.5,10,30,thr_c1.0,4.1714142857142855,0.13904714285714284,0.30353104761904764,0.00023542876406220238,5
mnist,1.5,10,30,participation_ratio,3.0041692217191565,0.10013897405730522,0.30353104761904764,0.00023542876406220238,5
mnist,1.5,10,30,two_pow_entropy,4.690779207190039,0.15635930690633465,0.30353104761904764,0.00023542876406220238,5
mnist,1.5,10,100,thr_c0.25,8.1783,0.081783,0.2847813428571428,0.00023065529719138022,5
mnist,1.5,10,100,thr_c0.5,5.892271428571428,0.05892271428571428,0.2847813428571428,0.00023065529719138022,5
mnist,1.5,10,100,thr_c1.0,4.1714142857142855,0.04171414285714285,0.2847813428571428,0.00023065529719138022,5
mnist,1.5,10,100,participation_ratio,3.0041692217191565,0.030041692217191565,0.2847813428571428,0.00023065529719138022,5
mnist,1.5,10,100,two_pow_entropy,4.690779207190039,0.04690779207190039,0.2847813428571428,0.00023065529719138022,5
mnist,1.714286,10,10,thr_c0.25,6.685742857142857,0.6685742857142858,0.36645885714285714,0.00020000285712245286,5
mnist,1.714286,10,10,thr_c0.5,4.988457142857143,0.49884571428571434,0.36645885714285714,0.00020000285712245286,5
mnist,1.714286,10,10,thr_c1.0,3.6691142857142856,0.36691142857142856,0.36645885714285714,0.00020000285712245286,5
mnist,1.714286,10,10,participation_ratio,2.556653401935216,0.2556653401935216,0.36645885714285714,0.00020000285712245286,5
mnist,1.714286,10,10,two_pow_entropy,3.746483065924517,0.3746483065924517,0.36645885714285714,0.00020000285712245286,5
mnist,1.714286,10,30,thr_c0.25,6.685742857142857,0.22285809523809524,0.292199619047619,0.00020754157575996997,5
mnist,1.714286,10,30,thr_c0.5,4.988457142857143,0.16628190476190477,0.292199619047619,0.00020754157575996997,5
mnist,1.714286,10,30,thr_c1.0,3.6691142857142856,0.12230380952380952,0.292199619047619,0.00020754157575996997,5
mnist,1.714286,10,30,participation_ratio,2.556653401935216,0.0852217800645072,0.292199619047619,0.00020754157575996997,5
mnist,1.714286,10,30,two_pow_entropy,3.746483065924517,0.12488276886415056,0.292199619047619,0.00020754157575996997,5
mnist,1.714286,10,100,thr_c0.25,6.685742857142857,0.06685742857142857,0.2734909142857143,0.00025574280128315207,5
mnist,1.714286,10,100,thr_c0.5,4.988457142857143,0.04988457142857143,0.2734909142857143,0.00025574280128315207,5
mnist,1.714286,10,100,thr_c1.0,3.6691142857142856,0.03669114285714285,0.2734909142857143,0.00025574280128315207,5
mnist,1.714286,10,100,participation_ratio,2.556653401935216,0.02556653401935216,0.2734909142857143,0.00025574280128315207,5
mnist,1.714286,10,100,two_pow_entropy,3.746483065924517,0.03746483065924517,0.2734909142857143,0.00025574280128315207,5
mnist,1.928571,10,10,thr_c0.25,5.639642857142857,0.5639642857142857,0.359128,0.00020106370195760543,5
mnist,1.928571,10,10,thr_c0.5,4.323585714285715,0.4323585714285715,0.359128,0.00020106370195760543,5
mnist,1.928571,10,10,thr_c1.0,3.282442857142857,0.3282442857142857,0.359128,0.00020106370195760543,5
mnist,1.928571,10,10,participation_ratio,2.2628413055358902,0.22628413055358904,0.359128,0.00020106370195760543,5
mnist,1.928571,10,10,two_pow_entropy,3.14588796933155,0.314588796933155,0.359128,0.00020106370195760543,5
mnist,1.928571,10,30,thr_c0.25,5.639642857142857,0.18798809523809526,0.2832833333333333,0.0002764914616126262,5
mnist,1.928571,10,30,thr_c0.5,4.323585714285715,0.1441195238095238,0.2832833333333333,0.0002764914616126262,5
mnist,1.928571,10,30,thr_c1.0,3.282442857142857,0.1094147619047619,0.2832833333333333,0.0002764914616126262,5
mnist,1.928571,10,30,participation_ratio,2.2628413055358902,0.075428043517863,0.2832833333333333,0.0002764914616126262,5
mnist,1.928571,10,30,two_pow_entropy,3.14588796933155,0.10486293231105166,0.2832833333333333,0.0002764914616126262,5
mnist,1.928571,10,100,thr_c0.25,5.639642857142857,0.056396428571428577,0.2630568,0.0005588875583309551,5
mnist,1.928571,10,100,thr_c0.5,4.323585714285715,0.043235857142857145,0.2630568,0.0005588875583309551,5
mnist,1.928571,10,100,thr_c1.0,3.282442857142857,0.032824428571428574,0.2630568,0.0005588875583309551,5
mnist,1.928571,10,100,participation_ratio,2.2628413055358902,0.0226284130553589,0.2630568,0.0005588875583309551,5
mnist,1.928571,10,100,two_pow_entropy,3.14588796933155,0.0314588796933155,0.2630568,0.0005588875583309551,5
mnist,2.142857,10,10,thr_c0.25,4.881557142857143,0.4881557142857143,0.3523788571428571,0.00015113016419834456,5
mnist,2.142857,10,10,thr_c0.5,3.828928571428572,0.3828928571428572,0.3523788571428571,0.00015113016419834456,5
mnist,2.142857,10,10,thr_c1.0,2.9857142857142858,0.2985714285714286,0.3523788571428571,0.00015113016419834456,5
mnist,2.142857,10,10,participation_ratio,2.0583690509564176,0.20583690509564176,0.3523788571428571,0.00015113016419834456,5
mnist,2.142857,10,10,two_pow_entropy,2.7435749718381244,0.2743574971838124,0.3523788571428571,0.00015113016419834456,5
mnist,2.142857,10,30,thr_c0.25,4.881557142857143,0.16271857142857143,0.27457352380952377,0.00019999174586143506,5
mnist,2.142857,10,30,thr_c0.5,3.828928571428572,0.1276309523809524,0.27457352380952377,0.00019999174586143506,5
mnist,2.142857,10,30,thr_c1.0,2.9857142857142858,0.09952380952380953,0.27457352380952377,0.00019999174586143506,5
mnist,2.142857,10,30,participation_ratio,2.0583690509564176,0.06861230169854725,0.27457352380952377,0.00019999174586143506,5
mnist,2.142857,10,30,two_pow_entropy,2.7435749718381244,0.09145249906127081,0.27457352380952377,0.00019999174586143506,5
mnist,2.142857,10,100,thr_c0.25,4.881557142857143,0.04881557142857143,0.2533036285714286,0.0003274572114126166,5
mnist,2.142857,10,100,thr_c0.5,3.828928571428572,0.03828928571428572,0.2533036285714286,0.0003274572114126166,5
mnist,2.142857,10,100,thr_c1.0,2.9857142857142858,0.029857142857142856,0.2533036285714286,0.0003274572114126166,5
mnist,2.142857,10,100,participation_ratio,2.0583690509564176,0.020583690509564177,0.2533036285714286,0.0003274572114126166,5
mnist,2.142857,10,100,two_pow_entropy,2.7435749718381244,0.027435749718381242,0.2533036285714286,0.0003274572114126166,5
mnist,2.357143,10,10,thr_c0.25,4.3103,0.43102999999999997,0.3469282857142857,6.22267086169869e-05,5
mnist,2.357143,10,10,thr_c0.5,3.4517571428571427,0.34517571428571425,0.3469282857142857,6.22267086169869e-05,5
mnist,2.357143,10,10,thr_c1.0,2.749371428571429,0.2749371428571429,0.3469282857142857,6.22267086169869e-05,5
mnist,2.357143,10,10,participation_ratio,1.90917885475363,0.19091788547536298,0.3469282857142857,6.22267086169869e-05,5
mnist,2.357143,10,10,two_pow_entropy,2.4606812278348884,0.24606812278348883,0.3469282857142857,6.22267086169869e-05,5
mnist,2.357143,10,30,thr_c0.25,4.3103,0.14367666666666665,0.2670078095238095,0.000406964271610346,5
mnist,2.357143,10,30,thr_c0.5,3.4517571428571427,0.11505857142857143,0.2670078095238095,0.000406964271610346,5
mnist,2.357143,10,30,thr_c1.0,2.749371428571429,0.0916457142857143,0.2670078095238095,0.000406964271610346,5
mnist,2.357143,10,30,participation_ratio,1.90917885475363,0.06363929515845433,0.2670078095238095,0.000406964271610346,5
mnist,2.357143,10,30,two_pow_entropy,2.4606812278348884,0.08202270759449629,0.2670078095238095,0.000406964271610346,5
mnist,2.357143,10,100,thr_c0.25,4.3103,0.043102999999999995,0.24480059999999998,0.00046806786007228744,5
mnist,2.357143,10,100,thr_c0.5,3.4517571428571427,0.034517571428571425,0.24480059999999998,0.00046806786007228744,5
mnist,2.357143,10,100,thr_c1.0,2.749371428571429,0.02749371428571429,0.24480059999999998,0.00046806786007228744,5
mnist,2.357143,10,100,participation_ratio,1.90917885475363,0.0190917885475363,0.24480059999999998,0.00046806786007228744,5
mnist,2.357143,10,100,two_pow_entropy,2.4606812278348884,0.024606812278348884,0.24480059999999998,0.00046806786007228744,5
mnist,2.571429,10,10,thr_c0.25,3.874642857142857,0.3874642857142857,0.342058,0.00019253963281381544,5
mnist,2.571429,10,10,thr_c0.5,3.158385714285714,0.3158385714285714,0.342058,0.00019253963281381544,5
mnist,2.571429,10,10,thr_c1.0,2.561871428571429,0.2561871428571429,0.342058,0.00019253963281381544,5
mnist,2.571429,10,10,participation_ratio,1.796083506022523,0.1796083506022523,0.342058,0.00019253963281381544,5
mnist,2.571429,10,10,two_pow_entropy,2.2532267984461565,0.22532267984461565,0.342058,0.00019253963281381544,5
mnist,2.571429,10,30,thr_c0.25,3.874642857142857,0.12915476190476188,0.26044304761904763,0.0003389448212272032,5
mnist,2.571429,10,30,thr_c0.5,3.158385714285714,0.10527952380952381,0.26044304761904763,0.0003389448212272032,5
mnist,2.571429,10,30,thr_c1.0,2.561871428571429,0.0853957142857143,0.26044304761904763,0.0003389448212272032,5
mnist,2.571429,10,30,participation_ratio,1.796083506022523,0.05986945020075077,0.26044304761904763,0.0003389448212272032,5
mnist,2.571429,10,30,two_pow_entropy,2.2532267984461565,0.07510755994820521,0.26044304761904763,0.0003389448212272032,5
mnist,2.571429,10,100,thr_c0.25,3.874642857142857,0.03874642857142857,0.2362615999999999,0.000288604812778986,5
mnist,2.571429,10,100,thr_c0.5,3.158385714285714,0.03158385714285714,0.2362615999999999,0.000288604812778986,5
mnist,2.571429,10,100,thr_c1.0,2.561871428571429,0.02561871428571429,0.2362615999999999,0.000288604812778986,5
mnist,2.571429,10,100,participation_ratio,1.796083506022523,0.017960835060225232,0.2362615999999999,0.000288604812778986,5
mnist,2.571429,10,100,two_pow_entropy,2.2532267984461565,0.022532267984461566,0.2362615999999999,0.000288604812778986,5
mnist,2.785714,10,10,thr_c0.25,3.5322857142857145,0.35322857142857145,0.3377414285714285,0.00015240386732462465,5
mnist,2.785714,10,10,thr_c0.5,2.924842857142857,0.2924842857142857,0.3377414285714285,0.00015240386732462465,5
mnist,2.785714,10,10,thr_c1.0,2.4070714285714288,0.24070714285714287,0.3377414285714285,0.00015240386732462465,5
mnist,2.785714,10,10,participation_ratio,1.707650658514485,0.17076506585144852,0.3377414285714285,0.00015240386732462465,5
mnist,2.785714,10,10,two_pow_entropy,2.095634292413867,0.20956342924138668,0.3377414285714285,0.00015240386732462465,5
mnist,2.785714,10,30,thr_c0.25,3.5322857142857145,0.11774285714285715,0.2546319047619047,0.00017222750339353947,5
mnist,2.785714,10,30,thr_c0.5,2.924842857142857,0.0974947619047619,0.2546319047619047,0.00017222750339353947,5
mnist,2.785714,10,30,thr_c1.0,2.4070714285714288,0.08023571428571429,0.2546319047619047,0.00017222750339353947,5
mnist,2.785714,10,30,participation_ratio,1.707650658514485,0.0569216886171495,0.2546319047619047,0.00017222750339353947,5
mnist,2.785714,10,30,two_pow_entropy,2.095634292413867,0.06985447641379557,0.2546319047619047,0.00017222750339353947,5
mnist,2.785714,10,100,thr_c0.25,3.5322857142857145,0.03532285714285714,0.22896265714285713,0.0002720142043109606,5
mnist,2.785714,10,100,thr_c0.5,2.924842857142857,0.02924842857142857,0.22896265714285713,0.0002720142043109606,5
mnist,2.785714,10,100,thr_c1.0,2.4070714285714288,0.02407071428571429,0.22896265714285713,0.0002720142043109606,5
mnist,2.785714,10,100,participation_ratio,1.707650658514485,0.01707650658514485,0.22896265714285713,0.0002720142043109606,5
mnist,2.785714,10,100,two_pow_entropy,2.095634292413867,0.020956342924138668,0.22896265714285713,0.0002720142043109606,5
mnist,3.0,10,10,thr_c0.25,3.2610714285714284,0.3261071428571428,0.3339211428571428,0.00023934161393973383,5
mnist,3.0,10,10,thr_c0.5,2.7321285714285715,0.27321285714285715,0.3339211428571428,0.00023934161393973383,5
mnist,3.0,10,10,thr_c1.0,2.2807,0.22807,0.3339211428571428,0.00023934161393973383,5
mnist,3.0,10,10,participation_ratio,1.6367245180392065,0.16367245180392065,0.3339211428571428,0.00023934161393973383,5
mnist,3.0,10,10,two_pow_entropy,1.9723536128962749,0.1972353612896275,0.3339211428571428,0.00023934161393973383,5
mnist,3.0,10,30,thr_c0.25,3.2610714285714284,0.10870238095238095,0.24909057142857138,0.00023916130857492952,5
mnist,3.0,10,30,thr_c0.5,2.7321285714285715,0.09107095238095238,0.24909057142857138,0.00023916130857492952,5
mnist,3.0,10,30,thr_c1.0,2.2807,0.07602333333333333,0.24909057142857138,0.00023916130857492952,5
mnist,3.0,10,30,participation_ratio,1.6367245180392065,0.054557483934640216,0.24909057142857138,0.00023916130857492952,5
mnist,3.0,10,30,two_pow_entropy,1.9723536128962749,0.06574512042987583,0.24909057142857138,0.00023916130857492952,5
mnist,3.0,10,100,thr_c0.25,3.2610714285714284,0.032610714285714285,0.22278977142857137,0.000398415346807122,5
mnist,3.0,10,100,thr_c0.5,2.7321285714285715,0.027321285714285715,0.22278977142857137,0.000398415346807122,5
mnist,3.0,10,100,thr_c1.0,2.2807,0.022807,0.22278977142857137,0.000398415346807122,5
mnist,3.0,10,100,participation_ratio,1.6367245180392065,0.016367245180392065,0.22278977142857137,0.000398415346807122,5
mnist,3.0,10,100,two_pow_entropy,1.9723536128962749,0.01972353612896275,0.22278977142857137,0.000398415346807122,5
mnist,0.0,20,10,thr_c0.25,60.0,6.0,0.2077822857142857,0.0002880768038179529,5
mnist,0.0,20,10,thr_c0.5,60.0,6.0,0.2077822857142857,0.0002880768038179529,5
mnist,0.0,20,10,thr_c1.0,60.0,6.0,0.2077822857142857,0.0002880768038179529,5
mnist,0.0,20,10,participation_ratio,60.000000000000014,6.000000000000002,0.2077822857142857,0.0002880768038179529,5
mnist,0.0,20,10,two_pow_entropy,59.99999999999999,5.999999999999999,0.2077822857142857,0.0002880768038179529,5
mnist,0.0,20,30,thr_c0.25,60.0,2.0,0.30624704761904764,0.00024643625936938155,5
mnist,0.0,20,30,thr_c0.5,60.0,2.0,0.30624704761904764,0.00024643625936938155,5
mnist,0.0,20,30,thr_c1.0,60.0,2.0,0.30624704761904764,0.00024643625936938155,5
mnist,0.0,20,30,participation_ratio,60.000000000000014,2.0000000000000004,0.30624704761904764,0.00024643625936938155,5
mnist,0.0,20,30,two_pow_entropy,59.99999999999999,1.9999999999999998,0.30624704761904764,0.00024643625936938155,5
mnist,0.0,20,100,thr_c0.25,60.0,0.6,0.37400774285714283,0.00013693974244619712,5
mnist,0.0,20,100,thr_c0.5,60.0,0.6,0.37400774285714283,0.00013693974244619712,5
mnist,0.0,20,100,thr_c1.0,60.0,0.6,0.37400774285714283,0.00013693974244619712,5
mnist,0.0,20,100,participation_ratio,60.000000000000014,0.6000000000000001,0.37400774285714283,0.00013693974244619712,5
mnist,0.0,20,100,two_pow_entropy,59.99999999999999,0.6,0.37400774285714283,0.00013693974244619712,5
mnist,0.214286,20,10,thr_c0.25,60.0,6.0,0.26361085714285715,0.00010657027958017853,5
mnist,0.214286,20,10,thr_c0.5,59.98578571428571,5.998578571428571,0.26361085714285715,0.00010657027958017853,5
