dataset,gamma,rho,k,measure,eff_size,eff_over_k,no_mean,no_std,n_seeds
mnist,0.0,10,10,thr_c0.25,30.0,3.0,0.296784,0.00020343860328394167,5
mnist,0.0,10,10,thr_c0.5,30.0,3.0,0.296784,0.00020343860328394167,5
mnist,0.0,10,10,thr_c1.0,30.0,3.0,0.296784,0.00020343860328394167,5
mnist,0.0,10,10,participation_ratio,30.0,3.0,0.296784,0.00020343860328394167,5
mnist,0.0,10,10,two_pow_entropy,30.000000000000007,3.000000000000001,0.296784,0.00020343860328394167,5
mnist,0.0,10,30,thr_c0.25,30.0,1.0,0.3669213333333333,0.00024026372509465785,5
mnist,0.0,10,30,thr_c0.5,30.0,1.0,0.3669213333333333,0.00024026372509465785,5
mnist,0.0,10,30,thr_c1.0,30.0,1.0,0.3669213333333333,0.00024026372509465785,5
mnist,0.0,10,30,participation_ratio,30.0,1.0,0.3669213333333333,0.00024026372509465785,5
mnist,0.0,10,30,two_pow_entropy,30.000000000000007,1.0000000000000002,0.3669213333333333,0.00024026372509465785,5
mnist,0.0,10,100,thr_c0.25,30.0,0.3,0.3695199142857143,0.0002490069026172208,5
mnist,0.0,10,100,thr_c0.5,30.0,0.3,0.3695199142857143,0.0002490069026172208,5
mnist,0.0,10,100,thr_c1.0,30.0,0.3,0.3695199142857143,0.0002490069026172208,5
mnist,0.0,10,100,participation_ratio,30.0,0.3,0.3695199142857143,0.0002490069026172208,5
mnist,0.0,10,100,two_pow_entropy,30.000000000000007,0.30000000000000004,0.3695199142857143,0.0002490069026172208,5
mnist,0.214286,10,10,thr_c0.25,29.999757142857145,2.9999757142857146,0.3492522857142857,0.00041783953564855295,5
mnist,0.214286,10,10,thr_c0.5,29.905914285714285,2.9905914285714283,0.3492522857142857,0.00041783953564855295,5
mnist,0.214286,10,10,thr_c1.0,10.93677142857143,1.093677142857143,0.3492522857142857,0.00041783953564855295,5
mnist,0.214286,10,10,participation_ratio,27.04992611661483,2.704992611661483,0.3492522857142857,0.00041783953564855295,5
mnist,0.214286,10,10,two_pow_entropy,28.543764272949243,2.854376427294924,0.3492522857142857,0.00041783953564855295,5
mnist,0.214286,10,30,thr_c0.25,29.999757142857145,0.9999919047619048,0.37282247619047615,0.00020779926647462483,5
mnist,0.214286,10,30,thr_c0.5,29.905914285714285,0.9968638095238095,0.37282247619047615,0.00020779926647462483,5
mnist,0.214286,10,30,thr_c1.0,10.93677142857143,0.3645590476190476,0.37282247619047615,0.00020779926647462483,5
mnist,0.214286,10,30,participation_ratio,27.04992611661483,0.9016642038871611,0.37282247619047615,0.00020779926647462483,5
