dataset,rho,gamma,k_neighbors,eff_perplexity,thr_c0.25_mean,thr_c0.25_std,thr_c0.5_mean,thr_c0.5_std,thr_c1.0_mean,thr_c1.0_std,participation_ratio_mean,participation_ratio_std,two_pow_entropy_mean,two_pow_entropy_std
mnist,10,0.0,30,10.0,30.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0,30.000000000000007,3.552713678800501e-15
mnist,10,0.214286,30,10.0,29.999757142857142,0.024783598098215627,29.905914285714285,0.6547884225972134,10.93677142857143,1.5624895443895075,27.04992611661483,0.8470385505744588,28.543764272949243,0.5024108631058101
mnist,10,0.428571,30,10.0,29.76472857142857,1.1081794261816291,24.197542857142857,4.326982414985279,9.458342857142856,1.4762913367694088,19.491793255672114,1.2605466201792137,24.24047060465786,1.2994557112768994
mnist,10,0.5,30,10.0,29.215842857142857,2.055486839348453,21.1146,4.250782581394362,8.972457142857143,1.4466359862573215,16.786709442749853,1.0126774669042107,22.36792547457541,1.4237583081176441
mnist,10,0.6,30,10.0,27.428285714285714,3.577752675085525,17.495185714285714,3.4434251585671296,8.311757142857143,1.4086443527196562,13.371425943624917,0.5036550055034584,19.59543391997324,1.409967673947691
mnist,10,0.642857,30,10.0,26.283114285714287,4.107973502984713,16.2287,3.0696387449153875,8.039228571428572,1.3929223049959039,12.09426473590541,0.27784851922322445,18.398485617979286,1.338574024705443
mnist,10,0.7,30,10.0,24.502185714285716,4.558216545952586,14.780371428571428,2.6255215273564687,7.681557142857143,1.3738506379174273,10.581860881035723,0.07642139353433695,16.83029696921731,1.1911624700554773
mnist,10,0.8,30,10.0,21.125185714285713,4.586679467429436,12.715071428571429,2.0474238155819733,7.085057142857143,1.346803463079623,8.437581624759625,0.4315574634458796,14.242651710567527,0.8293249343616739
mnist,10,0.857143,30,10.0,19.269314285714287,4.245866707896574,11.7458,1.822324909088858,6.762771428571429,1.3317581416139728,7.4670149302231295,0.6007597772321087,12.890620007817128,0.5908403359774441
mnist,10,0.9,30,10.0,17.970014285714285,3.897160248154535,11.095942857142857,1.6819786297751849,6.529771428571428,1.3231129761872573,6.842528146653882,0.7015010627560739,11.947855005881607,0.40903915745922664
