seed,perplexity,gamma,global_spearman
942484272,200,0.5,0.6796877892407776
942484272,200,0.7,0.6868116181881195
942484272,200,1.0,0.6741304471007422
942484272,200,1.2,0.6792944583951978
942484272,200,1.5,0.6766708431486579
942484272,200,2.0,0.6845907948678677
929893138,200,0.0,0.6887429968140399
929893138,200,0.5,0.6713905684525283
929893138,200,0.7,0.6877325628184574
929893138,200,1.0,0.6788127891476164
929893138,200,1.2,0.6697113946265861
929893138,200,1.5,0.6792411958664442
929893138,200,2.0,0.6864660222041049
1843824993,200,0.0,0.699077375348264
1843824993,200,0.5,0.6848755653410392
1843824993,200,0.7,0.6606998585516782
1843824993,200,1.0,0.6679493777325286
1843824993,200,1.2,0.6730527117168199
1843824993,200,1.5,0.6743785373556158
1843824993,200,2.0,0.6729835290493408
184566854,200,0.0,0.686363250283247
184566854,200,0.5,0.6915786328751875
184566854,200,0.7,0.6822520504282985
184566854,200,1.0,0.6620278245085834
184566854,200,1.2,0.6763528591683251
184566854,200,1.5,0.6808966680988525
184566854,200,2.0,0.6826854483037307
1497586439,200,0.0,0.691277711511815
1497586439,200,0.5,0.6830144483526288
1497586439,200,0.7,0.6829959922084506
1497586439,200,1.0,0.6689593145889081
1497586439,200,1.2,0.6782750818429584
1497586439,200,1.5,0.6768610234588298
1497586439,200,2.0,0.6782953840002159
432652533,200,0.0,0.6923258705923716
432652533,200,0.5,0.6888140459202566
432652533,200,0.7,0.6876659363569378
432652533,200,1.0,0.6707600016540715
432652533,200,1.2,0.6699107386613192
432652533,200,1.5,0.6785786090185545
432652533,200,2.0,0.6627494860506515
202244314,200,0.0,0.6905747064228605
202244314,200,0.5,0.6701814510855244
202244314,200,0.7,0.6690727449077314
202244314,200,1.0,0.668339482815646
202244314,200,1.2,0.6774731710260434
202244314,200,1.5,0.6782178021919809
202244314,200,2.0,0.6695077784815424
