seed,perplexity,standard_no,smooth_gamma0.7_no,standard_auc,smooth_gamma0.7_auc
191664964,5,0.43326197072733885,0.45961296280748887,0.4476249934949301,0.4667383207048666
1662057958,5,0.43329135532980717,0.4581703187529734,0.4479152862334891,0.4657534519057377
1405681632,5,0.4330156997733188,0.4591735930372485,0.4475302668178097,0.4665766063095784
942484272,5,0.4319060812134441,0.45958217893823644,0.4470833988248517,0.466406612244404
929893138,5,0.43321719419024424,0.4596899224806202,0.4477616493622068,0.4666932221110594
191664964,10,0.4624226905101727,0.4872372876612655,0.46686574885251075,0.4727314310885049
1662057958,10,0.46336719558951106,0.48573587440181343,0.46740457363774124,0.47237461014583293
1405681632,10,0.4626549687963507,0.4875311336859485,0.467232939079165,0.4728127868860563
942484272,10,0.46278370134049757,0.4866439985447626,0.4672574659474117,0.4726501317964435
929893138,10,0.46410041138443453,0.48590098788234964,0.46757229175509407,0.4721429244275848
191664964,15,0.4758850362410097,0.4966249685164973,0.47115013114984194,0.4656880568502695
1662057958,15,0.47634399574622893,0.4971734810959057,0.47104810501951266,0.4660495017581645
1405681632,15,0.4764405451543391,0.4963213276243248,0.4711049673719083,0.46559418833348754
942484272,15,0.4762404500041978,0.4964164777656508,0.47070647255512316,0.4659201720737816
929893138,15,0.4767273948451011,0.4967732907956231,0.4712940513073223,0.4662093920953772
191664964,20,0.48461506170766516,0.4998418828533848,0.47120658444146646,0.4553793292002632
1662057958,20,0.4841686956035038,0.5004869448409034,0.47072700217841384,0.45603581255960407
1405681632,20,0.4844611423614026,0.5011893767665743,0.4705002837661891,0.45702920466819136
942484272,20,0.4849159040662693,0.5003260291607198,0.47119013931256565,0.4559755701738401
929893138,20,0.4846934206475807,0.5007877871995075,0.4711190742420582,0.4556927145499498
191664964,25,0.4896860045336244,0.5008381608037389,0.468566266269428,0.44504387862184375
1662057958,25,0.48990708868552874,0.5008843366076176,0.46838493596728614,0.4450919425648819
1405681632,25,0.4897741583410293,0.5007346150617077,0.4686168215125785,0.44478211441056004
942484272,25,0.49005820949822293,0.5012971203089581,0.46872347475473214,0.44531741056423735
929893138,25,0.4897223854700138,0.5007681974645286,0.46853470311194895,0.4449796242001737
191664964,30,0.49306943161783223,0.4994249013516917,0.46488790324353535,0.4338468773001095
1662057958,30,0.49316598102594233,0.4988540005037361,0.46514288204429377,0.4340662663708285
1405681632,30,0.49380264741275565,0.4994416925531021,0.46471334609994036,0.43346678583077647
942484272,30,0.4934206475806677,0.4993045644082501,0.4652935078467065,0.4340352954864498
929893138,30,0.49370329947107716,0.4989113704418885,0.4650036412440073,0.43328529083564715
191664964,40,0.4973301989757367,0.49393277922368684,0.4560411164763212,0.41414071215279613
1662057958,40,0.4968250636666387,0.4942923907872275,0.4555284772824352,0.4150282855832717
1405681632,40,0.4967089245235496,0.49417485237735426,0.45592974145127435,0.4143072533082285
942484272,40,0.49618000167912013,0.4944714969356057,0.4558673037423405,0.4143926890865445
929893138,40,0.49661377438222365,0.4947233649567626,0.45582004043809116,0.4148476468707757
191664964,50,0.4981403744437914,0.48774382223714774,0.44567410163631815,0.398740660555349
1662057958,50,0.4975121036576834,0.4877578149049898,0.44623452797194296,0.39870406862295366
1405681632,50,0.49773318780958775,0.4877270310357373,0.4454673171277871,0.3984003122921257
942484272,50,0.4975512831276411,0.487336635602944,0.445958001736921,0.3981005859054579
929893138,50,0.4974351439845521,0.48726247446338117,0.44557309072762175,0.3977487281431381
191664964,60,0.4970909243556376,0.4788654744913665,0.43599525773087244,0.38042641488423407
1662057958,60,0.4966543531189656,0.47993731284806757,0.43526437950661007,0.3821850117419266
1405681632,60,0.4972462429686844,0.47938740100187505,0.4349425967125166,0.3816200003000171
942484272,60,0.49709372288920606,0.4792152911874178,0.43574757597855673,0.380903818697138
929893138,60,0.4972546385693897,0.47925447065737553,0.4358861996983281,0.38172547409248325
191664964,70,0.4950745809195981,0.4731158872750678,0.42467876559364126,0.37049682742708595
1662057958,70,0.4949710351775669,0.47182016623289397,0.4258903879738467,0.3694370410103918
1405681632,70,0.49500601684717205,0.47196568997845134,0.4258844300536532,0.36902307217733876
942484272,70,0.49448688887023196,0.47168023955447347,0.42454148087350174,0.36846916257543216
929893138,70,0.49499202417932997,0.4728514258528531,0.4254211452026693,0.36976727672151877
191664964,80,0.4931114096213584,0.46609856435227937,0.4169188930286819,0.3587774793692022
1662057958,80,0.4928679372009067,0.4657389527887387,0.41652508791334675,0.35852974407397126
1405681632,80,0.49339126297819946,0.46608037388408474,0.41737933536280275,0.358525622406339
942484272,80,0.4933450871743207,0.4662021100943105,0.4171788726160708,0.35863721962316947
929893138,80,0.4924817395684661,0.4656899784512915,0.4154671684419314,0.35830807476281074
191664964,90,0.49015475890633303,0.4606834018974058,0.40837035750744327,0.3496892645451475
1662057958,90,0.49006240729857553,0.46028740939747576,0.4076807170457156,0.3492896467155922
1405681632,90,0.48997145495760225,0.45948283099655785,0.4082424089209592,0.3486975985837875
942484272,90,0.4888282539949066,0.4601222959169395,0.40601740917347945,0.3489893808827762
929893138,90,0.4896957994011138,0.45999496263957684,0.4064801575251599,0.34873393842787365
191664964,100,0.48642011585928974,0.45436011529958303,0.3983612698089613,0.34091820547931445
1662057958,100,0.48695463577085607,0.4542621666246887,0.4000121278958515,0.3404998556178687
1405681632,100,0.4863865334564688,0.4546553605910503,0.39888661416520815,0.3409602003846028
942484272,100,0.4865194638009682,0.4539725184003582,0.3993338537881955,0.3398651962061668
929893138,100,0.48535947163686227,0.4543936977024039,0.3983992886879849,0.340531617147749
