k,gamma,peak_rho,peak_no,peak_location,max_std_band
30,0.8,18,0.2065731614859742,interior,0.0013683483598614505
30,1.0,35,0.20362395754359364,interior,0.0014006844724206223
30,1.2,70,0.20371493555724035,interior,0.0012160532455511373
100,0.8,70,0.32540561031084153,interior,0.0014365962426990998
100,1.0,125,0.3241440485216073,interior,0.001220507719805757
100,1.2,200,0.3243055344958302,boundary (high),0.0013542131575735793
