k,gamma,rho,seed,no_at_k
30,0.8,5,0,0.1771417740712661
100,0.8,5,0,0.260068233510235
30,0.8,5,1,0.17845590093505181
100,0.8,5,1,0.2601250947687642
30,0.8,5,2,0.17898660601465757
100,0.8,5,2,0.26010614101592117
30,0.8,5,4,0.17702805155420773
100,0.8,5,4,0.2575625473843821
30,0.8,5,3,0.17606772807682589
100,0.8,5,3,0.25684609552691434
30,1.0,5,1,0.1661233257518322
100,1.0,5,1,0.2470773313115997
30,1.0,5,0,0.1688905736669194
100,1.0,5,0,0.2486770280515542
30,1.0,5,3,0.1694844579226687
100,1.0,5,3,0.24766489764973465
30,1.0,5,2,0.16608541824614606
100,1.0,5,2,0.24723654283548144
30,1.0,5,4,0.1680439727065959
100,1.0,5,4,0.24802501895375284
30,1.2,5,0,0.162446297700278
100,1.2,5,0,0.2389158453373768
30,1.2,5,1,0.16062673742734396
100,1.2,5,1,0.23865428354814253
30,1.2,5,2,0.16103108415466263
100,1.2,5,2,0.23821076573161487
30,1.2,5,3,0.16176396259792772
100,1.2,5,3,0.23688779378316907
30,1.2,5,4,0.16141015921152388
100,1.2,5,4,0.24057998483699772
30,0.8,8,1,0.18941117007834218
100,0.8,8,1,0.2717437452615618
30,0.8,8,0,0.1898786959818044
100,0.8,8,0,0.27107278241091737
30,0.8,8,4,0.1891331817033106
100,0.8,8,4,0.27017058377558756
30,0.8,8,3,0.18881728582259288
100,0.8,8,3,0.2711675511751327
30,0.8,8,2,0.1870988122314885
100,0.8,8,2,0.27004548900682335
30,1.0,8,1,0.17606772807682589
100,1.0,8,1,0.2590561031084155
30,1.0,8,0,0.17753348496335608
100,1.0,8,0,0.2577710386656558
30,1.0,8,2,0.1756633813495072
100,1.0,8,2,0.25634192570128883
30,1.0,8,3,0.17633308061662875
100,1.0,8,3,0.25703942380591355
30,1.2,8,0,0.16654030831437958
100,1.2,8,0,0.24598938589840788
30,1.0,8,4,0.1743239828152641
100,1.0,8,4,0.2561334344200152
30,1.2,8,1,0.1681829668941117
100,1.2,8,1,0.24829037149355573
30,1.2,8,3,0.1664013141268638
100,1.2,8,3,0.24921152388172857
30,1.2,8,4,0.1686378569623452
100,1.2,8,4,0.24564821834723274
30,1.2,8,2,0.16683093252463987
100,1.2,8,2,0.2476194086429113
30,0.8,12,1,0.19909021986353298
100,0.8,12,1,0.2828999241849886
30,0.8,12,0,0.19946929492039422
100,0.8,12,0,0.28106141015921154
30,0.8,12,2,0.19826889057366692
100,0.8,12,2,0.27955269143290373
30,0.8,12,3,0.19744756128380087
100,0.8,12,3,0.2810045489006823
30,0.8,12,4,0.1987111448066717
100,0.8,12,4,0.28350265352539805
30,1.0,12,0,0.185342431134698
100,1.0,12,0,0.26541319181197875
30,1.0,12,4,0.18482436189032095
100,1.0,12,4,0.26465125094768766
30,1.0,12,1,0.18471063937326257
100,1.0,12,1,0.2654359363153905
30,1.0,12,2,0.18493808440737933
100,1.0,12,2,0.26512888551933284
30,1.0,12,3,0.18497599191306546
100,1.0,12,3,0.2660500379075057
30,1.2,12,1,0.17517058377558756
100,1.2,12,1,0.2548786959818044
30,1.2,12,0,0.17361637604245642
100,1.2,12,0,0.2547877179681577
30,1.2,12,2,0.1749305029062421
100,1.2,12,2,0.25380212282031844
30,1.2,12,4,0.17558756633813494
100,1.2,12,4,0.2555951478392722
30,1.2,12,3,0.1730224917867071
100,1.2,12,3,0.2536921910538287
30,0.8,18,0,0.20796057619408642
100,0.8,18,0,0.3005344958301744
30,0.8,18,4,0.20737932777356582
100,0.8,18,4,0.30003790750568615
30,0.8,18,1,0.2049785190801112
100,0.8,18,1,0.29869219105382866
30,0.8,18,3,0.20677280768258782
100,0.8,18,3,0.29722137983320696
30,0.8,18,2,0.20577457669951985
100,0.8,18,2,0.29833206974981047
30,1.0,18,1,0.1920773313115997
100,1.0,18,1,0.2764518574677786
30,1.0,18,0,0.19202678797068487
100,1.0,18,0,0.2761599696739955
30,1.0,18,2,0.19157189790245135
100,1.0,18,2,0.27703563305534495
30,1.0,18,4,0.1919383371240839
100,1.0,18,4,0.27639120545868084
30,1.0,18,3,0.19226686884003033
100,1.0,18,3,0.2761751326762699
30,1.2,18,0,0.1819560272934041
100,1.2,18,0,0.2630705079605762
30,1.2,18,2,0.18188021228203186
100,1.2,18,2,0.26302501895375285
30,1.2,18,1,0.18189284811726056
100,1.2,18,1,0.26322592873388934
30,1.2,18,4,0.1788855193328279
100,1.2,18,4,0.2610841546626232
30,0.8,25,1,0.20620419509729593
100,0.8,25,1,0.31254359363153905
30,1.2,18,3,0.1819686631286328
100,1.2,18,3,0.2639423805913571
30,0.8,25,0,0.20628001010866817
100,0.8,25,0,0.31217968157695225
30,0.8,25,2,0.20761940864291129
100,0.8,25,2,0.3129264594389689
30,0.8,25,3,0.2063179176143543
100,0.8,25,3,0.3123995451099318
30,0.8,25,4,0.2049911549153399
100,0.8,25,4,0.3113532979529947
30,1.0,25,1,0.19709375789739703
100,1.0,25,1,0.2884647460197119
30,1.0,25,0,0.1989764973464746
100,1.0,25,0,0.28804397270659593
30,1.0,25,3,0.19791508718726308
100,1.0,25,3,0.2870811220621683
30,1.0,25,2,0.19820571139752338
100,1.0,25,2,0.28736163760424566
30,1.0,25,4,0.19935557240333587
100,1.0,25,4,0.2881576952236543
30,1.2,25,1,0.18630275461207985
100,1.2,25,1,0.2699848369977256
30,1.2,25,0,0.1876926964872378
100,1.2,25,0,0.27012509476876423
30,1.2,25,2,0.18732625726560526
100,1.2,25,2,0.26802122820318425
30,1.2,25,3,0.18757897397017942
100,1.2,25,3,0.2704473085670963
30,1.2,25,4,0.18757897397017942
100,1.2,25,4,0.2710462471569371
30,0.8,35,3,0.2001516300227445
100,0.8,35,3,0.3208453373768006
30,0.8,35,0,0.19738438210765732
100,0.8,35,0,0.32179302501895374
30,0.8,35,1,0.19963356077836744
100,0.8,35,1,0.3219939347990902
30,0.8,35,2,0.1995830174374526
100,0.8,35,2,0.32221758908263837
30,0.8,35,4,0.19857215061915592
100,0.8,35,4,0.32164139499620925
30,1.0,35,0,0.20540813747788728
100,1.0,35,0,0.3018043972706596
30,1.0,35,1,0.20315895880717716
100,1.0,35,1,0.2993025018953753
30,1.0,35,2,0.203209502148092
100,1.0,35,2,0.30100075815011373
30,1.0,35,3,0.20401819560272935
100,1.0,35,3,0.3011410159211524
30,1.0,35,4,0.2023249936820824
100,1.0,35,4,0.2990712661106899
30,1.2,35,1,0.1914960828910791
100,1.2,35,1,0.27752463987869597
30,1.2,35,2,0.19088956280010108
100,1.2,35,2,0.27788855193328277
30,1.2,35,0,0.1907758402830427
100,1.2,35,0,0.2776762699014405
30,1.2,35,3,0.19307556229466769
100,1.2,35,3,0.2781501137225171
30,1.2,35,4,0.19274703057872125
100,1.2,35,4,0.27932145564821836
30,0.8,50,0,0.18642911296436696
100,0.8,50,0,0.3255761940864291
30,0.8,50,1,0.185342431134698
100,0.8,50,1,0.3242153146322972
30,0.8,50,2,0.18727571392469042
100,0.8,50,2,0.325235026535254
30,0.8,50,3,0.18752843062926458
100,0.8,50,3,0.32484457922668686
30,1.0,50,1,0.20155420773313115
100,1.0,50,1,0.31181576952236545
30,0.8,50,4,0.18573414202678798
100,0.8,50,4,0.32420015163002275
30,1.0,50,0,0.20267879706848624
100,1.0,50,0,0.31384003032600455
30,1.0,50,4,0.20252716704574172
100,1.0,50,4,0.3102388172858226
30,1.0,50,2,0.20247662370482689
100,1.0,50,2,0.3130439727065959
30,1.2,50,0,0.2002906242102603
100,1.2,50,0,0.28913570887035633
