k,gamma,peak_rho,peak_no,peak_location,max_std_band
30,0.8,25,0.3886073333333333,interior,0.0002855219352522529
30,1.0,35,0.3854530476190476,interior,0.00025541898352089725
30,1.2,70,0.383703619047619,interior,0.00047597103515219664
100,0.8,70,0.4197377714285714,interior,0.0003243859807232691
100,1.0,125,0.41713637142857135,interior,0.0003870601746182232
100,1.2,200,0.4160716,boundary (high),0.0005127344970740768
