k,gamma,rho,seed,no_at_k
30,1.0,200,0,0.34175285714285714
100,1.0,200,0,0.41442485714285715
30,1.0,200,3,0.34204904761904764
100,1.0,200,3,0.41438314285714284
30,1.0,200,2,0.34210904761904765
100,1.0,200,2,0.4145371428571429
30,1.0,200,1,0.34154
100,1.0,200,1,0.4139737142857143
30,1.0,200,4,0.34148428571428574
100,1.0,200,4,0.41437285714285715
30,1.2,200,2,0.3654557142857143
100,1.2,200,2,0.4161604285714286
30,1.2,200,3,0.3650761904761905
100,1.2,200,3,0.4163027142857143
30,1.2,200,0,0.3654957142857143
100,1.2,200,0,0.416082
30,1.2,200,4,0.36504380952380955
100,1.2,200,4,0.41553157142857144
30,1.2,200,1,0.36509380952380954
100,1.2,200,1,0.4162812857142857
