k,gamma,rho,seed,no_at_k
30,1.0,5,0,0.3394104761904762
100,1.0,5,0,0.34080771428571427
30,1.0,5,4,0.3391461904761905
100,1.0,5,4,0.340369
30,0.8,5,4,0.35480809523809526
100,0.8,5,4,0.356837
30,0.8,5,1,0.3543657142857143
100,0.8,5,1,0.35698714285714284
30,0.8,5,2,0.35500809523809523
100,0.8,5,2,0.35684
30,1.0,5,1,0.3392590476190476
100,1.0,5,1,0.34033942857142857
30,1.0,5,2,0.33908571428571427
100,1.0,5,2,0.340532
30,1.0,5,3,0.33872
100,1.0,5,3,0.34010214285714285
30,0.8,5,3,0.35491428571428574
100,0.8,5,3,0.3568834285714286
30,0.8,5,0,0.3543195238095238
100,0.8,5,0,0.35682514285714284
30,1.2,5,0,0.3250790476190476
100,1.2,5,0,0.323598
30,1.2,5,2,0.3254595238095238
100,1.2,5,2,0.3240058571428571
30,1.2,5,3,0.3252995238095238
100,1.2,5,3,0.32421514285714287
30,1.2,5,1,0.3249166666666667
100,1.2,5,1,0.32439957142857145
30,0.8,8,3,0.37202380952380953
100,0.8,8,3,0.37553314285714284
30,0.8,8,1,0.3719547619047619
100,0.8,8,1,0.3760142857142857
30,0.8,8,0,0.3718266666666667
100,0.8,8,0,0.37619414285714287
30,0.8,8,2,0.3719752380952381
100,0.8,8,2,0.3756882857142857
30,1.2,5,4,0.32494904761904764
100,1.2,5,4,0.32295985714285713
30,0.8,8,4,0.3719119047619048
100,0.8,8,4,0.37529357142857145
30,1.0,8,0,0.3577847619047619
100,1.0,8,0,0.3614132857142857
30,1.0,8,1,0.3577861904761905
100,1.0,8,1,0.361202
30,1.0,8,4,0.3574966666666667
100,1.0,8,4,0.36109071428571426
30,1.0,8,2,0.3573990476190476
100,1.0,8,2,0.3615612857142857
30,1.2,8,0,0.3441766666666667
100,1.2,8,0,0.34613357142857143
30,1.0,8,3,0.35758666666666666
100,1.0,8,3,0.36152542857142855
30,1.2,8,1,0.34376190476190477
100,1.2,8,1,0.345911
30,1.2,8,2,0.34478333333333333
100,1.2,8,2,0.34614028571428573
30,1.2,8,3,0.3448123809523809
100,1.2,8,3,0.3453492857142857
30,1.2,8,4,0.34437666666666666
100,1.2,8,4,0.34583
30,0.8,12,0,0.3822504761904762
100,0.8,12,0,0.388626
30,0.8,12,1,0.38237333333333334
100,0.8,12,1,0.3891111428571429
30,0.8,12,3,0.3822404761904762
100,0.8,12,3,0.389003
30,0.8,12,2,0.38246761904761906
100,0.8,12,2,0.38877114285714287
30,0.8,12,4,0.38230238095238095
100,0.8,12,4,0.388759
30,1.0,12,0,0.3700995238095238
100,1.0,12,0,0.37529671428571426
30,1.0,12,1,0.3702371428571429
100,1.0,12,1,0.375831
30,1.0,12,2,0.3700804761904762
100,1.0,12,2,0.37567342857142855
30,1.0,12,4,0.3700919047619048
100,1.0,12,4,0.3753552857142857
30,1.0,12,3,0.3698080952380952
100,1.0,12,3,0.3751917142857143
30,1.2,12,2,0.3565942857142857
100,1.2,12,2,0.36160857142857145
30,1.2,12,0,0.35752142857142855
100,1.2,12,0,0.3616154285714286
30,1.2,12,1,0.35749761904761906
100,1.2,12,1,0.3622267142857143
30,0.8,18,1,0.38773
100,0.8,18,1,0.39951257142857144
30,1.2,12,3,0.3580138095238095
100,1.2,12,3,0.3616715714285714
30,0.8,18,3,0.3879057142857143
100,0.8,18,3,0.3999022857142857
30,1.2,12,4,0.3570852380952381
100,1.2,12,4,0.3614494285714286
30,0.8,18,0,0.38821714285714287
100,0.8,18,0,0.3997658571428571
30,0.8,18,2,0.38806666666666667
100,0.8,18,2,0.3995937142857143
30,1.0,18,0,0.3790366666666667
100,1.0,18,0,0.3866131428571429
30,1.0,18,1,0.3790490476190476
100,1.0,18,1,0.38751685714285716
30,0.8,18,4,0.38739666666666667
100,0.8,18,4,0.39930442857142856
30,1.0,18,2,0.3788995238095238
100,1.0,18,2,0.3869977142857143
30,1.0,18,3,0.37926857142857145
100,1.0,18,3,0.3869055714285714
30,1.2,18,1,0.3681647619047619
100,1.2,18,1,0.3739724285714286
30,1.2,18,2,0.3684295238095238
100,1.2,18,2,0.37425785714285714
30,1.0,18,4,0.37883
100,1.0,18,4,0.3863722857142857
30,1.2,18,0,0.3686919047619048
100,1.2,18,0,0.37444628571428573
30,1.2,18,4,0.36807047619047617
100,1.2,18,4,0.3740625714285714
30,1.2,18,3,0.3683452380952381
100,1.2,18,3,0.3746607142857143
30,0.8,25,0,0.3887614285714286
100,0.8,25,0,0.4073217142857143
30,0.8,25,1,0.38857619047619046
100,0.8,25,1,0.4069385714285714
30,0.8,25,2,0.3887504761904762
100,0.8,25,2,0.4069074285714286
30,0.8,25,3,0.3886504761904762
100,0.8,25,3,0.4066124285714286
30,1.0,25,0,0.38277904761904763
100,1.0,25,0,0.3943515714285714
30,0.8,25,4,0.3882980952380952
100,0.8,25,4,0.40682757142857146
30,1.0,25,1,0.3833761904761905
100,1.0,25,1,0.3952488571428571
30,1.0,25,2,0.3831604761904762
100,1.0,25,2,0.3948358571428571
30,1.0,25,3,0.38333333333333336
100,1.0,25,3,0.39508957142857143
30,1.2,25,0,0.3746957142857143
100,1.2,25,0,0.38299742857142854
30,1.2,25,1,0.37497714285714284
100,1.2,25,1,0.3832528571428571
30,1.0,25,4,0.38319
100,1.0,25,4,0.3950002857142857
30,1.2,25,2,0.3752295238095238
100,1.2,25,2,0.3832017142857143
30,1.2,25,3,0.3752285714285714
100,1.2,25,3,0.3832167142857143
30,0.8,35,2,0.3858942857142857
100,0.8,35,2,0.41379914285714287
30,0.8,35,0,0.38591
100,0.8,35,0,0.4137755714285714
30,0.8,35,1,0.38567809523809526
100,0.8,35,1,0.4134417142857143
30,1.2,25,4,0.3750461904761905
100,1.2,25,4,0.3827424285714286
30,0.8,35,3,0.38579857142857144
100,0.8,35,3,0.4134337142857143
30,1.0,35,0,0.3854852380952381
100,1.0,35,0,0.4021922857142857
30,1.0,35,1,0.38546
100,1.0,35,1,0.4021117142857143
30,0.8,35,4,0.3857347619047619
100,0.8,35,4,0.413525
30,1.0,35,2,0.38532666666666665
100,1.0,35,2,0.40181042857142857
30,1.0,35,3,0.38556238095238093
100,1.0,35,3,0.402273
30,1.0,35,4,0.3854309523809524
100,1.0,35,4,0.4019377142857143
30,1.2,35,0,0.3803447619047619
100,1.2,35,0,0.3915637142857143
30,1.2,35,2,0.37980619047619046
100,1.2,35,2,0.3913014285714286
30,1.2,35,1,0.3800895238095238
100,1.2,35,1,0.39203171428571426
30,1.2,35,4,0.38008761904761906
100,1.2,35,4,0.39103685714285713
30,0.8,50,1,0.37826666666666664
100,0.8,50,1,0.4178262857142857
30,1.2,35,3,0.37997238095238095
100,1.2,35,3,0.3915092857142857
30,0.8,50,0,0.3782490476190476
100,0.8,50,0,0.417731
30,0.8,50,3,0.37801761904761905
100,0.8,50,3,0.41831814285714286
30,0.8,50,2,0.3784304761904762
100,0.8,50,2,0.4182525714285714
30,1.0,50,0,0.38488
100,1.0,50,0,0.409189
30,0.8,50,4,0.3782309523809524
100,0.8,50,4,0.41796357142857143
30,1.0,50,1,0.38483428571428574
100,1.0,50,1,0.4084852857142857
30,1.0,50,3,0.38480095238095235
100,1.0,50,3,0.40898285714285715
30,1.0,50,2,0.3850890476190476
100,1.0,50,2,0.40908785714285717
30,1.2,50,0,0.38321714285714287
100,1.2,50,0,0.398086
30,1.2,50,1,0.38291142857142857
100,1.2,50,1,0.39901385714285714
30,1.0,50,4,0.3845952380952381
100,1.0,50,4,0.4090564285714286
30,1.2,50,3,0.3830866666666667
100,1.2,50,3,0.39910085714285715
30,1.2,50,4,0.38306190476190477
100,1.2,50,4,0.39929328571428574
30,1.2,50,2,0.3827466666666667
100,1.2,50,2,0.3987167142857143
30,0.8,70,0,0.3673509523809524
100,0.8,70,0,0.4199955714285714
30,0.8,70,2,0.36716666666666664
100,0.8,70,2,0.4198157142857143
30,0.8,70,1,0.3671409523809524
100,0.8,70,1,0.41946014285714284
30,0.8,70,3,0.3672885714285714
100,0.8,70,3,0.419517
30,0.8,70,4,0.3669509523809524
100,0.8,70,4,0.41990042857142856
30,1.0,70,1,0.38014619047619047
100,1.0,70,1,0.41344528571428574
30,1.0,70,0,0.3798657142857143
100,1.0,70,0,0.4127795714285714
30,1.0,70,2,0.3799261904761905
100,1.0,70,2,0.413407
30,1.0,70,3,0.38001238095238093
100,1.0,70,3,0.413036
30,1.2,70,1,0.3835657142857143
100,1.2,70,1,0.4055367142857143
30,1.2,70,0,0.3835804761904762
100,1.2,70,0,0.40516114285714283
30,1.0,70,4,0.38044190476190476
100,1.0,70,4,0.41326857142857143
30,1.2,70,3,0.38358809523809523
100,1.2,70,3,0.405025
30,1.2,70,2,0.3839728571428571
100,1.2,70,2,0.4052631428571429
30,1.2,70,4,0.38381095238095236
100,1.2,70,4,0.405515
30,0.8,95,2,0.3538671428571429
100,0.8,95,2,0.41981014285714285
30,0.8,95,1,0.3536314285714286
100,0.8,95,1,0.4193974285714286
30,0.8,95,0,0.35393380952380954
100,0.8,95,0,0.4195562857142857
30,0.8,95,4,0.3535433333333333
100,0.8,95,4,0.41944857142857145
30,1.0,95,0,0.37344571428571427
100,1.0,95,0,0.416338
30,1.0,95,1,0.37323666666666666
100,1.0,95,1,0.41614685714285715
30,1.0,95,2,0.37335380952380953
100,1.0,95,2,0.4163532857142857
30,0.8,95,3,0.3537709523809524
100,0.8,95,3,0.41898
30,1.0,95,3,0.37318190476190477
100,1.0,95,3,0.4165382857142857
30,1.0,95,4,0.37331761904761906
100,1.0,95,4,0.4164455714285714
30,1.2,95,1,0.3816847619047619
100,1.2,95,1,0.410339
30,1.2,95,3,0.38137
100,1.2,95,3,0.40924971428571427
30,1.2,95,0,0.38158714285714285
100,1.2,95,0,0.41008285714285714
30,0.8,125,0,0.3368757142857143
100,0.8,125,0,0.41513185714285716
30,1.2,95,2,0.3815890476190476
100,1.2,95,2,0.4100232857142857
30,0.8,125,2,0.3369942857142857
100,0.8,125,2,0.4153507142857143
30,0.8,125,1,0.3367785714285714
100,0.8,125,1,0.41519685714285715
30,0.8,125,3,0.33699285714285715
100,0.8,125,3,0.4155007142857143
30,1.2,95,4,0.38131857142857145
100,1.2,95,4,0.41031142857142855
30,1.0,125,0,0.36512428571428573
100,1.0,125,0,0.4174107142857143
30,0.8,125,4,0.3366057142857143
100,0.8,125,4,0.4155931428571429
30,1.0,125,3,0.3648104761904762
100,1.0,125,3,0.41703085714285715
30,1.0,125,1,0.36475761904761905
100,1.0,125,1,0.41687271428571426
30,1.0,125,2,0.36488238095238096
100,1.0,125,2,0.41749257142857144
30,1.2,125,3,0.3775195238095238
100,1.2,125,3,0.41325557142857144
30,1.0,125,4,0.36445714285714287
100,1.0,125,4,0.416875
30,1.2,125,0,0.3775414285714286
100,1.2,125,0,0.413302
30,1.2,125,2,0.37759761904761907
100,1.2,125,2,0.41270671428571426
30,1.2,125,1,0.3773695238095238
100,1.2,125,1,0.41331814285714286
30,0.8,160,0,0.3206090476190476
100,0.8,160,0,0.410522
30,1.2,125,4,0.3778547619047619
100,1.2,125,4,0.41331485714285715
30,0.8,160,1,0.3209390476190476
100,0.8,160,1,0.41047557142857144
30,0.8,160,2,0.32105761904761904
100,0.8,160,2,0.41067785714285715
30,0.8,160,3,0.3206061904761905
100,0.8,160,3,0.4107011428571429
30,0.8,160,4,0.3208161904761905
100,0.8,160,4,0.41057185714285716
30,1.0,160,0,0.3542314285714286
100,1.0,160,0,0.41632614285714287
30,1.0,160,1,0.35433333333333333
100,1.0,160,1,0.4169884285714286
30,1.0,160,3,0.35403523809523807
100,1.0,160,3,0.4165
30,1.0,160,4,0.35407428571428573
100,1.0,160,4,0.416444
30,1.0,160,2,0.3542290476190476
100,1.0,160,2,0.4166357142857143
30,1.2,160,0,0.3716357142857143
100,1.2,160,0,0.41504285714285716
30,1.2,160,2,0.37201809523809526
100,1.2,160,2,0.415525
30,1.2,160,1,0.37209
100,1.2,160,1,0.4152967142857143
30,1.2,160,3,0.3712019047619048
100,1.2,160,3,0.4147382857142857
30,0.8,200,0,0.30515476190476193
100,0.8,200,0,0.4038845714285714
30,0.8,200,3,0.30506428571428573
100,0.8,200,3,0.40397942857142854
30,1.2,160,4,0.37192285714285717
100,1.2,160,4,0.4156984285714286
30,0.8,200,1,0.3055528571428571
100,0.8,200,1,0.40411285714285716
30,0.8,200,2,0.3055561904761905
100,0.8,200,2,0.4041531428571429
30,0.8,200,4,0.30538809523809524
100,0.8,200,4,0.4042755714285714
