dataset,experiment,metric,n_seeds,n_configs,mean_std_across_seeds,max_std_across_seeds
mnist_gamma_tsne,mnist_gamma_tsne/exp4_neighborhood_overlap_gamma_sweep,gamma_2.00,5,200,0.00034888767149555614,0.0009322591607794182
mnist_gamma_tsne,mnist_gamma_tsne/exp6_sensitivity,AUC_11_90,5,28,0.00025409947275282976,0.0007291488337114745
mnist_gamma_tsne,mnist_gamma_tsne/exp6_sensitivity,AUC_1_10,5,28,0.0003211311181867046,0.0011486556459412416
mnist_gamma_tsne,mnist_gamma_tsne/exp6_sensitivity,global_spearman,5,28,0.008595151684444828,0.010768484204471554
mnist_gamma_tsne,mnist_gamma_tsne/exp6_sensitivity,median_eff_perp,5,28,0.0,0.0
mnist_gamma_tsne,mnist_gamma_tsne/exp7_neighborhood_overlap_comparison,sharp  γ=1.5,5,200,0.00047659756787901296,0.000959293958054179
mnist_gamma_tsne,mnist_gamma_tsne/exp7_neighborhood_overlap_comparison,smooth  γ=0.7,5,200,0.00023526620976904229,0.0010663977126910158
mnist_gamma_tsne,mnist_gamma_tsne/exp7_neighborhood_overlap_comparison,standard  ρ=30,5,200,0.0003397583473741359,0.0008130943665894983
mnist_gamma_tsne,mnist_gamma_tsne/exp7_neighborhood_overlap_comparison,standard  ρ=53  (matched),5,200,0.0004121184921773475,0.002098604978823488
mnist_gamma_tsne,mnist_gamma_tsne/exp8_global_spearman,global_spearman,10,28,0.0017792729195860342,0.006290569240284043
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,smooth_p10,5,200,0.00031428767171696526,0.001720957256166195
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,smooth_p100,5,200,0.000288424226719821,0.0008058839740259398
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,smooth_p120,5,200,0.000932203610542926,0.002870122233050882
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,smooth_p150,5,200,0.0005126337731082461,0.0007367606982803952
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,smooth_p20,5,200,0.00034161010606197165,0.0008728092107484532
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,smooth_p200,5,200,0.00044095274835473207,0.0008307875228741147
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,smooth_p30,5,200,0.000558841112327175,0.0012849045068941203
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,smooth_p300,5,200,0.0005807144094705591,0.0007832689219429082
mnist_gamma_tsne,mnist_gamma_tsne/exp9_smooth_vs_envelope,smooth_p5,5,200,0.00039720083564773645,0.0005374236916453064
