seed,k,gamma_0.00,gamma_0.30,gamma_0.50,gamma_0.70,gamma_0.90,gamma_1.00,gamma_1.20,gamma_1.50,gamma_2.00
191664964,1,0.008718726307808946,0.01592115238817286,0.02047005307050796,0.050037907505686124,0.1508718726307809,0.2680060652009098,0.41091736163760423,0.4954510993176649,0.5333586050037907
191664964,2,0.017058377558756634,0.027103866565579986,0.039613343442001514,0.07562547384382108,0.17892342683851403,0.27862016679302504,0.3595526914329037,0.38684609552691435,0.3946171341925701
191664964,3,0.024766237048268882,0.03601213040181956,0.05534495830174375,0.09236795552185999,0.18979024513520343,0.26648976497346477,0.31526408895628,0.3260045489006823,0.32789992418498864
191664964,4,0.03146322971948446,0.045678544351781654,0.06292645943896892,0.10310841546626232,0.19143290371493557,0.2517058377558757,0.28278999241849884,0.28781273692191056,0.2841167551175133
191664964,5,0.03851402577710387,0.05307050796057619,0.0712661106899166,0.10978013646702045,0.18718726307808947,0.23798332069749809,0.2586808188021228,0.2592115238817286,0.2540561031084155
191664964,6,0.04485721506191559,0.060715188273944905,0.07796310336113217,0.11662875916098053,0.18776851149861007,0.2272554965883245,0.24305029062421024,0.24058630275461207,0.23332069749810463
191664964,7,0.05177082205133759,0.06715043864399435,0.0836131268276833,0.12303693274125418,0.18807538178273583,0.22154229394562977,0.23156070616267727,0.22625365536661965,0.21791400411567202
191664964,8,0.0579510993176649,0.07354056103108415,0.09017247915087187,0.12680060652009098,0.18768953752843062,0.21455648218347234,0.22161675511751328,0.21498294162244125,0.20688021228203185
191664964,9,0.06322129559430545,0.07922668688400303,0.09653778114733384,0.13040181956027294,0.18612585291887793,0.21110268722095865,0.213587734815938,0.20705921994777185,0.1977508213292899
191664964,10,0.06849886277482942,0.08449583017437452,0.1014404852160728,0.13449583017437455,0.18525398028809706,0.20606520090978014,0.20780894617134194,0.20064442759666418,0.19040940106141016
191664964,11,0.07374732924391757,0.09073678406506307,0.10627886139637467,0.13912054586808187,0.1860569301812668,0.2038045351161348,0.2024950031015232,0.19529257702115926,0.1846095526914329
191664964,12,0.0792582764720748,0.09587439979782662,0.11170078342178416,0.14237427343947434,0.18596790497851906,0.20132044478140002,0.19936189032095025,0.1910538286580743,0.17964998736416476
191664964,13,0.08502945121595615,0.10132967866099027,0.1168425963725433,0.1473727182597539,0.186650726074532,0.2002391088820202,0.1963317198343734,0.18819618592173556,0.17594914562314107
191664964,14,0.09151954944221813,0.10622224629047979,0.12225170583775588,0.15125094768764213,0.18720892450991009,0.198283331528214,0.1938968915845337,0.1859092386006715,0.17169392396837427
191664964,15,0.09623452110184484,0.11101844831943392,0.12807682587819053,0.15569876168814756,0.18824867323730096,0.19643669446550419,0.19203942380591354,0.18354814253222135,0.16901693201920648
191664964,16,0.10040750568612586,0.11585481425322214,0.13213134950720243,0.15840598938589842,0.18934799090219864,0.19565011372251706,0.19027198635329795,0.1813874147081122,0.166485026535254
191664964,17,0.10511528341435132,0.12067965927841949,0.13631093074075726,0.16188734781251393,0.1914997993132052,0.19582571466797485,0.1892030504392811,0.17952548722294073,0.16449627614502965
191664964,18,0.10871030241765647,0.12488417151040351,0.1391205458680819,0.1645185746777862,0.19248588998399457,0.19581332659422124,0.18821076573161485,0.1785232920562716,0.1634024092325836
191664964,19,0.11288456166952636,0.1287458601013527,0.14319061489964485,0.1683093252463988,0.19358764614341006,0.19668010055464666,0.18828059534735245,0.17778620166793024,0.16286261521886594
191664964,20,0.11724791508718727,0.13301743745261563,0.1474033358605004,0.17079226686884003,0.1938589840788476,0.19747915087187265,0.18832448824867323,0.17729340409401062,0.16222517058377559
191664964,21,0.12168309325246399,0.13731542654969492,0.15152171558540017,0.1740315534856854,0.19515144951081265,0.19775082132928984,0.1879851258168165,0.17684753962236904,0.1613776670637929
191664964,22,0.1259046109311462,0.14120545868081877,0.15476600730581017,0.17735543455786063,0.19518919291474252,0.19758425804672963,0.18695292577021158,0.17675236060376318,0.16064167068715968
191664964,23,0.1295612618254936,0.14488907934205753,0.15823911395325838,0.17994528133961826,0.1963773609783433,0.1981244025447473,0.18724659656525033,0.17679731021524867,0.16028282295546692
191664964,24,0.13363975233762954,0.1482025524387162,0.16109110437199897,0.18233510235026534,0.19797194844579227,0.1981614859742229,0.1871683093252464,0.17658579732120291,0.1601908011119535
191664964,25,0.13734647460197122,0.15167551175132676,0.16450341167551177,0.18533737680060655,0.19954510993176652,0.19862016679302502,0.18723275208491283,0.1768612585291888,0.1602122820318423
