k,gamma,rho,seed,no_at_k
30,1.0,5,4,0.4327456412839672
100,1.0,5,4,0.4995735034841743
30,1.0,5,2,0.43299611003833993
100,1.0,5,2,0.49982830996557803
30,0.8,5,2,0.4496431869700277
100,0.8,5,2,0.523897237847368
30,0.8,5,4,0.45095010214647524
100,0.8,5,4,0.5242036772731089
30,1.0,5,1,0.4317493633336132
100,1.0,5,1,0.4970346738309126
30,0.8,5,0,0.45059608765007136
100,0.8,5,0,0.5221790781630425
30,0.8,5,3,0.45009654940811017
100,0.8,5,3,0.5260876500713626
30,1.0,5,0,0.43308846164609743
100,1.0,5,0,0.4990189740575938
30,0.8,5,1,0.45122155990261104
100,0.8,5,1,0.52432583326337
30,1.0,5,3,0.43247278426104724
100,1.0,5,3,0.5008240282092183
30,1.2,5,3,0.41492737805389973
100,1.2,5,3,0.47661825203593317
30,1.2,5,0,0.4150729017994571
100,1.2,5,0,0.4762593401057846
30,0.8,8,0,0.4705062547225254
100,0.8,8,0,0.5485660313995466
30,1.2,5,2,0.4151288724708253
100,1.2,5,2,0.47718243640332464
30,1.2,5,4,0.41605098928161643
100,1.2,5,4,0.4766770212408698
30,1.2,5,1,0.4156480004477654
100,1.2,5,1,0.47746075056670306
30,0.8,8,2,0.47040690678084685
100,0.8,8,2,0.5473440517169004
30,0.8,8,3,0.47002630621554303
100,0.8,8,3,0.5468852321383595
30,0.8,8,4,0.47038871631265217
100,0.8,8,4,0.5474330450843757
30,0.8,8,1,0.4702501889010159
100,0.8,8,1,0.5463810763160104
30,1.0,8,1,0.45334704614781857
100,1.0,8,1,0.529589035345479
30,1.0,8,4,0.4552514482411216
100,1.0,8,4,0.5301695911342457
30,1.2,8,0,0.43810903086782527
100,1.2,8,0,0.5078679372009067
30,1.0,8,2,0.455021968488512
100,1.0,8,2,0.5295260683401898
30,1.2,8,2,0.4393963563092939
100,1.2,8,2,0.5091184619259508
30,1.0,8,0,0.45406487000811574
100,1.0,8,0,0.5301326504911427
30,1.2,8,3,0.4396104441272773
100,1.2,8,3,0.5090315674586516
30,1.0,8,3,0.45499678168639635
100,1.0,8,3,0.5306594744353959
30,1.2,8,1,0.43901855427755854
100,1.2,8,1,0.5078007723952649
30,1.2,8,4,0.43952089105308817
100,1.2,8,4,0.5085525984384183
30,0.8,12,3,0.48455069543559176
100,0.8,12,3,0.5620090672487617
30,0.8,12,1,0.4842806369462402
100,0.8,12,1,0.5599756527579548
30,0.8,12,0,0.48451291523241824
100,0.8,12,0,0.5608886743346486
30,1.0,12,1,0.4690734055354994
100,1.0,12,1,0.5463231466711443
30,0.8,12,4,0.4836005932891165
100,0.8,12,4,0.5603681470909243
