k,gamma,peak_rho,peak_no,peak_location,max_std_band
30,0.8,35,0.49918198863795366,interior,0.000570852557490916
30,1.0,50,0.49780622953572323,interior,0.0011235034981778623
30,1.2,70,0.49799177231130887,interior,0.0006250232616969938
100,0.8,125,0.6103054319536563,interior,0.0012438704916404523
100,1.0,160,0.6099651582570733,interior,0.0012551916840706741
100,1.2,200,0.6092811686676182,boundary (high),0.0008427462252354367
