target,best_gamma,best_rho,best_value
NO@10,0.857143,10,0.4082871428571428
NO@30,0.214286,10,0.4032334285714286
NO@100,0.0,20,0.43112125714285715
AUC NO@k near-local (k=1..10),1.285714,10,0.44397396938775513
AUC NO@k mid-local (k=11..90),0.214286,10,0.40348590311241883
