dataset,measure,gamma,eff_at_rho_min,eff_at_rho_max,direction_vs_rho,monotone_vs_rho
mnist,thr_c0.25,0.8,21.125185714285717,475.3677714285714,rises,True
mnist,thr_c0.25,1.0,15.331257142857142,342.6633,rises,True
mnist,thr_c0.25,1.2,11.55187142857143,250.7244428571429,rises,True
mnist,thr_c0.5,0.8,12.715071428571427,278.4788,rises,True
mnist,thr_c0.5,1.0,9.788957142857145,210.32241428571427,rises,True
mnist,thr_c0.5,1.2,7.822942857142857,162.8019,rises,True
mnist,thr_c1.0,0.8,7.085057142857143,145.65314285714285,rises,True
mnist,thr_c1.0,1.0,6.019671428571429,121.8964,rises,True
mnist,thr_c1.0,1.2,5.151728571428571,101.00397142857145,rises,True
mnist,participation_ratio,0.8,8.437581624759625,154.242279681419,rises,True
mnist,participation_ratio,1.0,5.669700451900267,85.26885469560767,rises,True
mnist,participation_ratio,1.2,4.160839861813832,50.26780555533191,rises,True
mnist,two_pow_entropy,0.8,14.242651710567529,301.4165626645433,rises,True
mnist,two_pow_entropy,1.0,10.000625797250576,199.99999999634036,rises,True
mnist,two_pow_entropy,1.2,7.124010933343827,126.63634886731876,rises,True
fashion_mnist,thr_c0.25,0.8,20.931657142857144,432.7754142857143,rises,True
fashion_mnist,thr_c0.25,1.0,15.376685714285712,322.0874,rises,True
fashion_mnist,thr_c0.25,1.2,11.633042857142858,246.26361428571428,rises,True
fashion_mnist,thr_c0.5,0.8,12.790028571428572,269.97155714285714,rises,True
fashion_mnist,thr_c0.5,1.0,9.856685714285714,210.27885714285716,rises,True
fashion_mnist,thr_c0.5,1.2,7.867728571428572,167.3247428571429,rises,True
fashion_mnist,thr_c1.0,0.8,7.1278,151.1098142857143,rises,True
fashion_mnist,thr_c1.0,1.0,6.054914285714286,127.7365,rises,True
fashion_mnist,thr_c1.0,1.2,5.178714285714285,107.32062857142856,rises,True
fashion_mnist,participation_ratio,0.8,8.449319215750993,158.8660491966854,rises,True
fashion_mnist,participation_ratio,1.0,5.6961846215159,93.05023705977236,rises,True
fashion_mnist,participation_ratio,1.2,4.190776533274774,57.70293680124406,rises,True
fashion_mnist,two_pow_entropy,0.8,14.209286348086575,293.78259087378007,rises,True
fashion_mnist,two_pow_entropy,1.0,10.001174773214768,200.00000000930288,rises,True
fashion_mnist,two_pow_entropy,1.2,7.144787849556328,132.3629745097993,rises,True
mouse,thr_c0.25,0.8,20.092813365796324,361.9428679372009,rises,True
mouse,thr_c0.25,1.0,14.999664175971793,288.71946100243474,rises,True
mouse,thr_c0.25,1.2,11.63244060112501,236.80920997397365,rises,True
mouse,thr_c0.5,0.8,12.703047603055998,254.00873142473344,rises,True
mouse,thr_c0.5,1.0,9.963647048946353,209.24427000251868,rises,True
mouse,thr_c0.5,1.2,8.055327008647469,176.24343044244816,rises,True
mouse,thr_c1.0,0.8,7.323734363193687,162.95374024011417,rises,True
mouse,thr_c1.0,1.0,6.241163630257745,141.51053647888506,rises,True
mouse,thr_c1.0,1.2,5.359205776173285,123.38082444798926,rises,True
mouse,participation_ratio,0.8,8.512008150852557,170.65830557411252,rises,True
mouse,participation_ratio,1.0,5.820322610082624,116.12634261188244,rises,True
mouse,participation_ratio,1.2,4.321857616264,82.73788627567288,rises,True
mouse,two_pow_entropy,0.8,14.053123254924756,272.5746704330824,rises,True
mouse,two_pow_entropy,1.0,10.000193289665011,199.99999999723872,rises,True
mouse,two_pow_entropy,1.2,7.242926999302331,148.0765755674051,rises,True
