k,rho,gamma,seed,no_at_k
30,30,0.0,1,0.15459944402324993
100,30,0.0,1,0.329090219863533
30,30,0.061224,3,0.15711397523376294
100,30,0.061224,3,0.330068233510235
30,30,0.061224,1,0.15688653019964618
100,30,0.061224,1,0.3298256254738438
30,30,0.061224,0,0.15713924690422038
100,30,0.061224,0,0.3296171341925701
30,30,0.061224,4,0.1565959059893859
100,30,0.061224,4,0.3292228961334344
30,30,0.061224,2,0.15679807935304524
100,30,0.061224,2,0.3290864291129644
30,30,0.0,3,0.15420773313115996
100,30,0.0,3,0.3281690674753601
30,30,0.0,2,0.15492797573919637
100,30,0.0,2,0.32886656557998484
30,30,0.0,0,0.15490270406873893
100,30,0.0,0,0.32920773313116
30,30,0.0,4,0.1553070507960576
100,30,0.0,4,0.32916982562547387
30,30,0.122449,2,0.16063937326257266
100,30,0.122449,2,0.3306671721000758
30,30,0.122449,0,0.15929997472832955
100,30,0.122449,0,0.33009476876421534
30,30,0.122449,3,0.15969168562041952
100,30,0.122449,3,0.3302084912812737
30,30,0.122449,1,0.1596664139499621
100,30,0.122449,1,0.33005307050796057
30,30,0.183673,3,0.1631918119787718
100,30,0.183673,3,0.3304776345716452
30,30,0.183673,0,0.16234521101844832
100,30,0.183673,0,0.33073919636087945
30,30,0.183673,1,0.1627242860753096
100,30,0.183673,1,0.33073161485974223
30,30,0.122449,4,0.1593757897397018
100,30,0.122449,4,0.3298749052312358
30,30,0.183673,2,0.16249684104119283
100,30,0.183673,2,0.33049279757391964
30,30,0.183673,4,0.16310336113217083
100,30,0.183673,4,0.3304435178165277
30,30,0.244898,0,0.16608541824614606
100,30,0.244898,0,0.3308832448824867
30,30,0.244898,1,0.16570634318928482
100,30,0.244898,1,0.3302463987869598
30,30,0.244898,3,0.16483447055850392
100,30,0.244898,3,0.3308112206216831
30,30,0.306122,0,0.1692317412180945
100,30,0.306122,0,0.3313343442001516
30,30,0.244898,4,0.16578215820065706
100,30,0.244898,4,0.33106520090978014
30,30,0.306122,2,0.16940864291129643
100,30,0.306122,2,0.3314177407126611
30,30,0.244898,2,0.1649861005812484
100,30,0.244898,2,0.33037907505686126
30,30,0.306122,3,0.1691811978771797
100,30,0.306122,3,0.33101971190295676
30,30,0.306122,1,0.16691938337124085
100,30,0.306122,1,0.329461713419257
30,30,0.306122,4,0.16884003032600456
100,30,0.306122,4,0.33119029567854436
30,30,0.367347,0,0.17278241091736163
100,30,0.367347,0,0.3310917361637604
30,30,0.367347,3,0.17252969421278747
100,30,0.367347,3,0.3307998483699773
30,30,0.367347,1,0.17383118524134444
100,30,0.367347,1,0.3305193328278999
30,30,0.367347,2,0.17204953247409654
100,30,0.367347,2,0.3303942380591357
30,30,0.428571,1,0.1763709881223149
100,30,0.428571,1,0.3304321455648218
30,30,0.428571,3,0.17573919636087945
100,30,0.428571,3,0.3306937073540561
30,30,0.428571,2,0.17560020217336367
100,30,0.428571,2,0.33004927975739196
30,30,0.367347,4,0.1718347232752085
100,30,0.367347,4,0.3307278241091736
30,30,0.428571,0,0.1759666413949962
100,30,0.428571,0,0.330724033358605
30,30,0.428571,4,0.17650998230983067
100,30,0.428571,4,0.33098180439727065
30,30,0.489796,0,0.17950467525903463
100,30,0.489796,0,0.3291053828658074
30,30,0.489796,3,0.17778620166793024
100,30,0.489796,3,0.3292494313874147
30,30,0.489796,1,0.17969421278746525
100,30,0.489796,1,0.33016300227445033
30,30,0.489796,4,0.1794667677533485
100,30,0.489796,4,0.3307505686125853
30,30,0.55102,0,0.18497599191306546
100,30,0.55102,0,0.3292456406368461
30,30,0.489796,2,0.1799090219863533
100,30,0.489796,2,0.3310538286580743
30,30,0.55102,1,0.18332069749810462
100,30,0.55102,1,0.3287945413191812
30,30,0.55102,3,0.18493808440737933
100,30,0.55102,3,0.3289196360879454
30,30,0.55102,4,0.18145059388425575
100,30,0.55102,4,0.3278885519332828
30,30,0.55102,2,0.18467273186757643
100,30,0.55102,2,0.32912054586808187
30,30,0.612245,0,0.1888425574930503
100,30,0.612245,0,0.3270697498104625
30,30,0.612245,1,0.18775587566338134
100,30,0.612245,1,0.32778241091736166
30,30,0.612245,2,0.1890320950214809
100,30,0.612245,2,0.32810083396512507
30,30,0.612245,3,0.18866565579984837
100,30,0.612245,3,0.32628127369219107
30,30,0.673469,2,0.19425069497093758
100,30,0.673469,2,0.3254245640636846
30,30,0.673469,1,0.19307556229466769
100,30,0.673469,1,0.3249166034874905
30,30,0.612245,4,0.18785696234521101
100,30,0.612245,4,0.32664518574677787
30,30,0.673469,3,0.19360626737427344
100,30,0.673469,3,0.325235026535254
30,30,0.673469,0,0.1932650998230983
100,30,0.673469,0,0.3249924184988628
30,30,0.673469,4,0.19418751579479404
100,30,0.673469,4,0.32386656557998483
30,30,0.734694,0,0.19938084407379328
100,30,0.734694,0,0.3225056861258529
30,30,0.734694,3,0.1992923932271923
100,30,0.734694,3,0.3217475360121304
30,30,0.734694,1,0.19804144553955016
100,30,0.734694,1,0.32136467020470055
30,30,0.795918,0,0.2038033864038413
100,30,0.795918,0,0.31693707354056105
30,30,0.734694,4,0.1995324740965378
100,30,0.734694,4,0.3224981046247157
30,30,0.734694,2,0.2001137225170584
100,30,0.734694,2,0.323199393479909
30,30,0.795918,3,0.2027798837503159
100,30,0.795918,3,0.3161789234268385
30,30,0.795918,2,0.20385392974475613
100,30,0.795918,2,0.3194351781652767
30,30,0.795918,1,0.20226181450593883
100,30,0.795918,1,0.3143025018953753
30,30,0.795918,4,0.20338640384129392
100,30,0.795918,4,0.3192683851402578
30,30,0.857143,0,0.2049532474096538
100,30,0.857143,0,0.3105344958301744
30,30,0.857143,1,0.20539550164265857
100,30,0.857143,1,0.31156178923426836
30,30,0.857143,2,0.20595147839272177
100,30,0.857143,2,0.3117096285064443
30,30,0.857143,4,0.20449835734142027
100,30,0.857143,4,0.311379833206975
30,30,0.857143,3,0.20564821834723276
100,30,0.857143,3,0.31262699014404854
30,30,0.918367,1,0.20562294667677533
100,30,0.918367,1,0.3065087187263078
30,30,0.918367,0,0.20566085418246147
100,30,0.918367,0,0.3050947687642153
30,30,0.918367,3,0.2054460449835734
100,30,0.918367,3,0.3052994692949204
30,30,0.918367,2,0.20507960576194087
100,30,0.918367,2,0.30387414708112204
30,30,0.918367,4,0.20591357088703563
100,30,0.918367,4,0.30450341167551176
30,30,0.979592,0,0.2035001263583523
100,30,0.979592,0,0.2964329037149356
30,30,0.979592,1,0.20226181450593883
100,30,0.979592,1,0.29414329037149356
30,30,0.979592,3,0.20391710892089968
100,30,0.979592,3,0.2952198635329795
30,30,0.979592,2,0.20375284306292646
100,30,0.979592,2,0.2976838514025777
30,30,1.040816,0,0.19993682082385647
100,30,1.040816,0,0.2892797573919636
30,30,0.979592,4,0.2023755370229972
100,30,0.979592,4,0.2978506444275967
30,30,1.040816,3,0.20142784938084407
100,30,1.040816,3,0.2917096285064443
30,30,1.040816,1,0.19873641647712914
100,30,1.040816,1,0.2883548142532221
30,30,1.040816,2,0.19960828910791004
