k,rho,peak_gamma,peak_no,peak_location,max_std_band
30,30,0.918367,0.20554460449835732,interior,0.0017424628937010994
30,100,1.346939,0.20242608036391205,interior,0.001925678073269945
100,30,0.306122,0.3308847611827142,interior,0.0028140941123226703
100,100,0.918367,0.32504018195602724,interior,0.0022137282280382926
